FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,807
0,039	0,004
0,078	0,003
0,117	0,003
0,156	0,003
0,195	0,003
0,234	0,003
0,273	0,003
0,313	0,003
0,352	0,003
0,391	0,003
0,430	0,003
0,469	0,003
0,508	0,003
0,547	0,003
0,586	0,003
0,625	0,003
0,664	0,003
0,703	0,003
0,742	0,003
0,781	0,003
0,820	0,003
0,859	0,003
0,898	0,003
0,938	0,003
0,977	0,003
1,016	0,003
1,055	0,004
1,094	0,004
1,133	0,004
1,172	0,004
1,211	0,004
1,250	0,004
1,289	0,004
1,328	0,004
1,367	0,004
1,406	0,004
1,445	0,004
1,484	0,005
1,523	0,005
1,563	0,005
1,602	0,005
1,641	0,005
1,680	0,005
1,719	0,005
1,758	0,006
1,797	0,006
1,836	0,006
1,875	0,006
1,914	0,006
1,953	0,006
1,992	0,007
2,031	0,007
2,070	0,007
2,109	0,007
2,148	0,007
2,188	0,008
2,227	0,008
2,266	0,008
2,305	0,008
2,344	0,009
2,383	0,009
2,422	0,009
2,461	0,010
2,500	0,010
2,539	0,010
2,578	0,011
2,617	0,011
2,656	0,012
2,695	0,013
2,734	0,013
2,773	0,013
2,813	0,015
2,852	0,015
2,891	0,015
2,930	0,016
2,969	0,018
3,008	0,019
3,047	0,020
3,086	0,021
3,125	0,023
3,164	0,025
3,203	0,027
3,242	0,030
3,281	0,032
3,320	0,034
3,359	0,042
3,398	0,040
3,438	0,057
3,477	0,067
3,516	0,091
3,555	0,190
3,594	0,299
3,633	1,000
3,672	0,985
3,711	0,620
3,750	0,414
3,789	0,243
3,828	0,136
3,867	0,109
3,906	0,081
3,945	0,072
3,984	0,057
4,023	0,048
4,063	0,044
4,102	0,038
4,141	0,033
4,180	0,031
4,219	0,028
4,258	0,026
4,297	0,025
4,336	0,024
4,375	0,022
4,414	0,020
4,453	0,020
4,492	0,019
4,531	0,018
4,570	0,017
4,609	0,016
4,648	0,016
4,688	0,015
4,727	0,014
4,766	0,014
4,805	0,013
4,844	0,013
4,883	0,013
4,922	0,012
4,961	0,012
5,000	0,011
5,039	0,011
5,078	0,011
5,117	0,010
5,156	0,010
5,195	0,010
5,234	0,010
5,273	0,009
5,313	0,009
5,352	0,009
5,391	0,009
5,430	0,008
5,469	0,008
5,508	0,008
5,547	0,008
5,586	0,008
5,625	0,008
5,664	0,008
5,703	0,008
5,742	0,007
5,781	0,007
5,820	0,007
5,859	0,007
5,898	0,007
5,938	0,007
5,977	0,006
6,016	0,006
6,055	0,006
6,094	0,006
6,133	0,006
6,172	0,006
6,211	0,006
6,250	0,006
6,289	0,005
6,328	0,006
6,367	0,006
6,406	0,006
6,445	0,006
6,484	0,006
6,523	0,006
6,563	0,005
6,602	0,005
6,641	0,005
6,680	0,005
6,719	0,005
6,758	0,005
6,797	0,005
6,836	0,005
6,875	0,005
6,914	0,005
6,953	0,006
6,992	0,005
7,031	0,005
7,070	0,005
7,109	0,005
7,148	0,007
7,188	0,008
7,227	0,019
7,266	0,049
7,305	0,041
7,344	0,029
7,383	0,017
7,422	0,015
7,461	0,014
7,500	0,011
7,539	0,008
7,578	0,006
7,617	0,005
7,656	0,005
7,695	0,005
7,734	0,005
7,773	0,005
7,813	0,004
7,852	0,004
7,891	0,004
7,930	0,004
7,969	0,004
8,008	0,004
8,047	0,004
8,086	0,004
8,125	0,004
8,164	0,004
8,203	0,004
8,242	0,004
8,281	0,003
8,320	0,004
8,359	0,004
8,398	0,004
8,438	0,004
8,477	0,004
8,516	0,004
8,555	0,004
8,594	0,004
8,633	0,004
8,672	0,003
8,711	0,004
8,750	0,004
8,789	0,004
8,828	0,003
8,867	0,002
8,906	0,005
8,945	0,006
8,984	0,007
9,023	0,003
9,063	0,013
9,102	0,007
9,141	0,003
9,180	0,003
9,219	0,002
9,258	0,002
9,297	0,002
9,336	0,002
9,375	0,002
9,414	0,002
9,453	0,002
9,492	0,002
9,531	0,002
9,570	0,002
9,609	0,002
9,648	0,002
9,688	0,002
9,727	0,002
9,766	0,002
9,805	0,002
9,844	0,002
9,883	0,002
9,922	0,002
9,961	0,002
