Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	0,405
0,0500	-0,925
0,1000	-1,175
0,1500	0,090
0,2000	0,690
0,2500	-0,272
0,3000	-1,304
0,3500	-0,580
0,4000	0,606
0,4500	0,346
0,5000	-0,994
0,5500	-1,128
0,6000	0,171
0,6500	0,671
0,7000	-0,369
0,7500	-1,313
0,8000	-0,484
0,8500	0,641
0,9000	0,272
0,9500	-1,063
1,0000	-1,068
1,0500	0,253
1,1000	0,647
1,1500	-0,470
1,2000	-1,313
1,2500	-0,385
1,3000	0,668
1,3500	0,187
1,4000	-1,131
1,4500	-0,993
1,5000	0,336
1,5500	0,611
1,6000	-0,578
1,6500	-1,304
1,7000	-0,276
1,7500	0,690
1,8000	0,090
1,8500	-1,188
1,9000	-0,909
1,9500	0,412
2,0000	0,565
2,0500	-0,682
2,1000	-1,282
2,1500	-0,170
2,2000	0,697
2,2500	-0,006
2,3000	-1,235
2,3500	-0,822
2,4000	0,478
2,4500	0,512
2,5000	-0,782
2,5500	-1,247
2,6000	-0,061
2,6500	0,701
2,7000	-0,119
2,7500	-1,272
2,8000	-0,718
2,8500	0,543
2,9000	0,441
2,9500	-0,886
3,0000	-1,199
3,0500	0,052
3,1000	0,694
3,1500	-0,237
3,2000	-1,299
3,2500	-0,605
3,3000	0,597
3,3500	0,361
3,4000	-0,982
3,4500	-1,136
3,5000	0,159
3,5500	0,675
3,6000	-0,358
3,6500	-1,312
3,7000	-0,493
3,7500	0,639
3,8000	0,275
3,8500	-1,062
3,9000	-1,068
3,9500	0,253
4,0000	0,647
4,0500	-0,473
4,1000	-1,313
4,1500	-0,377
4,2000	0,669
4,2500	0,176
4,3000	-1,139
4,3500	-0,982
4,4000	0,350
4,4500	0,603
4,5000	-0,603
4,5500	-1,299
4,6000	-0,243
4,6500	0,693
4,7000	0,052
4,7500	-1,208
4,8000	-0,870
4,8500	0,446
4,9000	0,537
4,9500	-0,741
5,0000	-1,261
5,0500	-0,101
5,1000	0,701
5,1500	-0,086
5,2000	-1,264
5,2500	-0,745
5,3000	0,531
5,3500	0,454
5,4000	-0,875
5,4500	-1,205
5,5000	0,046
5,5500	0,694
5,6000	-0,245
5,6500	-1,301
5,7000	-0,589
5,7500	0,605
5,8000	0,339
5,8500	-1,005
5,9000	-1,114
5,9500	0,198
6,0000	0,663
6,0500	-0,421
6,1000	-1,315
6,1500	-0,418
6,2000	0,661
6,2500	0,201
6,3000	-1,125
6,3500	-0,996
6,4000	0,339
6,4500	0,605
6,5000	-0,598
6,5500	-1,299
6,6000	-0,240
6,6500	0,694
6,7000	0,039
6,7500	-1,216
6,8000	-0,853
6,8500	0,462
6,9000	0,520
6,9500	-0,773
7,0000	-1,249
7,0500	-0,058
7,1000	0,701
7,1500	-0,140
7,2000	-1,282
7,2500	-0,686
7,3000	0,565
7,3500	0,408
7,4000	-0,935
7,4500	-1,166
7,5000	0,118
7,5500	0,682
7,6000	-0,331
7,6500	-1,312
7,7000	-0,504
7,7500	0,639
7,8000	0,265
7,8500	-1,076
7,9000	-1,049
7,9500	0,281
8,0000	0,631
8,0500	-0,528
8,1000	-1,308
8,1500	-0,309
8,2000	0,685
8,2500	0,101
8,3000	-1,188
8,3500	-0,905
8,4000	0,424
8,4500	0,551
8,5000	-0,719
8,5500	-1,268
8,6000	-0,110
8,6500	0,702
8,7000	-0,091
8,7500	-1,268
8,8000	-0,729
8,8500	0,542
8,9000	0,434
8,9500	-0,903
9,0000	-1,183
9,0500	0,086
9,1000	0,686
9,1500	-0,302
9,2000	-1,308
9,2500	-0,529
9,3000	0,630
9,3500	0,284
9,4000	-1,060
9,4500	-1,063
9,5000	0,267
9,5500	0,638
9,6000	-0,514
9,6500	-1,310
9,7000	-0,319
9,7500	0,683
9,8000	0,105
9,8500	-1,184
9,9000	-0,905
9,9500	0,423
10,0000	0,550
10,0500	-0,724
10,1000	-1,266
10,1500	-0,105
10,2000	0,701
10,2500	-0,096
10,3000	-1,269
10,3500	-0,724
10,4000	0,545
10,4500	0,430
10,5000	-0,909
10,5500	-1,183
10,6000	0,093
10,6500	0,686
10,7000	-0,306
10,7500	-1,308
10,8000	-0,526
10,8500	0,630
10,9000	0,284
10,9500	-1,060
11,0000	-1,063
11,0500	0,264
11,1000	0,639
11,1500	-0,504
11,2000	-1,312
11,2500	-0,333
11,3000	0,682
11,3500	0,123
11,4000	-1,175
11,4500	-0,925
11,5000	0,405
11,5500	0,564
11,6000	-0,693
11,6500	-1,279
11,7000	-0,146
11,7500	0,699
11,8000	-0,044
11,8500	-1,252
11,9000	-0,779
11,9500	0,509
12,0000	0,476
12,0500	-0,837
12,1000	-1,221
12,1500	0,006
12,2000	0,699
12,2500	-0,199
12,3000	-1,293
12,3500	-0,636
12,4000	0,586
12,4500	0,379
12,5000	-0,968
12,5500	-1,145
12,6000	0,148
12,6500	0,677
12,7000	-0,358
12,7500	-1,313
12,8000	-0,485
12,8500	0,642
12,9000	0,259
12,9500	-1,078
13,0000	-1,049
13,0500	0,276
13,1000	0,635
13,1500	-0,514
13,2000	-1,310
13,2500	-0,331
13,3000	0,679
13,3500	0,132
13,4000	-1,167
13,4500	-0,941
13,5000	0,390
13,5500	0,578
13,6000	-0,663
13,6500	-1,286
13,7000	-0,181
13,7500	0,699
13,8000	-0,009
13,8500	-1,238
13,9000	-0,809
13,9500	0,490
14,0000	0,495
14,0500	-0,812
14,1000	-1,232
14,1500	-0,016
14,2000	0,699
14,2500	-0,182
14,3000	-1,291
14,3500	-0,649
14,4000	0,581
14,4500	0,380
14,5000	-0,966
14,5500	-1,145
14,6000	0,154
14,6500	0,674
14,7000	-0,371
14,7500	-1,313
14,8000	-0,465
14,8500	0,650
14,9000	0,236
14,9500	-1,100
15,0000	-1,024
15,0500	0,308
15,1000	0,620
15,1500	-0,561
15,2000	-1,304
15,2500	-0,280
15,3000	0,688
15,3500	0,079
15,4000	-1,197
15,4500	-0,889
15,5000	0,435
15,5500	0,545
15,6000	-0,732
15,6500	-1,264
15,7000	-0,102
15,7500	0,701
15,8000	-0,094
15,8500	-1,268
15,9000	-0,730
15,9500	0,540
16,0000	0,437
16,0500	-0,897
16,1000	-1,189
16,1500	0,075
16,2000	0,690
16,2500	-0,283
16,3000	-1,307
16,3500	-0,551
16,4000	0,624
16,4500	0,306
16,5000	-1,041
16,5500	-1,084
16,6000	0,240
16,6500	0,649
16,7000	-0,476
16,7500	-1,313
16,8000	-0,361
16,8500	0,674
16,9000	0,151
16,9500	-1,158
17,0000	-0,949
17,0500	0,383
17,1000	0,578
17,1500	-0,663
17,2000	-1,285
17,2500	-0,171
17,3000	0,699
17,3500	-0,028
17,4000	-1,247
17,4500	-0,789
17,5000	0,507
17,5500	0,476
17,6000	-0,845
17,6500	-1,216
17,7000	0,024
17,7500	0,697
17,8000	-0,229
17,8500	-1,299
17,9000	-0,598
17,9500	0,603
18,0000	0,341
18,0500	-1,008
18,1000	-1,109
18,1500	0,206
18,2000	0,658
18,2500	-0,440
18,3000	-1,313
18,3500	-0,393
18,4000	0,669
18,4500	0,171
18,5000	-1,148
18,5500	-0,963
18,6000	0,375
18,6500	0,581
18,7000	-0,660
18,7500	-1,285
18,8000	-0,167
18,8500	0,701
18,9000	-0,039
18,9500	-1,252
19,0000	-0,770
19,0500	0,520
19,1000	0,457
19,1500	-0,877
19,2000	-1,199
19,2500	0,064
19,3000	0,690
19,3500	-0,284
19,4000	-1,307
19,4500	-0,539
19,5000	0,628
19,5500	0,284
19,6000	-1,065
19,6500	-1,057
19,7000	0,278
19,7500	0,631
19,8000	-0,537
19,8500	-1,307
19,9000	-0,289
19,9500	0,688
20,0000	0,071
20,0500	-1,203
20,1000	-0,870
20,1500	0,454
20,2000	0,525
20,2500	-0,773
20,3000	-1,247
20,3500	-0,047
20,4000	0,701
20,4500	-0,165
20,5000	-1,290
20,5500	-0,650
20,6000	0,586
20,6500	0,369
20,7000	-0,983
20,7500	-1,128
20,8000	0,185
20,8500	0,664
20,9000	-0,426
20,9500	-1,315
21,0000	-0,401
21,0500	0,669
21,1000	0,170
21,1500	-1,150
21,2000	-0,958
21,2500	0,382
21,3000	0,575
21,3500	-0,674
21,4000	-1,280
21,4500	-0,148
21,5000	0,701
21,5500	-0,066
21,6000	-1,261
21,6500	-0,743
21,7000	0,539
21,7500	0,435
21,8000	-0,908
21,8500	-1,180
21,9000	0,101
21,9500	0,683
22,0000	-0,330
22,0500	-1,312
22,1000	-0,492
22,1500	0,646
22,2000	0,242
22,2500	-1,098
22,3000	-1,019
22,3500	0,320
22,4000	0,609
22,4500	-0,597
22,5000	-1,297
22,5500	-0,226
22,6000	0,696
22,6500	0,008
22,7000	-1,235
22,7500	-0,811
22,8000	0,496
22,8500	0,482
22,9000	-0,842
22,9500	-1,216
23,0000	0,031
23,0500	0,696
23,1000	-0,250
23,1500	-1,304
23,2000	-0,570
23,2500	0,617
23,3000	0,311
23,3500	-1,038
23,4000	-1,082
23,4500	0,242
23,5000	0,646
23,5500	-0,484
23,6000	-1,312
23,6500	-0,352
23,7000	0,679
23,7500	0,138
23,8000	-1,166
23,8500	-0,939
23,9000	0,396
23,9500	0,572
24,0000	-0,679
24,0500	-1,280
24,1000	-0,154
24,1500	0,699
24,2000	-0,047
24,2500	-1,253
24,3000	-0,770
24,3500	0,518
24,4000	0,460
24,4500	-0,867
24,5000	-1,203
24,5500	0,052
24,6000	0,693
24,6500	-0,267
24,7000	-1,305
24,7500	-0,556
24,8000	0,622
24,8500	0,300
24,9000	-1,049
24,9500	-1,071
25,0000	0,262
25,0500	0,638
25,1000	-0,522
25,1500	-1,308
25,2000	-0,303
25,2500	0,686
25,3000	0,079
25,3500	-1,200
25,4000	-0,873
25,4500	0,452
25,5000	0,522
25,5500	-0,781
25,6000	-1,243
25,6500	-0,031
25,7000	0,699
25,7500	-0,193
25,8000	-1,296
25,8500	-0,616
25,9000	0,603
25,9500	0,338
26,0000	-1,019
26,0500	-1,095
26,1000	0,237
26,1500	0,644
26,2000	-0,503
26,2500	-1,310
26,3000	-0,309
26,3500	0,686
26,4000	0,072
26,4500	-1,206
26,5000	-0,859
26,5500	0,467
26,6000	0,506
26,6500	-0,811
26,7000	-1,227
26,7500	0,013
26,8000	0,696
26,8500	-0,251
26,9000	-1,305
26,9500	-0,551
27,0000	0,628
27,0500	0,275
27,1000	-1,079
27,1500	-1,035
27,2000	0,311
27,2500	0,611
27,3000	-0,608
27,3500	-1,294
27,4000	-0,198
27,4500	0,699
27,5000	-0,041
27,5500	-1,255
27,6000	-0,749
27,6500	0,540
27,7000	0,426
27,7500	-0,928
27,8000	-1,161
27,8500	0,140
27,9000	0,674
27,9500	-0,401
28,0000	-1,313
28,0500	-0,401
28,1000	0,671
28,1500	0,143
28,2000	-1,172
28,2500	-0,916
28,3000	0,429
28,3500	0,536
28,4000	-0,770
28,4500	-1,244
28,5000	-0,025
28,5500	0,699
28,6000	-0,221
28,6500	-1,301
28,7000	-0,570
28,7500	0,622
28,8000	0,286
28,8500	-1,071
28,9000	-1,040
28,9500	0,308
29,0000	0,611
29,0500	-0,608
29,1000	-1,294
29,1500	-0,193
29,2000	0,699
29,2500	-0,050
29,3000	-1,260
29,3500	-0,738
29,4000	0,548
29,4500	0,415
29,5000	-0,946
29,5500	-1,151
29,6000	0,163
29,6500	0,666
29,7000	-0,430
29,7500	-1,315
29,8000	-0,369
29,8500	0,679
29,9000	0,113
29,9500	-1,189
30,0000	-0,886
30,0500	0,451
30,1000	0,517
30,1500	-0,800
30,2000	-1,230
30,2500	0,008
30,3000	0,696
30,3500	-0,259
30,4000	-1,307
30,4500	-0,534
30,5000	0,636
30,5500	0,253
30,6000	-1,100
30,6500	-1,012
30,7000	0,341
30,7500	0,594
30,8000	-0,653
30,8500	-1,283
30,9000	-0,145
30,9500	0,702
31,0000	-0,101
31,0500	-1,274
31,1000	-0,690
31,1500	0,573
31,2000	0,375
31,2500	-0,985
31,3000	-1,118
31,3500	0,207
31,4000	0,652
31,4500	-0,482
31,5000	-1,312
31,5500	-0,319
31,6000	0,686
31,6500	0,071
31,7000	-1,211
31,7500	-0,848
31,8000	0,478
31,8500	0,493
31,9000	-0,839
31,9500	-1,213
32,0000	0,047
32,0500	0,691
32,1000	-0,298
32,1500	-1,310
32,2000	-0,503
32,2500	0,646
32,3000	0,231
32,3500	-1,114
32,4000	-0,994
32,4500	0,355
32,5000	0,586
32,5500	-0,664
32,6000	-1,280
32,6500	-0,137
32,7000	0,701
32,7500	-0,102
32,8000	-1,275
32,8500	-0,686
32,9000	0,573
32,9500	0,380
33,0000	-0,982
33,0500	-1,123
33,1000	0,203
33,1500	0,655
33,2000	-0,471
33,2500	-1,312
33,3000	-0,330
33,3500	0,686
33,4000	0,082
33,4500	-1,205
33,5000	-0,859
33,5500	0,470
33,6000	0,501
33,6500	-0,823
33,7000	-1,221
33,7500	0,030
33,8000	0,693
33,8500	-0,276
33,9000	-1,308
33,9500	-0,525
34,0000	0,639
34,0500	0,250
34,1000	-1,100
34,1500	-1,015
34,2000	0,335
34,2500	0,598
34,3000	-0,636
34,3500	-1,288
34,4000	-0,168
34,4500	0,699
34,5000	-0,068
34,5500	-1,264
34,6000	-0,723
34,6500	0,551
34,7000	0,410
34,7500	-0,946
34,8000	-1,150
34,8500	0,157
34,9000	0,669
34,9500	-0,415
35,0000	-1,315
35,0500	-0,391
35,1000	0,672
35,1500	0,141
35,2000	-1,170
35,2500	-0,919
35,3000	0,423
35,3500	0,543
35,4000	-0,752
35,4500	-1,252
35,5000	-0,050
35,5500	0,701
35,6000	-0,188
35,6500	-1,296
35,7000	-0,609
35,7500	0,605
35,8000	0,324
35,8500	-1,035
35,9000	-1,078
35,9500	0,261
36,0000	0,635
36,0500	-0,539
36,1000	-1,305
36,1500	-0,269
36,2000	0,693
36,2500	0,028
36,3000	-1,230
36,3500	-0,812
36,4000	0,501
36,4500	0,471
36,5000	-0,867
36,5500	-1,199
36,6000	0,074
36,6500	0,686
36,7000	-0,319
36,7500	-1,312
36,8000	-0,487
36,8500	0,649
36,9000	0,223
36,9500	-1,117
37,0000	-0,993
37,0500	0,353
37,1000	0,589
37,1500	-0,655
37,2000	-1,282
37,2500	-0,151
37,3000	0,701
37,3500	-0,080
37,4000	-1,268
37,4500	-0,716
37,5000	0,556
37,5500	0,408
37,6000	-0,947
37,6500	-1,150
37,7000	0,157
37,7500	0,669
37,8000	-0,410
37,8500	-1,315
37,9000	-0,401
37,9500	0,669
38,0000	0,156
38,0500	-1,161
38,1000	-0,936
38,1500	0,404
38,2000	0,558
38,2500	-0,716
38,3000	-1,264
38,3500	-0,094
38,4000	0,701
38,4500	-0,129
38,5000	-1,282
38,5500	-0,674
38,6000	0,575
38,6500	0,382
38,7000	-0,974
38,7500	-1,133
38,8000	0,182
38,8500	0,664
38,9000	-0,430
38,9500	-1,313
39,0000	-0,383
39,0500	0,672
39,1000	0,145
39,1500	-1,167
39,2000	-0,928
39,2500	0,410
39,3000	0,556
39,3500	-0,723
39,4000	-1,264
39,4500	-0,091
39,5000	0,701
39,5500	-0,129
39,6000	-1,280
39,6500	-0,677
39,7000	0,575
39,7500	0,385
39,8000	-0,969
39,8500	-1,136
39,9000	0,176
