Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,623
0,0500	-1,491
0,1000	0,020
0,1500	-0,756
0,2000	-1,938
0,2500	-0,627
0,3000	-0,035
0,3500	-1,601
0,4000	-1,511
0,4500	0,013
0,5000	-0,732
0,5500	-1,940
0,6000	-0,649
0,6500	-0,024
0,7000	-1,585
0,7500	-1,528
0,8000	0,005
0,8500	-0,708
0,9000	-1,942
0,9500	-0,672
1,0000	-0,014
1,0500	-1,568
1,1000	-1,546
1,1500	-0,005
1,2000	-0,690
1,2500	-1,940
1,3000	-0,690
1,3500	-0,005
1,4000	-1,554
1,4500	-1,561
1,5000	-0,013
1,5500	-0,671
1,6000	-1,942
1,6500	-0,710
1,7000	0,003
1,7500	-1,538
1,8000	-1,574
1,8500	-0,020
1,9000	-0,655
1,9500	-1,942
2,0000	-0,726
2,0500	0,009
2,1000	-1,525
2,1500	-1,588
2,2000	-0,027
2,2500	-0,638
2,3000	-1,942
2,3500	-0,745
2,4000	0,016
2,4500	-1,508
2,5000	-1,601
2,5500	-0,036
2,6000	-0,619
2,6500	-1,940
2,7000	-0,760
2,7500	0,022
2,8000	-1,494
2,8500	-1,613
2,9000	-0,042
2,9500	-0,605
3,0000	-1,940
3,0500	-0,774
3,1000	0,024
3,1500	-1,486
3,2000	-1,619
3,2500	-0,047
3,3000	-0,598
3,3500	-1,938
3,4000	-0,781
3,4500	0,027
3,5000	-1,480
3,5500	-1,626
3,6000	-0,050
3,6500	-0,591
3,7000	-1,937
3,7500	-0,790
3,8000	0,028
3,8500	-1,473
3,9000	-1,629
3,9500	-0,055
4,0000	-0,587
4,0500	-1,937
4,1000	-0,790
4,1500	0,030
4,2000	-1,473
4,2500	-1,632
4,3000	-0,055
4,3500	-0,586
4,4000	-1,937
4,4500	-0,793
4,5000	0,031
4,5500	-1,472
4,6000	-1,632
4,6500	-0,057
4,7000	-0,586
4,7500	-1,937
4,8000	-0,789
4,8500	0,030
4,9000	-1,477
4,9500	-1,629
5,0000	-0,050
5,0500	-0,595
5,1000	-1,937
5,1500	-0,776
5,2000	0,024
5,2500	-1,492
5,3000	-1,612
5,3500	-0,041
5,4000	-0,620
5,4500	-1,940
5,5000	-0,748
5,5500	0,014
5,6000	-1,519
5,6500	-1,590
5,7000	-0,025
5,7500	-0,649
5,8000	-1,942
5,8500	-0,716
5,9000	0,002
5,9500	-1,546
6,0000	-1,563
6,0500	-0,011
6,1000	-0,686
6,1500	-1,942
6,2000	-0,677
6,2500	-0,013
6,3000	-1,577
6,3500	-1,533
6,4000	0,006
6,4500	-0,726
6,5000	-1,940
6,5500	-0,635
6,6000	-0,035
6,6500	-1,612
6,7000	-1,491
6,7500	0,024
6,8000	-0,779
6,8500	-1,937
6,9000	-0,584
6,9500	-0,061
7,0000	-1,651
7,0500	-1,447
7,1000	0,039
7,1500	-0,831
7,2000	-1,931
7,2500	-0,537
7,3000	-0,091
7,3500	-1,687
7,4000	-1,396
7,4500	0,055
7,5000	-0,894
7,5500	-1,918
7,6000	-0,476
7,6500	-0,127
7,7000	-1,731
7,7500	-1,338
7,8000	0,071
7,8500	-0,961
7,9000	-1,902
7,9500	-0,416
8,0000	-0,174
8,0500	-1,772
8,1000	-1,269
8,1500	0,080
8,2000	-1,037
8,2500	-1,879
8,3000	-0,350
8,3500	-0,229
8,4000	-1,814
8,4500	-1,194
8,5000	0,086
8,5500	-1,117
8,6000	-1,847
8,6500	-0,286
8,7000	-0,289
8,7500	-1,849
8,8000	-1,114
8,8500	0,085
8,9000	-1,199
8,9500	-1,811
9,0000	-0,225
9,0500	-0,350
9,1000	-1,880
9,1500	-1,037
9,2000	0,080
9,2500	-1,269
9,3000	-1,769
9,3500	-0,178
9,4000	-0,415
9,4500	-1,902
9,5000	-0,963
9,5500	0,069
9,6000	-1,335
9,6500	-1,729
9,7000	-0,135
9,7500	-0,468
9,8000	-1,916
9,8500	-0,903
9,9000	0,058
9,9500	-1,385
10,0000	-1,693
10,0500	-0,104
10,1000	-0,518
10,1500	-1,926
10,2000	-0,850
10,2500	0,042
10,3000	-1,433
10,3500	-1,659
10,4000	-0,074
10,4500	-0,562
10,5000	-1,932
10,5500	-0,801
10,6000	0,028
10,6500	-1,475
10,7000	-1,624
10,7500	-0,049
10,8000	-0,611
10,8500	-1,937
10,9000	-0,752
10,9500	0,016
11,0000	-1,517
11,0500	-1,591
11,1000	-0,027
11,1500	-0,655
11,2000	-1,940
11,2500	-0,710
11,3000	-0,002
11,3500	-1,552
11,4000	-1,557
11,4500	-0,008
11,5000	-0,697
11,5500	-1,940
11,6000	-0,663
11,6500	-0,020
11,7000	-1,587
11,7500	-1,522
11,8000	0,011
11,8500	-0,738
11,9000	-1,940
11,9500	-0,625
12,0000	-0,039
12,0500	-1,618
12,1000	-1,486
12,1500	0,024
12,2000	-0,784
12,2500	-1,937
12,3000	-0,583
12,3500	-0,060
12,4000	-1,651
12,4500	-1,448
12,5000	0,039
12,5500	-0,826
12,6000	-1,931
12,6500	-0,545
12,7000	-0,083
12,7500	-1,678
12,8000	-1,414
12,8500	0,050
12,9000	-0,869
12,9500	-1,924
13,0000	-0,506
13,0500	-0,107
13,1000	-1,707
13,1500	-1,376
13,2000	0,061
13,2500	-0,911
13,3000	-1,916
13,3500	-0,467
13,4000	-0,137
13,4500	-1,734
13,5000	-1,335
13,5500	0,068
13,6000	-0,958
13,6500	-1,904
13,7000	-0,426
13,7500	-0,165
13,8000	-1,762
13,8500	-1,296
13,9000	0,075
13,9500	-1,001
14,0000	-1,891
14,0500	-0,388
14,1000	-0,195
14,1500	-1,786
14,2000	-1,252
14,2500	0,082
14,3000	-1,048
14,3500	-1,877
14,4000	-0,349
14,4500	-0,223
14,5000	-1,810
14,5500	-1,208
14,6000	0,083
14,6500	-1,090
14,7000	-1,861
14,7500	-0,314
14,8000	-0,256
14,8500	-1,828
14,9000	-1,166
14,9500	0,085
15,0000	-1,131
15,0500	-1,844
15,1000	-0,283
15,1500	-0,286
15,2000	-1,846
15,2500	-1,128
15,3000	0,085
15,3500	-1,170
15,4000	-1,825
15,4500	-0,254
15,5000	-0,316
15,5500	-1,860
15,6000	-1,093
15,6500	0,083
15,7000	-1,203
15,7500	-1,808
15,8000	-0,231
15,8500	-0,339
15,9000	-1,872
15,9500	-1,062
16,0000	0,082
16,0500	-1,230
16,1000	-1,792
16,1500	-0,214
16,2000	-0,364
16,2500	-1,882
16,3000	-1,035
16,3500	0,079
16,4000	-1,258
16,4500	-1,780
16,5000	-0,196
16,5500	-0,383
16,6000	-1,890
16,6500	-1,012
16,7000	0,077
16,7500	-1,277
16,8000	-1,764
16,8500	-0,181
16,9000	-0,404
16,9500	-1,898
17,0000	-0,986
17,0500	0,074
17,1000	-1,304
17,1500	-1,748
17,2000	-0,160
17,2500	-0,430
17,3000	-1,907
17,3500	-0,953
17,4000	0,066
17,4500	-1,335
17,5000	-1,726
17,5500	-0,138
17,6000	-0,465
17,6500	-1,915
17,7000	-0,911
17,7500	0,060
17,8000	-1,373
17,8500	-1,703
17,9000	-0,113
17,9500	-0,501
18,0000	-1,924
18,0500	-0,872
18,1000	0,049
18,1500	-1,411
18,2000	-1,674
18,2500	-0,090
18,3000	-0,540
18,3500	-1,929
18,4000	-0,826
18,4500	0,038
18,5000	-1,450
18,5500	-1,646
18,6000	-0,066
18,6500	-0,578
18,7000	-1,935
18,7500	-0,792
18,8000	0,027
18,8500	-1,481
18,9000	-1,619
18,9500	-0,049
19,0000	-0,613
19,0500	-1,937
19,1000	-0,752
19,1500	0,016
19,2000	-1,514
19,2500	-1,594
19,3000	-0,028
19,3500	-0,644
19,4000	-1,940
19,4500	-0,721
19,5000	0,003
19,5500	-1,539
19,6000	-1,569
19,6500	-0,014
19,7000	-0,677
19,7500	-1,940
19,8000	-0,690
19,8500	-0,008
19,9000	-1,565
19,9500	-1,546
20,0000	-0,002
20,0500	-0,705
20,1000	-1,940
20,1500	-0,660
20,2000	-0,022
20,2500	-1,588
20,3000	-1,519
20,3500	0,011
20,4000	-0,738
20,4500	-1,940
20,5000	-0,625
20,5500	-0,039
20,6000	-1,616
20,6500	-1,491
20,7000	0,025
20,7500	-0,774
20,8000	-1,937
20,8500	-0,591
20,9000	-0,058
20,9500	-1,645
21,0000	-1,455
21,0500	0,036
21,1000	-0,820
21,1500	-1,932
21,2000	-0,547
21,2500	-0,080
21,3000	-1,678
21,3500	-1,414
21,4000	0,050
21,4500	-0,870
21,5000	-1,923
21,5500	-0,503
21,6000	-0,113
21,6500	-1,711
21,7000	-1,367
21,7500	0,063
21,8000	-0,922
21,8500	-1,912
21,9000	-0,454
21,9500	-0,143
22,0000	-1,745
22,0500	-1,319
22,1000	0,072
22,1500	-0,977
22,2000	-1,898
22,2500	-0,407
22,3000	-0,181
22,3500	-1,777
