FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,680
0,039	0,006
0,078	0,006
0,117	0,006
0,156	0,006
0,195	0,006
0,234	0,006
0,273	0,006
0,313	0,006
0,352	0,006
0,391	0,006
0,430	0,006
0,469	0,006
0,508	0,006
0,547	0,006
0,586	0,006
0,625	0,006
0,664	0,006
0,703	0,006
0,742	0,006
0,781	0,006
0,820	0,006
0,859	0,006
0,898	0,006
0,938	0,006
0,977	0,006
1,016	0,006
1,055	0,006
1,094	0,006
1,133	0,006
1,172	0,010
1,211	0,005
1,250	0,005
1,289	0,005
1,328	0,006
1,367	0,006
1,406	0,006
1,445	0,006
1,484	0,006
1,523	0,006
1,563	0,006
1,602	0,006
1,641	0,006
1,680	0,006
1,719	0,006
1,758	0,006
1,797	0,006
1,836	0,006
1,875	0,006
1,914	0,006
1,953	0,006
1,992	0,006
2,031	0,006
2,070	0,006
2,109	0,006
2,148	0,006
2,188	0,006
2,227	0,006
2,266	0,006
2,305	0,006
2,344	0,006
2,383	0,006
2,422	0,006
2,461	0,007
2,500	0,006
2,539	0,007
2,578	0,007
2,617	0,007
2,656	0,007
2,695	0,007
2,734	0,007
2,773	0,007
2,813	0,007
2,852	0,007
2,891	0,007
2,930	0,007
2,969	0,007
3,008	0,007
3,047	0,007
3,086	0,007
3,125	0,007
3,164	0,007
3,203	0,007
3,242	0,007
3,281	0,007
3,320	0,008
3,359	0,007
3,398	0,008
3,438	0,008
3,477	0,008
3,516	0,008
3,555	0,008
3,594	0,008
3,633	0,008
3,672	0,008
3,711	0,008
3,750	0,009
3,789	0,009
3,828	0,009
3,867	0,009
3,906	0,009
3,945	0,009
3,984	0,009
4,023	0,009
4,063	0,009
4,102	0,009
4,141	0,010
4,180	0,010
4,219	0,010
4,258	0,010
4,297	0,010
4,336	0,010
4,375	0,011
4,414	0,011
4,453	0,011
4,492	0,011
4,531	0,011
4,570	0,011
4,609	0,012
4,648	0,012
4,688	0,012
4,727	0,012
4,766	0,013
4,805	0,013
4,844	0,013
4,883	0,013
4,922	0,014
4,961	0,014
5,000	0,014
5,039	0,015
5,078	0,015
5,117	0,016
5,156	0,016
5,195	0,017
5,234	0,017
5,273	0,018
5,313	0,018
5,352	0,019
5,391	0,020
5,430	0,021
5,469	0,021
5,508	0,023
5,547	0,024
5,586	0,025
5,625	0,026
5,664	0,028
5,703	0,030
5,742	0,031
5,781	0,033
5,820	0,037
5,859	0,039
5,898	0,045
5,938	0,049
5,977	0,055
6,016	0,059
6,055	0,075
6,094	0,085
6,133	0,112
6,172	0,173
6,211	0,280
6,250	0,622
6,289	1,000
6,328	0,236
6,367	0,150
6,406	0,120
6,445	0,091
6,484	0,069
6,523	0,063
6,563	0,050
6,602	0,044
6,641	0,039
6,680	0,036
6,719	0,032
6,758	0,030
6,797	0,027
6,836	0,025
6,875	0,023
6,914	0,022
6,953	0,020
6,992	0,019
7,031	0,018
7,070	0,017
7,109	0,016
7,148	0,015
7,188	0,014
7,227	0,014
7,266	0,013
7,305	0,013
7,344	0,012
7,383	0,012
7,422	0,012
7,461	0,008
7,500	0,009
7,539	0,009
7,578	0,009
7,617	0,009
7,656	0,008
7,695	0,008
7,734	0,008
7,773	0,008
7,813	0,007
7,852	0,007
7,891	0,007
7,930	0,006
7,969	0,006
8,008	0,006
8,047	0,006
8,086	0,006
8,125	0,005
8,164	0,005
8,203	0,005
8,242	0,005
8,281	0,005
8,320	0,005
8,359	0,004
8,398	0,004
8,438	0,004
8,477	0,004
8,516	0,004
8,555	0,004
8,594	0,004
8,633	0,004
8,672	0,003
8,711	0,003
8,750	0,003
8,789	0,003
8,828	0,003
8,867	0,003
8,906	0,003
8,945	0,003
8,984	0,002
9,023	0,003
9,063	0,002
9,102	0,002
9,141	0,002
9,180	0,002
9,219	0,002
9,258	0,002
9,297	0,002
9,336	0,002
9,375	0,002
9,414	0,002
9,453	0,002
9,492	0,002
9,531	0,001
9,570	0,001
9,609	0,001
9,648	0,001
9,688	0,001
9,727	0,001
9,766	0,001
9,805	9,042E-4
9,844	0,001
9,883	0,001
9,922	0,001
9,961	0,001
