Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	1,638
0,0500	1,937
0,1000	0,993
0,1500	-0,005
0,2000	0,504
0,2500	1,709
0,3000	1,904
0,3500	0,883
0,4000	-0,024
0,4500	0,602
0,5000	1,773
0,5500	1,865
0,6000	0,771
0,6500	-0,031
0,7000	0,705
0,7500	1,830
0,8000	1,814
0,8500	0,666
0,9000	-0,030
0,9500	0,814
1,0000	1,877
1,0500	1,755
1,1000	0,558
1,1500	-0,014
1,2000	0,925
1,2500	1,916
1,3000	1,684
1,3500	0,451
1,4000	0,016
1,4500	1,046
1,5000	1,949
1,5500	1,596
1,6000	0,346
1,6500	0,061
1,7000	1,169
1,7500	1,970
1,8000	1,497
1,8500	0,251
1,9000	0,121
1,9500	1,290
2,0000	1,981
2,0500	1,390
2,1000	0,168
2,1500	0,193
2,2000	1,403
2,2500	1,981
2,3000	1,272
2,3500	0,097
2,4000	0,281
2,4500	1,513
2,5000	1,968
2,5500	1,147
2,6000	0,039
2,6500	0,379
2,7000	1,610
2,7500	1,945
2,8000	1,024
2,8500	0,002
2,9000	0,481
2,9500	1,692
3,0000	1,912
3,0500	0,905
3,1000	-0,020
3,1500	0,587
3,2000	1,766
3,2500	1,869
3,3000	0,778
3,3500	-0,031
3,4000	0,705
3,4500	1,832
3,5000	1,810
3,5500	0,655
3,6000	-0,028
3,6500	0,829
3,7000	1,885
3,7500	1,742
3,8000	0,531
3,8500	-0,008
3,9000	0,958
3,9500	1,929
4,0000	1,656
4,0500	0,415
4,1000	0,030
4,1500	1,090
4,2000	1,959
4,2500	1,560
4,3000	0,308
4,3500	0,082
4,4000	1,217
4,4500	1,976
4,5000	1,453
4,5500	0,215
4,6000	0,151
4,6500	1,340
4,7000	1,981
4,7500	1,335
4,8000	0,130
4,8500	0,236
4,9000	1,459
4,9500	1,976
5,0000	1,208
5,0500	0,066
5,1000	0,333
5,1500	1,568
5,2000	1,956
5,2500	1,074
5,3000	0,016
5,3500	0,440
5,4000	1,663
5,4500	1,926
5,5000	0,946
5,5500	-0,014
5,6000	0,553
5,6500	1,744
5,7000	1,883
5,7500	0,818
5,8000	-0,030
5,8500	0,664
5,9000	1,810
5,9500	1,833
6,0000	0,697
6,0500	-0,031
6,1000	0,784
6,1500	1,866
6,2000	1,769
6,2500	0,584
6,3000	-0,019
6,3500	0,898
6,4000	1,909
6,4500	1,700
6,5000	0,473
6,5500	0,006
6,6000	1,019
6,6500	1,943
6,7000	1,619
6,7500	0,375
6,8000	0,046
6,8500	1,128
6,9000	1,963
6,9500	1,538
7,0000	0,289
7,0500	0,091
7,1000	1,235
7,1500	1,976
7,2000	1,448
7,2500	0,214
7,3000	0,149
7,3500	1,332
7,4000	1,981
7,4500	1,356
7,5000	0,148
7,5500	0,214
7,6000	1,425
7,6500	1,979
7,7000	1,261
7,7500	0,094
7,8000	0,283
7,8500	1,508
7,9000	1,971
7,9500	1,169
8,0000	0,050
8,0500	0,352
8,1000	1,582
8,1500	1,956
8,2000	1,076
8,2500	0,019
8,3000	0,427
8,3500	1,648
8,4000	1,934
8,4500	0,985
8,5000	-0,006
8,5500	0,507
8,6000	1,709
8,6500	1,907
8,7000	0,891
8,7500	-0,022
8,8000	0,591
8,8500	1,762
8,9000	1,874
8,9500	0,798
9,0000	-0,030
9,0500	0,674
9,1000	1,813
9,1500	1,835
9,2000	0,708
9,2500	-0,031
9,3000	0,763
9,3500	1,854
9,4000	1,788
9,4500	0,624
9,5000	-0,025
9,5500	0,850
9,6000	1,888
9,6500	1,740
9,7000	0,537
9,7500	-0,011
9,8000	0,938
9,8500	1,920
9,9000	1,684
9,9500	0,456
10,0000	0,013
10,0500	1,032
10,1000	1,945
10,1500	1,616
10,2000	0,372
10,2500	0,046
10,3000	1,126
10,3500	1,963
10,4000	1,543
10,4500	0,298
10,5000	0,086
10,5500	1,219
10,6000	1,976
10,6500	1,467
10,7000	0,229
10,7500	0,135
10,8000	1,310
10,8500	1,981
10,9000	1,381
10,9500	0,165
11,0000	0,195
11,0500	1,398
11,1000	1,981
11,1500	1,290
11,2000	0,108
11,2500	0,262
11,3000	1,488
11,3500	1,974
11,4000	1,191
11,4500	0,061
11,5000	0,338
11,5500	1,569
11,6000	1,957
11,6500	1,087
11,7000	0,020
11,7500	0,421
11,8000	1,646
11,8500	1,935
11,9000	0,980
11,9500	-0,008
12,0000	0,517
12,0500	1,718
12,1000	1,901
12,1500	0,869
12,2000	-0,025
12,2500	0,617
12,3000	1,781
12,3500	1,858
12,4000	0,754
12,4500	-0,031
12,5000	0,721
12,5500	1,836
12,6000	1,805
12,6500	0,652
12,7000	-0,028
12,7500	0,826
12,8000	1,882
12,8500	1,750
12,9000	0,550
12,9500	-0,014
13,0000	0,931
13,0500	1,918
13,1000	1,682
13,1500	0,454
13,2000	0,014
13,2500	1,038
13,3000	1,946
13,3500	1,608
13,4000	0,361
13,4500	0,052
13,5000	1,142
13,5500	1,967
13,6000	1,527
13,6500	0,281
13,7000	0,097
13,7500	1,244
13,8000	1,978
13,8500	1,440
13,9000	0,206
13,9500	0,154
14,0000	1,341
14,0500	1,981
14,1000	1,346
14,1500	0,141
14,2000	0,221
14,2500	1,434
14,3000	1,979
14,3500	1,247
