FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,281
0,039	0,001
0,078	0,001
0,117	0,001
0,156	0,001
0,195	0,001
0,234	0,001
0,273	0,001
0,313	0,001
0,352	0,001
0,391	0,001
0,430	0,001
0,469	0,001
0,508	0,001
0,547	0,001
0,586	0,001
0,625	0,001
0,664	0,001
0,703	0,001
0,742	0,001
0,781	0,001
0,820	0,001
0,859	0,001
0,898	0,001
0,938	0,001
0,977	0,001
1,016	0,001
1,055	0,001
1,094	0,001
1,133	0,001
1,172	0,001
1,211	0,001
1,250	0,001
1,289	0,001
1,328	0,001
1,367	0,001
1,406	0,001
1,445	0,001
1,484	0,001
1,523	0,001
1,563	0,001
1,602	0,001
1,641	0,001
1,680	0,001
1,719	0,001
1,758	0,001
1,797	0,001
1,836	9,925E-4
1,875	0,001
1,914	0,001
1,953	0,001
1,992	0,001
2,031	0,001
2,070	0,001
2,109	0,001
2,148	0,001
2,188	0,001
2,227	0,001
2,266	0,001
2,305	0,001
2,344	0,001
2,383	0,001
2,422	0,001
2,461	0,001
2,500	0,001
2,539	0,001
2,578	0,001
2,617	0,001
2,656	8,094E-4
2,695	0,001
2,734	0,001
2,773	0,001
2,813	0,001
2,852	0,001
2,891	0,001
2,930	0,001
2,969	9,032E-4
3,008	0,001
3,047	0,001
3,086	0,001
3,125	0,001
3,164	0,001
3,203	0,001
3,242	0,001
3,281	0,001
3,320	0,001
3,359	0,001
3,398	0,001
3,438	0,001
3,477	0,001
3,516	0,001
3,555	0,002
3,594	0,002
3,633	0,002
3,672	0,002
3,711	0,002
3,750	0,002
3,789	0,002
3,828	0,002
3,867	0,002
3,906	0,003
3,945	0,003
3,984	0,003
4,023	0,003
4,063	0,004
4,102	0,005
4,141	0,006
4,180	0,006
4,219	0,005
4,258	0,010
4,297	0,008
4,336	0,013
4,375	0,017
4,414	0,013
4,453	0,047
4,492	0,082
4,531	1,000
4,570	0,097
4,609	0,048
4,648	0,013
4,688	0,023
4,727	0,017
4,766	0,010
4,805	0,013
4,844	0,008
4,883	0,010
4,922	0,009
4,961	0,009
5,000	0,007
5,039	0,007
5,078	0,006
5,117	0,006
5,156	0,006
5,195	0,006
5,234	0,006
5,273	0,006
5,313	0,005
5,352	0,005
5,391	0,005
5,430	0,005
5,469	0,005
5,508	0,005
5,547	0,004
5,586	0,005
5,625	0,004
5,664	0,004
5,703	0,004
5,742	0,004
5,781	0,004
5,820	0,004
5,859	0,004
5,898	0,004
5,938	0,004
5,977	0,004
6,016	0,004
6,055	0,004
6,094	0,004
6,133	0,004
6,172	0,004
6,211	0,004
6,250	0,004
6,289	0,004
6,328	0,003
6,367	0,003
6,406	0,009
6,445	0,003
6,484	0,003
6,523	0,003
6,563	0,003
6,602	0,003
6,641	0,003
6,680	0,003
6,719	0,003
6,758	0,003
6,797	0,003
6,836	0,003
6,875	0,003
6,914	0,003
6,953	0,003
6,992	0,003
7,031	0,003
7,070	0,003
7,109	0,003
7,148	0,003
7,188	0,003
7,227	0,003
7,266	0,003
7,305	0,003
7,344	0,003
7,383	0,003
7,422	0,003
7,461	0,003
7,500	0,003
7,539	0,003
7,578	0,003
7,617	0,003
7,656	0,003
7,695	0,003
7,734	0,003
7,773	0,003
7,813	0,003
7,852	0,003
7,891	0,003
7,930	0,003
7,969	0,003
8,008	0,003
8,047	0,003
8,086	0,003
8,125	0,003
8,164	0,003
8,203	0,003
8,242	0,003
8,281	0,003
8,320	0,003
8,359	0,003
8,398	0,003
8,438	0,003
8,477	0,003
8,516	0,003
8,555	0,003
8,594	0,003
8,633	0,003
8,672	0,003
8,711	0,003
8,750	0,003
8,789	0,003
8,828	0,003
8,867	0,003
8,906	0,003
8,945	0,002
8,984	0,004
9,023	0,005
9,063	0,025
9,102	0,003
9,141	0,002
9,180	0,003
9,219	0,002
9,258	0,002
9,297	0,002
9,336	0,003
9,375	0,003
9,414	0,003
9,453	0,003
9,492	0,003
9,531	0,003
9,570	0,003
9,609	0,003
9,648	0,003
9,688	0,003
9,727	0,003
9,766	0,003
9,805	0,003
9,844	0,003
9,883	0,002
9,922	0,003
9,961	0,003
