Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,513
0,0500	-0,130
0,1000	-2,023
0,1500	-0,115
0,2000	-1,558
0,2500	-0,993
0,3000	-0,534
0,3500	-1,871
0,4000	0,013
0,4500	-1,921
0,5000	-0,459
0,5500	-1,084
0,6000	-1,472
0,6500	-0,160
0,7000	-2,020
0,7500	-0,088
0,8000	-1,605
0,8500	-0,931
0,9000	-0,587
0,9500	-1,841
1,0000	0,008
1,0500	-1,945
1,1000	-0,408
1,1500	-1,147
1,2000	-1,418
1,2500	-0,193
1,3000	-2,017
1,3500	-0,064
1,4000	-1,654
1,4500	-0,873
1,5000	-0,644
1,5500	-1,806
1,6000	0,002
1,6500	-1,965
1,7000	-0,361
1,7500	-1,205
1,8000	-1,365
1,8500	-0,234
1,9000	-2,007
1,9500	-0,042
2,0000	-1,700
2,0500	-0,814
2,1000	-0,705
2,1500	-1,767
2,2000	-0,011
2,2500	-1,985
2,3000	-0,316
2,3500	-1,269
2,4000	-1,302
2,4500	-0,278
2,5000	-1,995
2,5500	-0,024
2,6000	-1,747
2,6500	-0,743
2,7000	-0,774
2,7500	-1,717
2,8000	-0,028
2,8500	-2,001
2,9000	-0,259
2,9500	-1,345
3,0000	-1,227
3,0500	-0,336
3,1000	-1,970
3,1500	-0,006
3,2000	-1,799
3,2500	-0,669
3,3000	-0,848
3,3500	-1,659
3,4000	-0,053
3,4500	-2,014
3,5000	-0,209
3,5500	-1,414
3,6000	-1,150
3,6500	-0,399
3,7000	-1,943
3,7500	0,006
3,8000	-1,846
3,8500	-0,594
3,9000	-0,936
3,9500	-1,594
4,0000	-0,088
4,0500	-2,023
4,1000	-0,157
4,1500	-1,492
4,2000	-1,063
4,2500	-0,471
4,3000	-1,904
4,3500	0,013
4,4000	-1,894
4,4500	-0,506
4,5000	-1,037
4,5500	-1,513
4,6000	-0,135
4,6500	-2,023
4,7000	-0,105
4,7500	-1,582
4,8000	-0,961
4,8500	-0,567
4,9000	-1,850
4,9500	0,009
5,0000	-1,942
5,0500	-0,413
5,1000	-1,148
5,1500	-1,412
5,2000	-0,201
5,2500	-2,015
5,3000	-0,057
5,3500	-1,671
5,4000	-0,842
5,4500	-0,679
5,5000	-1,778
5,5500	-0,006
5,6000	-1,984
5,6500	-0,317
5,7000	-1,271
5,7500	-1,296
5,8000	-0,286
5,8500	-1,992
5,9000	-0,019
5,9500	-1,761
6,0000	-0,718
6,0500	-0,801
6,1000	-1,693
6,1500	-0,039
6,2000	-2,009
6,2500	-0,229
6,3000	-1,389
6,3500	-1,177
6,4000	-0,380
6,4500	-1,949
6,5000	0,003
6,5500	-1,839
6,6000	-0,600
6,6500	-0,925
6,7000	-1,594
6,7500	-0,086
6,8000	-2,022
6,8500	-0,154
6,9000	-1,500
6,9500	-1,052
7,0000	-0,485
7,0500	-1,898
7,1000	0,013
7,1500	-1,904
7,2000	-0,490
7,2500	-1,059
7,3000	-1,491
7,3500	-0,148
7,4000	-2,022
7,4500	-0,094
7,5000	-1,607
7,5500	-0,928
7,6000	-0,595
7,6500	-1,830
7,7000	0,006
7,7500	-1,957
7,8000	-0,382
7,8500	-1,192
7,9000	-1,370
7,9500	-0,231
8,0000	-2,007
