Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	1,263
0,0500	-0,292
0,1000	-0,121
0,1500	1,368
0,2000	0,729
0,2500	-0,565
0,3000	0,531
0,3500	1,426
0,4000	0,050
0,4500	-0,410
0,5000	1,139
0,5500	1,092
0,6000	-0,448
0,6500	0,113
0,7000	1,437
0,7500	0,470
0,8000	-0,558
0,8500	0,781
0,9000	1,345
0,9500	-0,173
1,0000	-0,248
1,0500	1,294
1,1000	0,880
1,1500	-0,537
1,2000	0,363
1,2500	1,448
1,3000	0,214
1,3500	-0,487
1,4000	1,008
1,4500	1,211
1,5000	-0,355
1,5500	-0,044
1,6000	1,398
1,6500	0,644
1,7000	-0,567
1,7500	0,614
1,8000	1,406
1,8500	-0,022
1,9000	-0,364
1,9500	1,191
2,0000	1,034
2,0500	-0,479
2,1000	0,184
2,1500	1,445
2,2000	0,399
2,2500	-0,545
2,3000	0,844
2,3500	1,316
2,4000	-0,220
2,4500	-0,206
2,5000	1,324
2,5500	0,834
2,6000	-0,548
2,6500	0,408
2,7000	1,445
2,7500	0,174
2,8000	-0,471
2,8500	1,037
2,9000	1,189
2,9500	-0,369
3,0000	-0,020
3,0500	1,404
3,1000	0,625
3,1500	-0,569
3,2000	0,628
3,2500	1,404
3,3000	-0,030
3,3500	-0,363
3,4000	1,192
3,4500	1,035
3,5000	-0,478
3,5500	0,178
3,6000	1,445
3,6500	0,412
3,7000	-0,548
3,7500	0,829
3,8000	1,324
3,8500	-0,204
3,9000	-0,221
3,9500	1,310
4,0000	0,858
4,0500	-0,542
4,1000	0,377
4,1500	1,448
4,2000	0,212
4,2500	-0,489
4,3000	1,001
4,3500	1,219
4,4000	-0,339
4,4500	-0,068
4,5000	1,389
4,5500	0,682
4,6000	-0,567
4,6500	0,564
4,7000	1,422
4,7500	0,038
4,8000	-0,404
4,8500	1,137
4,9000	1,098
4,9500	-0,438
5,0000	0,090
5,0500	1,433
5,1000	0,511
5,1500	-0,564
5,2000	0,730
5,2500	1,368
5,3000	-0,118
5,3500	-0,300
5,4000	1,252
5,4500	0,957
5,5000	-0,512
5,5500	0,267
5,6000	1,450
5,6500	0,322
5,7000	-0,525
5,7500	0,908
5,8000	1,282
5,8500	-0,265
5,9000	-0,157
5,9500	1,348
6,0000	0,785
6,0500	-0,558
6,1000	0,456
6,1500	1,442
6,2000	0,138
6,2500	-0,459
6,3000	1,059
6,3500	1,175
6,4000	-0,383
6,4500	-0,008
6,5000	1,409
6,5500	0,619
6,6000	-0,567
6,6500	0,627
6,7000	1,404
6,7500	-0,022
6,8000	-0,366
6,8500	1,183
6,9000	1,046
6,9500	-0,470
7,0000	0,160
7,0500	1,442
7,1000	0,435
7,1500	-0,553
7,2000	0,804
7,2500	1,338
7,3000	-0,179
7,3500	-0,247
7,4000	1,293
7,4500	0,892
7,5000	-0,534
7,5500	0,338
7,6000	1,450
7,6500	0,251
7,7000	-0,503
7,7500	0,969
7,8000	1,243
7,8500	-0,316
7,9000	-0,097
7,9500	1,374
8,0000	0,716
8,0500	-0,565
8,1000	0,533
8,1500	1,426
8,2000	0,061
8,2500	-0,418
8,3000	1,125
8,3500	1,111
8,4000	-0,432
8,4500	0,083
8,5000	1,433
8,5500	0,507
8,6000	-0,562
8,6500	0,743
8,7000	1,362
8,7500	-0,137
8,8000	-0,280
8,8500	1,269
8,9000	0,925
8,9500	-0,525
9,0000	0,313
9,0500	1,451
9,1000	0,265
9,1500	-0,507
9,2000	0,964
9,2500	1,243
9,3000	-0,320
9,3500	-0,090
9,4000	1,382
9,4500	0,694
9,5000	-0,565
9,5500	0,565
9,6000	1,418
9,6500	0,019
9,7000	-0,390
9,7500	1,164
9,8000	1,060
9,8500	-0,465
9,9000	0,154
9,9500	1,442
10,0000	0,423
10,0500	-0,548
10,1000	0,833
10,1500	1,318
10,2000	-0,218
10,2500	-0,203
10,3000	1,327
10,3500	0,817
10,4000	-0,554
10,4500	0,440
10,5000	1,442
10,5500	0,127
10,6000	-0,446
10,6500	1,085
10,7000	1,139
10,7500	-0,415
10,8000	0,060
10,8500	1,429
10,9000	0,514
10,9500	-0,562
11,0000	0,749
11,0500	1,356
11,1000	-0,157
11,1500	-0,261
11,2000	1,291
11,2500	0,883
11,3000	-0,539
11,3500	0,372
11,4000	1,448
11,4500	0,192
11,5000	-0,474
11,5500	1,038
11,6000	1,178
11,6500	-0,385
11,7000	0,011
11,7500	1,417
11,8000	0,565
11,8500	-0,565
11,9000	0,705
11,9500	1,373
12,0000	-0,121
12,0500	-0,289
12,1000	1,269
12,1500	0,920
12,2000	-0,528
12,2500	0,335
