Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,724
0,0500	-1,733
0,1000	-0,685
0,1500	0,287
0,2000	-0,686
0,2500	-1,733
0,3000	-0,721
0,3500	0,286
0,4000	-0,655
0,4500	-1,733
0,5000	-0,751
0,5500	0,286
0,6000	-0,625
0,6500	-1,731
0,7000	-0,779
0,7500	0,284
0,8000	-0,597
0,8500	-1,729
0,9000	-0,806
0,9500	0,281
1,0000	-0,569
1,0500	-1,726
1,1000	-0,836
1,1500	0,278
1,2000	-0,540
1,2500	-1,723
1,3000	-0,864
1,3500	0,273
1,4000	-0,512
1,4500	-1,718
1,5000	-0,891
1,5500	0,270
1,6000	-0,485
1,6500	-1,714
1,7000	-0,919
1,7500	0,264
1,8000	-0,457
1,8500	-1,706
1,9000	-0,949
1,9500	0,258
2,0000	-0,429
2,0500	-1,700
2,1000	-0,977
2,1500	0,251
2,2000	-0,402
2,2500	-1,692
2,3000	-1,005
2,3500	0,245
2,4000	-0,374
2,4500	-1,682
2,5000	-1,034
2,5500	0,237
2,6000	-0,347
2,6500	-1,673
2,7000	-1,062
2,7500	0,226
2,8000	-0,320
2,8500	-1,662
2,9000	-1,090
2,9500	0,215
3,0000	-0,291
3,0500	-1,649
3,1000	-1,122
3,1500	0,204
3,2000	-0,262
3,2500	-1,637
3,3000	-1,151
3,3500	0,193
3,4000	-0,236
3,4500	-1,624
3,5000	-1,177
3,5500	0,181
3,6000	-0,210
3,6500	-1,610
3,7000	-1,203
3,7500	0,170
3,8000	-0,187
3,8500	-1,598
3,9000	-1,225
3,9500	0,159
4,0000	-0,167
4,0500	-1,585
4,1000	-1,243
4,1500	0,149
4,2000	-0,149
4,2500	-1,574
4,3000	-1,261
4,3500	0,137
4,4000	-0,132
4,4500	-1,563
4,5000	-1,279
4,5500	0,127
4,6000	-0,118
4,6500	-1,552
4,7000	-1,294
4,7500	0,118
4,8000	-0,104
4,8500	-1,543
4,9000	-1,308
4,9500	0,110
5,0000	-0,091
5,0500	-1,532
5,1000	-1,323
5,1500	0,099
5,2000	-0,079
5,2500	-1,521
5,3000	-1,337
5,3500	0,090
5,4000	-0,066
5,4500	-1,511
5,5000	-1,349
5,5500	0,080
5,6000	-0,055
5,6500	-1,502
5,7000	-1,360
5,7500	0,074
5,8000	-0,046
5,8500	-1,494
5,9000	-1,370
5,9500	0,066
6,0000	-0,038
6,0500	-1,488
6,1000	-1,378
6,1500	0,061
6,2000	-0,031
6,2500	-1,481
6,3000	-1,385
6,3500	0,053
6,4000	-0,025
6,4500	-1,475
6,5000	-1,392
6,5500	0,047
6,6000	-0,016
6,6500	-1,467
6,7000	-1,401
6,7500	0,041
6,8000	-0,008
6,8500	-1,458
6,9000	-1,411
6,9500	0,031
