Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,428
0,0500	0,138
0,1000	-1,679
0,1500	-0,767
0,2000	-0,198
0,2500	-1,879
0,3000	-0,141
0,3500	-0,837
0,4000	-1,632
0,4500	0,148
0,5000	-1,494
0,5500	-1,037
0,6000	-0,017
0,6500	-1,854
0,7000	-0,353
0,7500	-0,573
0,8000	-1,780
0,8500	0,088
0,9000	-1,264
0,9500	-1,293
1,0000	0,097
1,0500	-1,766
1,1000	-0,597
1,1500	-0,331
1,2000	-1,858
1,2500	-0,030
1,3000	-1,019
1,3500	-1,508
1,4000	0,149
1,4500	-1,623
1,5000	-0,853
1,5500	-0,134
1,6000	-1,877
1,6500	-0,201
1,7000	-0,760
1,7500	-1,681
1,8000	0,138
1,8500	-1,433
1,9000	-1,106
1,9500	0,019
2,0000	-1,835
2,0500	-0,415
2,1000	-0,514
2,1500	-1,805
2,2000	0,068
2,2500	-1,208
2,3000	-1,343
2,3500	0,115
2,4000	-1,737
2,4500	-0,655
2,5000	-0,287
2,5500	-1,868
2,6000	-0,063
2,6500	-0,958
2,7000	-1,550
2,7500	0,152
2,8000	-1,583
2,8500	-0,914
2,9000	-0,093
2,9500	-1,872
3,0000	-0,247
3,0500	-0,699
3,1000	-1,714
3,1500	0,126
3,2000	-1,382
3,2500	-1,169
3,3000	0,046
3,3500	-1,817
3,4000	-0,468
3,4500	-0,456
3,5000	-1,824
3,5500	0,041
3,6000	-1,155
3,6500	-1,395
3,7000	0,129
3,7500	-1,707
3,8000	-0,708
3,8500	-0,243
3,9000	-1,874
3,9500	-0,097
4,0000	-0,909
4,0500	-1,587
4,1000	0,152
4,1500	-1,550
4,2000	-0,957
4,2500	-0,064
4,3000	-1,869
4,3500	-0,281
4,4000	-0,663
4,4500	-1,736
4,5000	0,118
4,5500	-1,352
4,6000	-1,197
4,6500	0,060
4,7000	-1,810
4,7500	-0,498
4,8000	-0,430
4,8500	-1,832
4,9000	0,030
4,9500	-1,126
5,0000	-1,415
5,0500	0,134
5,1000	-1,692
5,1500	-0,738
5,2000	-0,220
5,2500	-1,876
5,3000	-0,116
5,3500	-0,875
5,4000	-1,607
5,4500	0,151
5,5000	-1,527
5,5500	-0,994
5,6000	-0,042
5,6500	-1,863
5,7000	-0,313
5,7500	-0,622
5,8000	-1,755
5,8500	0,105
5,9000	-1,313
