FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	1,539
0,039	0,014
0,078	0,007
0,117	0,005
0,156	0,005
0,195	0,005
0,234	0,004
0,273	0,004
0,312	0,003
0,352	0,004
0,391	0,004
0,430	0,004
0,469	0,004
0,508	0,005
0,547	0,005
0,586	0,005
0,625	0,005
0,664	0,005
0,703	0,005
0,742	0,006
0,781	0,006
0,820	0,006
0,859	0,007
0,898	0,007
0,937	0,007
0,977	0,008
1,016	0,008
1,055	0,008
1,094	0,009
1,133	0,010
1,172	0,010
1,211	0,010
1,250	0,011
1,289	0,011
1,328	0,012
1,367	0,012
1,406	0,013
1,445	0,014
1,484	0,015
1,523	0,015
1,562	0,016
1,602	0,017
1,641	0,018
1,680	0,020
1,719	0,020
1,758	0,021
1,797	0,023
1,836	0,024
1,875	0,025
1,914	0,027
1,953	0,029
1,992	0,031
2,031	0,035
2,070	0,037
2,109	0,040
2,148	0,046
2,187	0,052
2,227	0,055
2,266	0,069
2,305	0,079
2,344	0,109
2,383	0,138
2,422	0,134
2,461	0,236
2,500	0,495
2,539	0,932
2,578	1,000
2,617	0,849
2,656	0,648
2,695	0,418
2,734	0,241
2,773	0,191
2,812	0,134
2,852	0,111
2,891	0,094
2,930	0,082
2,969	0,070
3,008	0,064
3,047	0,056
3,086	0,053
3,125	0,048
3,164	0,044
3,203	0,042
3,242	0,041
3,281	0,037
3,320	0,037
3,359	0,034
3,398	0,033
3,437	0,031
3,477	0,031
3,516	0,029
3,555	0,028
3,594	0,027
3,633	0,026
3,672	0,025
3,711	0,024
3,750	0,024
3,789	0,023
3,828	0,023
3,867	0,022
3,906	0,021
3,945	0,021
3,984	0,021
4,023	0,020
4,062	0,020
4,102	0,019
4,141	0,019
4,180	0,018
4,219	0,017
4,258	0,018
4,297	0,017
4,336	0,016
4,375	0,016
4,414	0,016
4,453	0,016
4,492	0,015
4,531	0,015
4,570	0,014
4,609	0,014
4,648	0,013
4,687	0,013
4,727	0,012
4,766	0,012
4,805	0,012
4,844	0,010
4,883	0,008
4,922	0,002
4,961	0,003
5,000	0,020
5,039	0,049
5,078	0,099
5,117	0,120
5,156	0,056
5,195	0,096
5,234	0,054
5,273	0,078
5,312	0,088
5,352	0,065
5,391	0,048
5,430	0,032
5,469	0,023
5,508	0,019
5,547	0,018
5,586	0,016
5,625	0,015
5,664	0,014
5,703	0,014
5,742	0,014
5,781	0,014
5,820	0,013
5,859	0,014
5,898	0,013
5,937	0,013
5,977	0,013
6,016	0,013
6,055	0,013
6,094	0,013
6,133	0,013
6,172	0,013
6,211	0,013
6,250	0,012
6,289	0,012
6,328	0,012
6,367	0,012
6,406	0,012
6,445	0,012
6,484	0,012
6,523	0,012
6,562	0,012
6,602	0,012
6,641	0,012
6,680	0,012
6,719	0,012
6,758	0,012
6,797	0,011
6,836	0,011
6,875	0,012
6,914	0,012
6,953	0,011
6,992	0,012
7,031	0,011
7,070	0,011
7,109	0,011
7,148	0,012
7,187	0,011
7,227	0,011
7,266	0,012
7,305	0,011
7,344	0,011
7,383	0,012
7,422	0,012
7,461	0,013
7,500	0,013
7,539	0,015
7,578	0,019
7,617	0,017
7,656	0,005
7,695	0,014
7,734	0,013
7,773	0,013
7,812	0,012
7,852	0,017
7,891	0,006
7,930	0,009
7,969	0,016
8,008	0,017
8,047	0,015
8,086	0,013
8,125	0,012
8,164	0,011
8,203	0,011
8,242	0,010
8,281	0,010
8,320	0,010
8,359	0,010
8,398	0,010
8,437	0,010
8,477	0,010
8,516	0,010
8,555	0,010
8,594	0,010
8,633	0,010
8,672	0,010
8,711	0,010
8,750	0,010
8,789	0,010
8,828	0,010
8,867	0,010
8,906	0,010
8,945	0,010
8,984	0,010
9,023	0,010
9,062	0,010
9,102	0,010
9,141	0,010
9,180	0,009
9,219	0,009
9,258	0,009
9,297	0,010
9,336	0,010
9,375	0,011
9,414	0,011
9,453	0,009
9,492	0,009
9,531	0,011
9,570	0,010
9,609	0,010
9,648	0,011
9,687	0,010
9,727	0,010
9,766	0,011
9,805	0,008
9,844	0,009
9,883	0,012
9,922	0,012
9,961	0,011
