FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,190
0,039	0,003
0,078	0,003
0,117	0,003
0,156	0,003
0,195	0,003
0,234	0,003
0,273	0,003
0,313	0,003
0,352	0,003
0,391	0,003
0,430	0,003
0,469	0,003
0,508	0,003
0,547	0,003
0,586	0,003
0,625	0,003
0,664	0,003
0,703	0,003
0,742	0,003
0,781	0,003
0,820	0,003
0,859	0,003
0,898	0,003
0,938	0,003
0,977	0,003
1,016	0,003
1,055	0,004
1,094	0,003
1,133	0,003
1,172	0,003
1,211	0,003
1,250	0,003
1,289	0,003
1,328	0,004
1,367	0,004
1,406	0,004
1,445	0,004
1,484	0,005
1,523	0,005
1,563	0,002
1,602	0,003
1,641	0,003
1,680	0,003
1,719	0,003
1,758	0,003
1,797	0,003
1,836	0,003
1,875	0,003
1,914	0,003
1,953	0,003
1,992	0,003
2,031	0,003
2,070	0,003
2,109	0,003
2,148	0,003
2,188	0,003
2,227	0,003
2,266	0,003
2,305	0,003
2,344	0,003
2,383	0,003
2,422	0,003
2,461	0,003
2,500	0,003
2,539	0,003
2,578	0,004
2,617	0,003
2,656	0,003
2,695	0,004
2,734	0,004
2,773	0,003
2,813	0,004
2,852	0,003
2,891	0,003
2,930	0,003
2,969	0,003
3,008	0,003
3,047	0,004
3,086	0,003
3,125	0,004
3,164	0,003
3,203	0,004
3,242	0,003
3,281	0,004
3,320	0,004
3,359	0,004
3,398	0,004
3,438	0,004
3,477	0,004
3,516	0,004
3,555	0,004
3,594	0,004
3,633	0,004
3,672	0,004
3,711	0,004
3,750	0,004
3,789	0,004
3,828	0,004
3,867	0,004
3,906	0,004
3,945	0,004
3,984	0,004
4,023	0,004
4,063	0,004
4,102	0,004
4,141	0,004
4,180	0,004
4,219	0,004
4,258	0,004
4,297	0,004
4,336	0,004
4,375	0,004
4,414	0,004
4,453	0,004
4,492	0,004
4,531	0,004
4,570	0,004
4,609	0,004
4,648	0,004
4,688	0,004
4,727	0,004
4,766	0,004
4,805	0,005
4,844	0,005
4,883	0,004
4,922	0,005
4,961	0,005
5,000	0,005
5,039	0,005
5,078	0,005
5,117	0,005
5,156	0,005
5,195	0,005
5,234	0,005
5,273	0,005
5,313	0,005
5,352	0,005
5,391	0,005
5,430	0,005
5,469	0,005
5,508	0,005
5,547	0,005
5,586	0,005
5,625	0,004
5,664	0,006
5,703	0,006
5,742	0,006
5,781	0,006
5,820	0,006
5,859	0,007
5,898	0,007
5,938	0,007
5,977	0,007
6,016	0,007
6,055	0,007
6,094	0,007
6,133	0,007
6,172	0,008
6,211	0,008
6,250	0,009
6,289	0,009
6,328	0,009
6,367	0,009
6,406	0,009
6,445	0,010
6,484	0,011
6,523	0,011
6,563	0,012
6,602	0,012
6,641	0,013
6,680	0,013
6,719	0,015
6,758	0,016
6,797	0,018
6,836	0,019
6,875	0,022
6,914	0,024
6,953	0,029
6,992	0,035
7,031	0,044
7,070	0,057
7,109	0,102
7,148	0,133
7,188	1,000
7,227	0,110
7,266	0,067
7,305	0,047
7,344	0,034
7,383	0,030
7,422	0,023
7,461	0,019
7,500	0,017
7,539	0,014
7,578	0,013
7,617	0,011
7,656	0,011
7,695	0,009
7,734	0,009
7,773	0,008
7,813	0,008
7,852	0,007
7,891	0,007
7,930	0,006
7,969	0,006
8,008	0,006
8,047	0,005
8,086	0,005
8,125	0,005
8,164	0,004
8,203	0,004
8,242	0,004
8,281	0,004
8,320	0,003
8,359	0,003
8,398	0,003
8,438	0,003
8,477	0,003
8,516	0,003
8,555	0,003
8,594	0,003
8,633	0,002
8,672	0,002
8,711	0,002
8,750	0,002
8,789	0,002
8,828	0,002
8,867	0,002
8,906	0,002
8,945	0,002
8,984	0,001
9,023	0,001
9,063	0,001
9,102	0,001
9,141	0,001
9,180	0,001
9,219	0,001
9,258	0,001
9,297	0,001
9,336	0,001
9,375	9,091E-4
9,414	8,068E-4
9,453	9,242E-4
9,492	7,845E-4
9,531	8,312E-4
9,570	7,647E-4
9,609	6,555E-4
9,648	7,492E-4
9,688	6,950E-4
9,727	2,623E-4
9,766	5,157E-4
9,805	7,011E-4
9,844	5,592E-4
9,883	6,237E-4
9,922	4,499E-4
9,961	4,885E-4
