FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	1,472
0,039	0,010
0,078	0,010
0,117	0,010
0,156	0,010
0,195	0,010
0,234	0,010
0,273	0,010
0,313	0,010
0,352	0,010
0,391	0,010
0,430	0,010
0,469	0,010
0,508	0,010
0,547	0,011
0,586	0,010
0,625	0,010
0,664	0,011
0,703	0,011
0,742	0,011
0,781	0,010
0,820	0,011
0,859	0,011
0,898	0,011
0,938	0,011
0,977	0,011
1,016	0,011
1,055	0,011
1,094	0,011
1,133	0,011
1,172	0,011
1,211	0,011
1,250	0,011
1,289	0,011
1,328	0,011
1,367	0,011
1,406	0,011
1,445	0,011
1,484	0,011
1,523	0,011
1,563	0,011
1,602	0,011
1,641	0,011
1,680	0,011
1,719	0,011
1,758	0,011
1,797	0,011
1,836	0,011
1,875	0,012
1,914	0,012
1,953	0,012
1,992	0,012
2,031	0,012
2,070	0,012
2,109	0,012
2,148	0,012
2,188	0,012
2,227	0,012
2,266	0,012
2,305	0,012
2,344	0,012
2,383	0,012
2,422	0,013
2,461	0,013
2,500	0,013
2,539	0,013
2,578	0,013
2,617	0,013
2,656	0,013
2,695	0,013
2,734	0,013
2,773	0,014
2,813	0,014
2,852	0,014
2,891	0,014
2,930	0,014
2,969	0,014
3,008	0,015
3,047	0,015
3,086	0,015
3,125	0,015
3,164	0,015
3,203	0,015
3,242	0,016
3,281	0,016
3,320	0,016
3,359	0,016
3,398	0,016
3,438	0,017
3,477	0,017
3,516	0,017
3,555	0,018
3,594	0,018
3,633	0,018
3,672	0,019
3,711	0,019
3,750	0,019
3,789	0,020
3,828	0,020
3,867	0,021
3,906	0,021
3,945	0,022
3,984	0,023
4,023	0,023
4,063	0,024
4,102	0,025
4,141	0,025
4,180	0,027
4,219	0,028
4,258	0,028
4,297	0,029
4,336	0,031
4,375	0,032
4,414	0,034
4,453	0,036
4,492	0,038
4,531	0,040
4,570	0,043
4,609	0,053
4,648	0,051
4,688	0,057
4,727	0,060
4,766	0,073
4,805	0,079
4,844	0,082
4,883	0,107
4,922	0,141
4,961	0,181
5,000	0,327
5,039	0,614
5,078	0,633
5,117	1,000
5,156	0,576
5,195	0,140
5,234	0,141
5,273	0,106
5,313	0,078
5,352	0,068
5,391	0,058
5,430	0,049
5,469	0,045
5,508	0,039
5,547	0,037
5,586	0,033
5,625	0,030
5,664	0,027
5,703	0,027
5,742	0,025
5,781	0,023
5,820	0,021
5,859	0,020
5,898	0,019
5,938	0,018
5,977	0,017
6,016	0,016
6,055	0,015
6,094	0,015
6,133	0,014
6,172	0,013
6,211	0,013
6,250	0,012
6,289	0,012
6,328	0,011
6,367	0,011
6,406	0,010
6,445	0,010
6,484	0,010
6,523	0,009
6,563	0,009
6,602	0,009
6,641	0,008
6,680	0,008
6,719	0,008
6,758	0,007
6,797	0,007
6,836	0,007
6,875	0,007
6,914	0,006
6,953	0,006
6,992	0,006
7,031	0,006
7,070	0,006
7,109	0,005
7,148	0,005
7,188	0,005
7,227	0,005
7,266	0,005
7,305	0,005
7,344	0,004
7,383	0,004
7,422	0,004
7,461	0,004
7,500	0,004
7,539	0,004
7,578	0,004
7,617	0,003
7,656	0,003
7,695	0,003
7,734	0,003
7,773	0,003
7,813	0,003
7,852	0,003
7,891	0,003
7,930	0,003
7,969	0,003
8,008	0,003
8,047	0,003
8,086	0,003
8,125	0,002
8,164	0,002
8,203	0,002
8,242	0,002
8,281	0,002
8,320	0,002
8,359	0,002
8,398	0,002
8,438	0,002
8,477	0,002
8,516	0,002
8,555	0,002
8,594	0,001
8,633	0,002
8,672	0,002
8,711	0,001
8,750	0,001
8,789	0,001
8,828	0,001
8,867	0,001
8,906	0,001
8,945	0,001
8,984	9,568E-4
9,023	0,001
9,063	8,437E-4
9,102	8,594E-4
9,141	8,096E-4
9,180	8,138E-4
9,219	7,373E-4
9,258	8,598E-4
9,297	6,920E-4
9,336	6,643E-4
9,375	6,052E-4
9,414	5,731E-4
9,453	4,382E-4
9,492	6,011E-4
9,531	5,861E-4
9,570	7,958E-4
9,609	0,001
9,648	0,001
9,688	0,001
9,727	0,010
9,766	0,014
9,805	0,004
9,844	0,010
9,883	0,010
9,922	0,007
9,961	0,004
