Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,390
0,0500	-0,947
0,1000	0,148
0,1500	0,613
0,2000	0,156
0,2500	-0,950
0,3000	-1,389
0,3500	-0,619
0,4000	0,388
0,4500	0,575
0,5000	-0,160
0,5500	-1,213
0,6000	-1,263
0,6500	-0,262
0,7000	0,542
0,7500	0,449
0,8000	-0,515
0,8500	-1,367
0,9000	-1,032
0,9500	0,064
1,0000	0,609
1,0500	0,234
1,1000	-0,861
1,1500	-1,401
1,2000	-0,716
1,2500	0,327
1,3000	0,594
1,3500	-0,060
1,4000	-1,145
1,4500	-1,313
1,5000	-0,368
1,5500	0,507
1,6000	0,495
1,6500	-0,407
1,7000	-1,334
1,7500	-1,109
1,8000	-0,025
1,8500	0,600
1,9000	0,302
1,9500	-0,768
2,0000	-1,403
2,0500	-0,809
2,1000	0,265
2,1500	0,606
2,2000	0,017
2,2500	-1,084
2,3000	-1,345
2,3500	-0,448
2,4000	0,474
2,4500	0,525
2,5000	-0,335
2,5500	-1,305
2,6000	-1,158
2,6500	-0,088
2,7000	0,589
2,7500	0,344
2,8000	-0,705
2,8500	-1,400
2,9000	-0,867
2,9500	0,218
3,0000	0,611
3,0500	0,074
3,1000	-1,035
3,1500	-1,365
3,2000	-0,514
3,2500	0,445
3,3000	0,545
3,3500	-0,267
3,4000	-1,274
3,4500	-1,200
3,5000	-0,151
3,5500	0,575
3,6000	0,383
3,6500	-0,639
3,7000	-1,392
3,7500	-0,925
3,8000	0,171
3,8500	0,613
3,9000	0,129
3,9500	-0,980
4,0000	-1,381
4,0500	-0,581
4,1000	0,410
4,1500	0,564
4,2000	-0,199
4,2500	-1,236
4,3000	-1,241
4,3500	-0,221
4,4000	0,556
4,4500	0,427
4,5000	-0,561
4,5500	-1,379
4,6000	-0,993
4,6500	0,104
4,7000	0,611
4,7500	0,198
4,8000	-0,906
4,8500	-1,396
4,9000	-0,666
4,9500	0,361
5,0000	0,584
5,0500	-0,115
5,1000	-1,184
