FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	0,867
0,039	9,536E-4
0,078	8,466E-4
0,117	9,390E-4
0,156	9,013E-4
0,195	9,353E-4
0,234	9,044E-4
0,273	8,789E-4
0,312	9,521E-4
0,352	9,099E-4
0,391	8,744E-4
0,430	8,938E-4
0,469	9,394E-4
0,508	9,258E-4
0,547	9,168E-4
0,586	8,907E-4
0,625	9,740E-4
0,664	0,001
0,703	9,307E-4
0,742	9,402E-4
0,781	9,262E-4
0,820	9,960E-4
0,859	8,778E-4
0,898	9,938E-4
0,937	6,840E-4
0,977	8,862E-4
1,016	8,852E-4
1,055	8,961E-4
1,094	9,454E-4
1,133	8,774E-4
1,172	9,090E-4
1,211	8,667E-4
1,250	9,009E-4
1,289	9,550E-4
1,328	9,072E-4
1,367	9,844E-4
1,406	9,065E-4
1,445	8,727E-4
1,484	8,383E-4
1,523	8,903E-4
1,562	9,721E-4
1,602	7,137E-4
1,641	8,748E-4
1,680	8,720E-4
1,719	8,404E-4
1,758	8,346E-4
1,797	8,682E-4
1,836	8,422E-4
1,875	9,321E-4
1,914	9,587E-4
1,953	9,054E-4
1,992	7,556E-4
2,031	8,409E-4
2,070	8,154E-4
2,109	6,426E-4
2,148	6,505E-4
2,187	7,233E-4
2,227	4,488E-4
2,266	0,004
2,305	0,002
2,344	0,001
2,383	0,001
2,422	0,001
2,461	0,001
2,500	0,001
2,539	0,001
2,578	0,002
2,617	0,001
2,656	0,001
2,695	0,001
2,734	0,001
2,773	0,001
2,812	0,001
2,852	0,001
2,891	0,001
2,930	8,762E-4
2,969	9,587E-4
3,008	0,001
3,047	0,001
3,086	0,001
3,125	0,001
3,164	0,001
3,203	0,001
3,242	0,001
3,281	0,001
3,320	0,001
3,359	0,001
3,398	0,001
3,437	0,001
3,477	0,001
3,516	0,001
3,555	0,001
3,594	0,001
3,633	0,001
3,672	0,001
3,711	0,001
3,750	0,001
3,789	0,001
3,828	0,001
3,867	0,001
3,906	0,001
3,945	0,001
3,984	0,001
4,023	0,001
4,062	0,001
4,102	0,001
4,141	0,001
4,180	0,001
4,219	0,001
4,258	0,001
4,297	0,001
4,336	0,001
4,375	0,001
4,414	0,001
4,453	0,001
4,492	0,001
4,531	0,002
4,570	0,001
4,609	0,002
4,648	0,002
4,687	0,001
4,727	0,001
4,766	0,001
4,805	0,002
4,844	0,002
4,883	0,002
4,922	0,002
4,961	0,002
5,000	0,002
5,039	0,001
5,078	0,001
5,117	9,996E-4
5,156	0,002
5,195	0,003
5,234	0,002
5,273	0,002
5,312	0,002
5,352	0,002
5,391	0,002
5,430	0,002
5,469	0,002
5,508	0,002
5,547	0,002
5,586	0,002
5,625	0,002
5,664	0,002
5,703	0,002
5,742	0,002
5,781	0,002
5,820	0,002
5,859	0,003
5,898	0,003
5,937	0,003
5,977	0,003
6,016	0,003
6,055	0,003
6,094	0,003
6,133	0,003
6,172	0,003
6,211	0,003
6,250	0,003
6,289	0,003
6,328	0,004
6,367	0,004
6,406	0,004
6,445	0,004
6,484	0,004
6,523	0,004
6,562	0,005
6,602	0,005
6,641	0,005
6,680	0,005
6,719	0,006
6,758	0,006
6,797	0,006
6,836	0,007
6,875	0,008
6,914	0,008
6,953	0,008
6,992	0,010
7,031	0,010
7,070	0,010
7,109	0,013
7,148	0,015
7,187	0,014
7,227	0,019
7,266	0,025
7,305	0,038
7,344	0,043
7,383	0,122
7,422	1,000
7,461	0,104
7,500	0,040
7,539	0,036
7,578	0,025
7,617	0,019
7,656	0,014
7,695	0,014
7,734	0,013
7,773	0,010
7,812	0,010
7,852	0,009
7,891	0,008
7,930	0,008
7,969	0,008
8,008	0,007
8,047	0,006
8,086	0,006
8,125	0,006
8,164	0,006
8,203	0,005
8,242	0,005
8,281	0,005
8,320	0,005
8,359	0,005
8,398	0,004
8,437	0,004
8,477	0,004
8,516	0,004
8,555	0,004
8,594	0,004
8,633	0,004
8,672	0,004
8,711	0,004
8,750	0,003
8,789	0,003
8,828	0,003
8,867	0,003
8,906	0,003
8,945	0,003
8,984	0,003
9,023	0,003
9,062	0,003
9,102	0,003
9,141	0,003
9,180	0,003
9,219	0,003
9,258	0,003
9,297	0,003
9,336	0,003
9,375	0,003
9,414	0,003
9,453	0,003
9,492	0,003
9,531	0,002
9,570	0,003
9,609	0,003
9,648	0,003
9,687	0,002
9,727	0,002
9,766	0,003
9,805	0,002
9,844	0,002
9,883	0,002
9,922	0,002
9,961	0,002
