FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	1,023
0,039	0,004
0,078	0,004
0,117	0,004
0,156	0,004
0,195	0,005
0,234	0,004
0,273	0,005
0,312	0,004
0,352	0,004
0,391	0,004
0,430	0,004
0,469	0,004
0,508	0,004
0,547	0,004
0,586	0,004
0,625	0,004
0,664	0,004
0,703	0,004
0,742	0,004
0,781	0,004
0,820	0,004
0,859	0,004
0,898	0,004
0,937	0,004
0,977	0,004
1,016	0,005
1,055	0,005
1,094	0,004
1,133	0,005
1,172	0,005
1,211	0,004
1,250	0,004
1,289	0,004
1,328	0,004
1,367	0,004
1,406	0,005
1,445	0,004
1,484	0,004
1,523	0,005
1,562	0,005
1,602	0,004
1,641	0,004
1,680	0,004
1,719	0,004
1,758	0,004
1,797	0,004
1,836	0,004
1,875	0,004
1,914	0,004
1,953	0,004
1,992	0,004
2,031	0,004
2,070	0,004
2,109	0,004
2,148	0,004
2,187	0,004
2,227	0,004
2,266	0,004
2,305	0,004
2,344	0,004
2,383	0,004
2,422	0,004
2,461	0,004
2,500	0,004
2,539	0,004
2,578	0,004
2,617	0,004
2,656	0,004
2,695	0,004
2,734	0,004
2,773	0,004
2,812	0,004
2,852	0,004
2,891	0,004
2,930	0,004
2,969	0,004
3,008	0,005
3,047	0,004
3,086	0,004
3,125	0,004
3,164	0,005
3,203	0,004
3,242	0,008
3,281	0,004
3,320	0,002
3,359	0,004
3,398	0,004
3,437	0,004
3,477	0,005
3,516	0,004
3,555	0,004
3,594	0,004
3,633	0,004
3,672	0,004
3,711	0,005
3,750	0,005
3,789	0,004
3,828	0,005
3,867	0,004
3,906	0,005
3,945	0,004
3,984	0,005
4,023	0,004
4,062	0,004
4,102	0,004
4,141	0,004
4,180	0,004
4,219	0,004
4,258	0,004
4,297	0,005
4,336	0,005
4,375	0,004
4,414	0,004
4,453	0,005
4,492	0,004
4,531	0,004
4,570	0,005
4,609	0,004
4,648	0,004
4,687	0,004
4,727	0,004
4,766	0,004
4,805	0,004
4,844	0,004
4,883	0,004
4,922	0,005
4,961	0,004
5,000	0,004
5,039	0,005
5,078	0,006
5,117	0,003
5,156	0,005
5,195	0,004
5,234	0,004
5,273	0,004
5,312	0,004
5,352	0,004
5,391	0,004
5,430	0,005
5,469	0,005
5,508	0,004
5,547	0,004
5,586	0,005
5,625	0,004
5,664	0,004
5,703	0,004
5,742	0,005
5,781	0,004
5,820	0,004
5,859	0,004
5,898	0,004
5,937	0,004
5,977	0,004
6,016	0,004
6,055	0,004
6,094	0,004
6,133	0,005
6,172	0,004
6,211	0,004
6,250	0,004
6,289	0,004
6,328	0,004
6,367	0,005
6,406	0,004
6,445	0,005
6,484	0,004
6,523	0,005
6,562	0,004
6,602	0,004
6,641	0,004
6,680	0,004
6,719	0,005
6,758	0,004
6,797	0,004
6,836	0,004
6,875	0,004
6,914	0,004
6,953	0,004
6,992	0,004
7,031	0,004
7,070	0,004
7,109	0,004
7,148	0,004
7,187	0,004
7,227	0,004
7,266	0,004
7,305	0,005
7,344	0,004
7,383	0,004
7,422	0,004
7,461	0,004
7,500	0,004
7,539	0,004
7,578	0,004
7,617	0,005
7,656	0,005
7,695	0,005
7,734	0,004
7,773	0,005
7,812	0,005
7,852	0,004
7,891	0,005
7,930	0,005
7,969	0,004
8,008	0,004
8,047	0,006
8,086	0,006
8,125	0,005
8,164	0,006
8,203	0,007
8,242	0,009
8,281	0,014
8,320	0,181
8,359	1,000
8,398	0,179
8,437	0,027
8,477	0,010
8,516	0,004
8,555	0,006
8,594	0,004
8,633	0,005
8,672	0,004
8,711	0,003
8,750	0,004
8,789	0,004
8,828	0,004
8,867	0,004
8,906	0,004
8,945	0,004
8,984	0,004
9,023	0,004
9,062	0,004
9,102	0,004
9,141	0,004
9,180	0,004
9,219	0,004
9,258	0,004
9,297	0,004
9,336	0,004
9,375	0,004
9,414	0,004
9,453	0,004
9,492	0,004
9,531	0,004
9,570	0,004
9,609	0,004
9,648	0,004
9,687	0,004
9,727	0,004
9,766	0,004
9,805	0,004
9,844	0,004
9,883	0,004
9,922	0,004
9,961	0,004
