FFT von Winkelposition, Messreihe #2, Daten
Frequenz ( Hz )	Relative Amplitude (  )
0,000	1,056
0,039	0,004
0,078	0,004
0,117	0,004
0,156	0,004
0,195	0,004
0,234	0,004
0,273	0,004
0,313	0,004
0,352	0,004
0,391	0,004
0,430	0,004
0,469	0,004
0,508	0,004
0,547	0,004
0,586	0,004
0,625	0,004
0,664	0,004
0,703	0,004
0,742	0,004
0,781	0,004
0,820	0,004
0,859	0,004
0,898	0,004
0,938	0,004
0,977	0,004
1,016	0,004
1,055	0,004
1,094	0,004
1,133	0,004
1,172	0,004
1,211	0,004
1,250	0,004
1,289	0,004
1,328	0,004
1,367	0,004
1,406	0,004
1,445	0,004
1,484	0,004
1,523	0,004
1,563	0,004
1,602	0,004
1,641	0,004
1,680	0,005
1,719	0,004
1,758	0,004
1,797	0,004
1,836	0,005
1,875	0,005
1,914	0,005
1,953	0,005
1,992	0,005
2,031	0,004
2,070	0,005
2,109	0,005
2,148	0,005
2,188	0,005
2,227	0,005
2,266	0,005
2,305	0,005
2,344	0,005
2,383	0,005
2,422	0,005
2,461	0,005
2,500	0,005
2,539	0,008
2,578	0,005
2,617	0,004
2,656	0,005
2,695	0,004
2,734	0,005
2,773	0,005
2,813	0,005
2,852	0,005
2,891	0,005
2,930	0,005
2,969	0,005
3,008	0,005
3,047	0,005
3,086	0,005
3,125	0,005
3,164	0,005
3,203	0,005
3,242	0,005
3,281	0,005
3,320	0,005
3,359	0,005
3,398	0,005
3,438	0,005
3,477	0,005
3,516	0,005
3,555	0,005
3,594	0,005
3,633	0,005
3,672	0,005
3,711	0,005
3,750	0,005
3,789	0,005
3,828	0,005
3,867	0,005
3,906	0,005
3,945	0,005
3,984	0,005
4,023	0,005
4,063	0,006
4,102	0,005
4,141	0,006
4,180	0,006
4,219	0,006
4,258	0,006
4,297	0,006
4,336	0,006
4,375	0,006
4,414	0,006
4,453	0,006
4,492	0,006
4,531	0,006
4,570	0,006
4,609	0,006
4,648	0,006
4,688	0,006
4,727	0,006
4,766	0,006
4,805	0,006
4,844	0,006
4,883	0,006
4,922	0,006
4,961	0,005
5,000	0,008
5,039	0,007
5,078	0,008
5,117	0,007
5,156	0,007
5,195	0,008
5,234	0,008
5,273	0,008
5,313	0,008
5,352	0,008
5,391	0,008
5,430	0,008
5,469	0,008
5,508	0,009
5,547	0,008
5,586	0,009
5,625	0,009
5,664	0,009
5,703	0,009
5,742	0,009
5,781	0,009
5,820	0,010
5,859	0,010
5,898	0,010
5,938	0,010
5,977	0,010
6,016	0,011
6,055	0,011
6,094	0,011
6,133	0,011
6,172	0,012
6,211	0,012
6,250	0,013
6,289	0,013
6,328	0,013
6,367	0,013
6,406	0,014
6,445	0,014
6,484	0,015
6,523	0,015
6,563	0,016
6,602	0,017
6,641	0,018
6,680	0,018
6,719	0,019
6,758	0,020
6,797	0,021
6,836	0,023
6,875	0,023
6,914	0,026
6,953	0,026
6,992	0,030
7,031	0,030
7,070	0,033
7,109	0,037
7,148	0,042
7,188	0,047
7,227	0,054
7,266	0,061
7,305	0,071
7,344	0,092
7,383	0,112
7,422	0,155
7,461	0,239
7,500	1,000
7,539	0,577
7,578	0,256
7,617	0,152
7,656	0,108
7,695	0,077
7,734	0,066
7,773	0,056
7,813	0,047
7,852	0,042
7,891	0,037
7,930	0,034
7,969	0,032
8,008	0,030
8,047	0,027
8,086	0,026
8,125	0,023
8,164	0,023
8,203	0,021
8,242	0,020
8,281	0,019
8,320	0,018
8,359	0,018
8,398	0,017
8,438	0,016
8,477	0,015
8,516	0,015
8,555	0,014
8,594	0,014
8,633	0,014
8,672	0,013
8,711	0,013
8,750	0,013
8,789	0,012
8,828	0,012
8,867	0,011
8,906	0,011
8,945	0,011
8,984	0,011
9,023	0,011
9,063	0,010
9,102	0,010
9,141	0,010
9,180	0,010
9,219	0,010
9,258	0,010
9,297	0,009
9,336	0,009
9,375	0,009
9,414	0,009
9,453	0,009
9,492	0,009
9,531	0,009
9,570	0,009
9,609	0,009
9,648	0,009
9,688	0,009
9,727	0,009
9,766	0,009
9,805	0,009
9,844	0,008
9,883	0,009
9,922	0,009
9,961	0,008
