Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
16,0500	0,163
16,1000	-1,613
16,1500	-0,798
16,2000	-0,179
16,2500	-1,863
16,3000	-0,082
16,3500	-0,936
16,4000	-1,521
16,4500	0,162
16,5000	-1,634
16,5500	-0,768
16,6000	-0,201
16,6500	-1,861
16,7000	-0,061
16,7500	-0,963
16,8000	-1,499
16,8500	0,160
16,9000	-1,651
16,9500	-0,741
17,0000	-0,221
17,0500	-1,858
17,1000	-0,046
17,1500	-0,986
17,2000	-1,477
17,2500	0,157
17,3000	-1,665
17,3500	-0,716
17,4000	-0,240
17,4500	-1,857
17,5000	-0,033
17,5500	-1,010
17,6000	-1,461
17,6500	0,156
17,7000	-1,676
17,7500	-0,696
17,8000	-0,258
17,8500	-1,854
17,9000	-0,019
17,9500	-1,032
18,0000	-1,440
18,0500	0,151
18,1000	-1,693
18,1500	-0,668
18,2000	-0,280
18,2500	-1,849
18,3000	-0,002
18,3500	-1,062
18,4000	-1,414
18,4500	0,146
18,5000	-1,711
18,5500	-0,635
18,6000	-0,309
18,6500	-1,843
18,7000	0,016
18,7500	-1,096
18,8000	-1,389
18,8500	0,137
18,9000	-1,729
18,9500	-0,602
19,0000	-0,339
19,0500	-1,835
19,1000	0,033
19,1500	-1,131
19,2000	-1,356
19,2500	0,129
19,3000	-1,745
19,3500	-0,564
19,4000	-0,372
19,4500	-1,825
19,5000	0,053
19,5500	-1,172
19,6000	-1,319
19,6500	0,115
19,7000	-1,767
19,7500	-0,520
19,8000	-0,415
19,8500	-1,810
19,9000	0,074
19,9500	-1,216
20,0000	-1,280
20,0500	0,101
20,1000	-1,783
20,1500	-0,479
20,2000	-0,454
20,2500	-1,794
20,3000	0,090
20,3500	-1,253
20,4000	-1,238
20,4500	0,085
20,5000	-1,800
20,5500	-0,438
20,6000	-0,496
20,6500	-1,775
20,7000	0,107
20,7500	-1,299
20,8000	-1,194
20,8500	0,063
20,9000	-1,817
20,9500	-0,388
21,0000	-0,551
