Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	0,415
0,0500	0,495
0,1000	1,304
0,1500	-0,207
0,2000	1,718
0,2500	-0,236
0,3000	1,367
0,3500	0,421
0,4000	0,498
0,4500	1,304
0,5000	-0,207
0,5500	1,720
0,6000	-0,236
0,6500	1,363
0,7000	0,421
0,7500	0,493
0,8000	1,304
0,8500	-0,209
0,9000	1,722
0,9500	-0,232
1,0000	1,363
1,0500	0,427
1,1000	0,492
1,1500	1,308
1,2000	-0,210
1,2500	1,720
1,3000	-0,232
1,3500	1,357
1,4000	0,429
1,4500	0,485
1,5000	1,312
1,5500	-0,212
1,6000	1,722
1,6500	-0,231
1,7000	1,356
1,7500	0,434
1,8000	0,485
1,8500	1,315
1,9000	-0,214
1,9500	1,722
2,0000	-0,229
2,0500	1,349
2,1000	0,440
2,1500	0,473
2,2000	1,321
2,2500	-0,218
2,3000	1,722
2,3500	-0,223
2,4000	1,343
2,4500	0,452
2,5000	0,463
2,5500	1,334
2,6000	-0,225
2,6500	1,722
2,7000	-0,220
2,7500	1,332
2,8000	0,463
2,8500	0,451
2,9000	1,340
2,9500	-0,229
3,0000	1,720
3,0500	-0,214
3,1000	1,324
3,1500	0,476
3,2000	0,443
3,2500	1,349
3,3000	-0,231
3,3500	1,720
3,4000	-0,212
3,4500	1,315
3,5000	0,481
3,5500	0,434
3,6000	1,352
3,6500	-0,236
3,7000	1,720
3,7500	-0,206
3,8000	1,310
3,8500	0,490
3,9000	0,427
3,9500	1,362
4,0000	-0,237
4,0500	1,720
4,1000	-0,206
4,1500	1,302
4,2000	0,496
4,2500	0,419
4,3000	1,365
4,3500	-0,242
4,4000	1,718
4,4500	-0,199
4,5000	1,299
4,5500	0,507
4,6000	0,410
4,6500	1,374
4,7000	-0,245
4,7500	1,718
4,8000	-0,196
4,8500	1,286
4,9000	0,517
4,9500	0,399
5,0000	1,381
5,0500	-0,250
5,1000	1,718
5,1500	-0,190
5,2000	1,280
5,2500	0,529
5,3000	0,388
5,3500	1,392
5,4000	-0,253
5,4500	1,717
5,5000	-0,184
5,5500	1,263
5,6000	0,545
5,6500	0,371
5,7000	1,404
5,7500	-0,262
5,8000	1,715
5,8500	-0,171
5,9000	1,244
5,9500	0,572
6,0000	0,349
6,0500	1,425
6,1000	-0,270
6,1500	1,712
6,2000	-0,157
6,2500	1,219
6,3000	0,600
6,3500	0,317
6,4000	1,447
6,4500	-0,280
6,5000	1,704
6,5500	-0,135
6,6000	1,184
6,6500	0,646
6,7000	0,278
6,7500	1,480
6,8000	-0,292
6,8500	1,693
6,9000	-0,107
6,9500	1,136
7,0000	0,697
7,0500	0,226
7,1000	1,516
7,1500	-0,303
7,2000	1,679
7,2500	-0,066
7,3000	1,078
7,3500	0,765
7,4000	0,171
7,4500	1,555
7,5000	-0,311
7,5500	1,659
7,6000	-0,024
7,6500	1,013
7,7000	0,829
7,7500	0,118
7,8000	1,587
7,8500	-0,316
7,9000	1,638
7,9500	0,022
8,0000	0,955
8,0500	0,894
8,1000	0,069
8,1500	1,619
8,2000	-0,316
8,2500	1,610
8,3000	0,069
8,3500	0,889
8,4000	0,955
8,4500	0,019
8,5000	1,645
8,5500	-0,314
8,6000	1,582
8,6500	0,123
8,7000	0,826
8,7500	1,021
8,8000	-0,027
8,8500	1,668
8,9000	-0,309
8,9500	1,547
9,0000	0,174
9,0500	0,760
9,1000	1,081
9,1500	-0,071
9,2000	1,685
9,2500	-0,300
9,3000	1,513
9,3500	0,229
9,4000	0,701
9,4500	1,142
9,5000	-0,112
9,5500	1,698
9,6000	-0,289
9,6500	1,469
9,7000	0,292
9,7500	0,624
9,8000	1,206
9,8500	-0,154
9,9000	1,709
9,9500	-0,269
10,0000	1,422
10,0500	0,363
10,1000	0,554
10,1500	1,269
10,2000	-0,190
10,2500	1,717
10,3000	-0,245
10,3500	1,368
10,4000	0,426
10,4500	0,484
10,5000	1,324
10,5500	-0,223
10,6000	1,718
10,6500	-0,215
10,7000	1,315
10,7500	0,496
10,8000	0,418
10,8500	1,381
10,9000	-0,250
10,9500	1,714
11,0000	-0,184
11,0500	1,252
11,1000	0,565
11,1500	0,347
11,2000	1,431
11,2500	-0,275
11,3000	1,707
11,3500	-0,145
11,4000	1,194
11,4500	0,638
11,5000	0,284
11,5500	1,480
11,6000	-0,292
11,6500	1,695
11,7000	-0,107
11,7500	1,131
11,8000	0,705
11,8500	0,220
11,9000	1,521
11,9500	-0,305
12,0000	1,679
12,0500	-0,061
12,1000	1,067
12,1500	0,779
12,2000	0,160
12,2500	1,561
12,3000	-0,313
12,3500	1,654
12,4000	-0,017
12,4500	1,002
12,5000	0,842
12,5500	0,105
12,6000	1,593
12,6500	-0,317
12,7000	1,629
12,7500	0,036
12,8000	0,936
12,8500	0,914
12,9000	0,052
12,9500	1,627
13,0000	-0,316
13,0500	1,598
13,1000	0,091
13,1500	0,861
13,2000	0,985
13,2500	-0,003
13,3000	1,652
13,3500	-0,313
13,4000	1,566
13,4500	0,152
