#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	-0,375
0,0010	-0,349
0,0020	-0,317
0,0030	-0,284
0,0040	-0,251
0,0050	-0,218
0,0060	-0,184
0,0070	-0,151
0,0080	-0,116
0,0090	-0,083
0,0100	-0,049
0,0110	-0,014
0,0120	0,020
0,0130	0,055
0,0140	0,090
0,0150	0,124
0,0160	0,159
0,0170	0,193
0,0180	0,226
0,0190	0,261
0,0200	0,294
0,0210	0,327
0,0220	0,360
0,0230	0,394
0,0240	0,427
0,0250	0,460
0,0260	0,490
0,0270	0,522
0,0280	0,551
0,0290	0,580
0,0300	0,609
0,0310	0,638
0,0320	0,666
0,0330	0,694
0,0340	0,721
0,0350	0,746
0,0360	0,770
0,0370	0,793
0,0380	0,815
0,0390	0,837
0,0400	0,859
0,0410	0,880
0,0420	0,900
0,0430	0,919
0,0440	0,936
0,0450	0,952
0,0460	0,968
0,0470	0,982
0,0480	0,996
0,0490	1,007
0,0500	1,019
0,0510	1,029
0,0520	1,038
0,0530	1,048
0,0540	1,056
0,0550	1,062
0,0560	1,067
0,0570	1,071
0,0580	1,074
0,0590	1,076
0,0600	1,078
0,0610	1,078
0,0620	1,078
0,0630	1,078
0,0640	1,076
0,0650	1,073
0,0660	1,068
0,0670	1,062
0,0680	1,054
0,0690	1,046
0,0700	1,037
0,0710	1,027
0,0720	1,018
0,0730	1,007
0,0740	0,994
0,0750	0,980
0,0760	0,966
0,0770	0,950
0,0780	0,933
0,0790	0,914
0,0800	0,895
0,0810	0,875
0,0820	0,855
0,0830	0,834
0,0840	0,814
0,0850	0,790
0,0860	0,767
0,0870	0,741
0,0880	0,716
0,0890	0,690
0,0900	0,663
0,0910	0,636
0,0920	0,608
0,0930	0,580
0,0940	0,550
0,0950	0,520
0,0960	0,489
0,0970	0,456
0,0980	0,424
0,0990	0,391
0,1000	0,357
0,1010	0,325
0,1020	0,292
0,1030	0,259
0,1040	0,225
0,1050	0,190
0,1060	0,156
0,1070	0,119
0,1080	0,085
0,1090	0,050
0,1100	0,016
0,1110	-0,020
0,1120	-0,055
0,1130	-0,090
0,1140	-0,124
0,1150	-0,159
0,1160	-0,193
0,1170	-0,226
0,1180	-0,259
0,1190	-0,292
0,1200	-0,325
0,1210	-0,357
0,1220	-0,388
0,1230	-0,419
0,1240	-0,451
