#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	0,996
0,0010	1,027
0,0020	1,063
0,0030	1,098
0,0040	1,131
0,0050	1,164
0,0060	1,194
0,0070	1,224
0,0080	1,252
0,0090	1,280
0,0100	1,307
0,0110	1,332
0,0120	1,357
0,0130	1,379
0,0140	1,401
0,0150	1,422
0,0160	1,440
0,0170	1,456
0,0180	1,472
0,0190	1,486
0,0200	1,499
0,0210	1,510
0,0220	1,521
0,0230	1,528
0,0240	1,535
0,0250	1,541
0,0260	1,544
0,0270	1,546
0,0280	1,547
0,0290	1,547
0,0300	1,546
0,0310	1,543
0,0320	1,538
0,0330	1,532
0,0340	1,524
0,0350	1,514
0,0360	1,502
0,0370	1,489
0,0380	1,475
0,0390	1,458
0,0400	1,440
0,0410	1,422
0,0420	1,403
0,0430	1,382
0,0440	1,359
0,0450	1,334
0,0460	1,308
0,0470	1,282
0,0480	1,253
0,0490	1,224
0,0500	1,194
0,0510	1,162
0,0520	1,131
0,0530	1,098
0,0540	1,063
0,0550	1,029
0,0560	0,993
0,0570	0,957
0,0580	0,919
0,0590	0,881
0,0600	0,842
0,0610	0,803
0,0620	0,763
0,0630	0,724
0,0640	0,685
0,0650	0,646
0,0660	0,605
0,0670	0,564
0,0680	0,522
0,0690	0,481
0,0700	0,440
0,0710	0,401
0,0720	0,360
0,0730	0,320
0,0740	0,281
0,0750	0,240
0,0760	0,201
0,0770	0,163
0,0780	0,127
0,0790	0,090
0,0800	0,053
0,0810	0,017
0,0820	-0,017
0,0830	-0,050
0,0840	-0,083
0,0850	-0,115
0,0860	-0,145
0,0870	-0,174
0,0880	-0,203
0,0890	-0,231
0,0900	-0,258
0,0910	-0,281
0,0920	-0,305
0,0930	-0,325
0,0940	-0,346
0,0950	-0,366
0,0960	-0,383
0,0970	-0,401
0,0980	-0,416
0,0990	-0,429
0,1000	-0,440
0,1010	-0,449
0,1020	-0,459
0,1030	-0,467
0,1040	-0,473
0,1050	-0,478
0,1060	-0,479
0,1070	-0,479
0,1080	-0,479
0,1090	-0,478
0,1100	-0,474
0,1110	-0,471
0,1120	-0,465
0,1130	-0,457
0,1140	-0,446
0,1150	-0,434
0,1160	-0,419
0,1170	-0,407
0,1180	-0,391
0,1190	-0,374
0,1200	-0,355
0,1210	-0,336
0,1220	-0,314
0,1230	-0,289
0,1240	-0,265
0,1250	-0,239
0,1260	-0,214
0,1270	-0,187
0,1280	-0,159
0,1290	-0,127
0,1300	-0,096
0,1310	-0,063
0,1320	-0,030
0,1330	0,003
0,1340	0,038
0,1350	0,074
0,1360	0,110
0,1370	0,148
0,1380	0,185
0,1390	0,225
0,1400	0,264
0,1410	0,303
0,1420	0,342
0,1430	0,383
0,1440	0,424
0,1450	0,463
0,1460	0,506
0,1470	0,547
0,1480	0,587
0,1490	0,628
0,1500	0,668
0,1510	0,708
0,1520	0,749
0,1530	0,789
0,1540	0,828
0,1550	0,867
0,1560	0,905
0,1570	0,942
0,1580	0,979
0,1590	1,015
0,1600	1,049
0,1610	1,084
0,1620	1,117
0,1630	1,150
0,1640	1,183
0,1650	1,213
0,1660	1,241
0,1670	1,269
0,1680	1,296
0,1690	1,323
0,1700	1,348
0,1710	1,371
0,1720	1,393
0,1730	1,414
0,1740	1,433
0,1750	1,450
0,1760	1,466
0,1770	1,480
0,1780	1,494
0,1790	1,506
0,1800	1,516
0,1810	1,525
0,1820	1,533
0,1830	1,539
0,1840	1,543
0,1850	1,546
0,1860	1,547
0,1870	1,547
0,1880	1,546
0,1890	1,544
0,1900	1,539
0,1910	1,533
0,1920	1,525
0,1930	1,517
0,1940	1,506
0,1950	1,494
0,1960	1,480
0,1970	1,464
0,1980	1,447
0,1990	1,429
0,2000	1,409
0,2010	1,390
0,2020	1,367
0,2030	1,343
0,2040	1,318
0,2050	1,291
0,2060	1,264
0,2070	1,235
0,2080	1,206
0,2090	1,175
0,2100	1,144
0,2110	1,111
0,2120	1,078
0,2130	1,043
0,2140	1,007
0,2150	0,971
0,2160	0,935
0,2170	0,897
0,2180	0,858
0,2190	0,820
0,2200	0,781
0,2210	0,740
0,2220	0,701
0,2230	0,660
0,2240	0,619
0,2250	0,578
0,2260	0,539
0,2270	0,498
0,2280	0,457
0,2290	0,416
0,2300	0,375
0,2310	0,336
0,2320	0,295
0,2330	0,256
0,2340	0,217
0,2350	0,179
0,2360	0,141
0,2370	0,105
0,2380	0,068
0,2390	0,031
0,2400	-0,003
0,2410	-0,038
0,2420	-0,071
0,2430	-0,102
0,2440	-0,134
0,2450	-0,163
0,2460	-0,192
0,2470	-0,220
0,2480	-0,247
0,2490	-0,272
0,2500	-0,295
0,2510	-0,317
0,2520	-0,339
0,2530	-0,358
0,2540	-0,377
0,2550	-0,394
0,2560	-0,410
0,2570	-0,424
0,2580	-0,437
0,2590	-0,446
0,2600	-0,456
0,2610	-0,463
0,2620	-0,471
0,2630	-0,476
0,2640	-0,479
0,2650	-0,479
0,2660	-0,479
0,2670	-0,479
0,2680	-0,476
0,2690	-0,473
0,2700	-0,468
0,2710	-0,460
0,2720	-0,451
0,2730	-0,438
0,2740	-0,426
0,2750	-0,412
0,2760	-0,396
0,2770	-0,380
0,2780	-0,363
0,2790	-0,344
0,2800	-0,322
0,2810	-0,300
0,2820	-0,275
0,2830	-0,250
0,2840	-0,223
0,2850	-0,196
0,2860	-0,168
0,2870	-0,140
0,2880	-0,108
0,2890	-0,075
0,2900	-0,042
0,2910	-0,009
0,2920	0,025
0,2930	0,060
0,2940	0,096
0,2950	0,134
0,2960	0,171
0,2970	0,210
0,2980	0,248
0,2990	0,289
0,3000	0,328
0,3010	0,368
0,3020	0,407
0,3030	0,448
0,3040	0,489
0,3050	0,531
0,3060	0,572
0,3070	0,613
0,3080	0,652
0,3090	0,693
0,3100	0,732
0,3110	0,773
0,3120	0,812
0,3130	0,851
0,3140	0,889
0,3150	0,927
0,3160	0,963
0,3170	0,999
0,3180	1,035
0,3190	1,070
0,3200	1,104
0,3210	1,139
0,3220	1,170
0,3230	1,200
0,3240	1,230
0,3250	1,258
0,3260	1,285
0,3270	1,312
0,3280	1,338
0,3290	1,362
0,3300	1,385
0,3310	1,406
0,3320	1,426
0,3330	1,444
0,3340	1,459
0,3350	1,475
0,3360	1,489
0,3370	1,502
0,3380	1,513
0,3390	1,522
0,3400	1,530
0,3410	1,536
0,3420	1,541
0,3430	1,544
0,3440	1,547
0,3450	1,547
0,3460	1,547
0,3470	1,546
0,3480	1,541
0,3490	1,536
0,3500	1,530
0,3510	1,521
0,3520	1,511
0,3530	1,500
0,3540	1,486
0,3550	1,470
0,3560	1,453
0,3570	1,436
0,3580	1,417
0,3590	1,398
0,3600	1,376
0,3610	1,352
0,3620	1,327
0,3630	1,302
0,3640	1,275
0,3650	1,247
0,3660	1,217
0,3670	1,188
0,3680	1,156
0,3690	1,125
0,3700	1,090
0,3710	1,056
0,3720	1,021
0,3730	0,985
0,3740	0,947
0,3750	0,911
0,3760	0,872
0,3770	0,834
0,3780	0,795
0,3790	0,756
0,3800	0,716
0,3810	0,677
0,3820	0,636
0,3830	0,595
0,3840	0,554
0,3850	0,514
0,3860	0,473
0,3870	0,432
0,3880	0,393
0,3890	0,352
0,3900	0,311
0,3910	0,272
0,3920	0,232
0,3930	0,195
0,3940	0,157
0,3950	0,119
0,3960	0,082
0,3970	0,046
0,3980	0,009
0,3990	-0,024
0,4000	-0,058
0,4010	-0,090
0,4020	-0,121
0,4030	-0,151
0,4040	-0,181
0,4050	-0,209
0,4060	-0,236
0,4070	-0,262
0,4080	-0,286
0,4090	-0,309
0,4100	-0,331
0,4110	-0,350
0,4120	-0,369
0,4130	-0,388
0,4140	-0,404
0,4150	-0,419
0,4160	-0,432
0,4170	-0,443
0,4180	-0,452
0,4190	-0,462
0,4200	-0,468
0,4210	-0,474
0,4220	-0,478
0,4230	-0,479
0,4240	-0,479
0,4250	-0,479
0,4260	-0,478
0,4270	-0,474
0,4280	-0,470
0,4290	-0,463
0,4300	-0,454
0,4310	-0,443
0,4320	-0,432
