#Winkelposition, Messreihe #6
#Zeit ( s )	Winkelposition ( rad )
0,0000	-1,532
0,0010	-1,536
0,0020	-1,539
0,0030	-1,543
0,0040	-1,544
0,0050	-1,546
0,0060	-1,547
0,0070	-1,547
0,0080	-1,547
0,0090	-1,546
0,0100	-1,546
0,0110	-1,544
0,0120	-1,541
0,0130	-1,536
0,0140	-1,533
0,0150	-1,528
0,0160	-1,524
0,0170	-1,517
0,0180	-1,511
0,0190	-1,505
0,0200	-1,497
0,0210	-1,488
0,0220	-1,478
0,0230	-1,469
0,0240	-1,459
0,0250	-1,448
0,0260	-1,437
0,0270	-1,425
0,0280	-1,412
0,0290	-1,400
0,0300	-1,387
0,0310	-1,373
0,0320	-1,359
0,0330	-1,343
0,0340	-1,329
0,0350	-1,312
0,0360	-1,294
0,0370	-1,277
0,0380	-1,260
0,0390	-1,243
0,0400	-1,224
0,0410	-1,205
0,0420	-1,186
0,0430	-1,166
0,0440	-1,147
0,0450	-1,126
0,0460	-1,106
0,0470	-1,085
0,0480	-1,063
0,0490	-1,041
0,0500	-1,018
0,0510	-0,996
0,0520	-0,974
0,0530	-0,950
0,0540	-0,928
0,0550	-0,905
0,0560	-0,880
0,0570	-0,856
0,0580	-0,831
0,0590	-0,807
0,0600	-0,782
0,0610	-0,759
0,0620	-0,734
0,0630	-0,708
0,0640	-0,683
0,0650	-0,658
0,0660	-0,633
0,0670	-0,606
0,0680	-0,581
0,0690	-0,556
0,0700	-0,531
0,0710	-0,506
0,0720	-0,481
0,0730	-0,456
0,0740	-0,430
0,0750	-0,405
0,0760	-0,380
0,0770	-0,357
0,0780	-0,331
0,0790	-0,306
0,0800	-0,283
0,0810	-0,259
0,0820	-0,234
0,0830	-0,210
0,0840	-0,188
0,0850	-0,165
0,0860	-0,143
0,0870	-0,121
0,0880	-0,099
0,0890	-0,077
0,0900	-0,055
0,0910	-0,035
0,0920	-0,014
0,0930	0,006
0,0940	0,027
0,0950	0,047
0,0960	0,066
0,0970	0,086
0,0980	0,105
0,0990	0,123
0,1000	0,140
0,1010	0,156
0,1020	0,173
0,1030	0,188
0,1040	0,204
0,1050	0,220
0,1060	0,236
0,1070	0,250
0,1080	0,264
0,1090	0,278
0,1100	0,291
0,1110	0,303
0,1120	0,316
0,1130	0,327
0,1140	0,338
0,1150	0,349
0,1160	0,358
0,1170	0,368
0,1180	0,377
0,1190	0,386
0,1200	0,394
0,1210	0,402
0,1220	0,410
0,1230	0,418
0,1240	0,424
0,1250	0,430
0,1260	0,435
0,1270	0,441
0,1280	0,446
0,1290	0,451
0,1300	0,454
0,1310	0,457
0,1320	0,459
0,1330	0,462
0,1340	0,463
0,1350	0,465
0,1360	0,467
0,1370	0,467
0,1380	0,468
0,1390	0,468
0,1400	0,468
0,1410	0,467
0,1420	0,467
0,1430	0,465
0,1440	0,463
0,1450	0,460
0,1460	0,457
0,1470	0,452
0,1480	0,449
0,1490	0,445
0,1500	0,438
0,1510	0,434
0,1520	0,429
0,1530	0,423
0,1540	0,416
0,1550	0,408
0,1560	0,401
0,1570	0,393
0,1580	0,385
0,1590	0,375
0,1600	0,366
0,1610	0,355
0,1620	0,346
0,1630	0,335
0,1640	0,322
0,1650	0,311
0,1660	0,298
0,1670	0,286
0,1680	0,273
0,1690	0,259
0,1700	0,245
0,1710	0,231
0,1720	0,215
0,1730	0,199
0,1740	0,184
0,1750	0,168
0,1760	0,151
0,1770	0,134
0,1780	0,116
0,1790	0,097
0,1800	0,079
0,1810	0,060
0,1820	0,042
0,1830	0,022
0,1840	0,003
0,1850	-0,017
0,1860	-0,039
0,1870	-0,061
0,1880	-0,083
0,1890	-0,105
0,1900	-0,129
0,1910	-0,151
0,1920	-0,173
0,1930	-0,196
0,1940	-0,220
0,1950	-0,243
0,1960	-0,267
0,1970	-0,292
0,1980	-0,317
0,1990	-0,342
0,2000	-0,368
0,2010	-0,393
0,2020	-0,418
0,2030	-0,443
0,2040	-0,468
0,2050	-0,495
0,2060	-0,520
0,2070	-0,547
0,2080	-0,572
0,2090	-0,598
0,2100	-0,624
0,2110	-0,650
0,2120	-0,675
0,2130	-0,701
0,2140	-0,727
0,2150	-0,752
0,2160	-0,778
0,2170	-0,803
0,2180	-0,829
0,2190	-0,855
0,2200	-0,878
0,2210	-0,903
0,2220	-0,928
0,2230	-0,952
0,2240	-0,975
0,2250	-0,999
0,2260	-1,023
0,2270	-1,045
0,2280	-1,068
0,2290	-1,090
0,2300	-1,111
0,2310	-1,133
0,2320	-1,153
0,2330	-1,173
0,2340	-1,194
0,2350	-1,214
0,2360	-1,233
0,2370	-1,252
0,2380	-1,269
0,2390	-1,288
0,2400	-1,304
0,2410	-1,321
0,2420	-1,337
0,2430	-1,351
0,2440	-1,367
0,2450	-1,381
0,2460	-1,396
0,2470	-1,409
0,2480	-1,423
0,2490	-1,434
0,2500	-1,445
0,2510	-1,456
0,2520	-1,466
0,2530	-1,477
0,2540	-1,486
0,2550	-1,494
0,2560	-1,502
0,2570	-1,510
0,2580	-1,516
0,2590	-1,522
0,2600	-1,527
0,2610	-1,532
0,2620	-1,535
0,2630	-1,539
0,2640	-1,541
0,2650	-1,544
0,2660	-1,546
0,2670	-1,547
0,2680	-1,547
0,2690	-1,547
0,2700	-1,546
0,2710	-1,546
0,2720	-1,543
0,2730	-1,541
0,2740	-1,536
0,2750	-1,532
0,2760	-1,527
0,2770	-1,522
0,2780	-1,517
0,2790	-1,511
0,2800	-1,505
0,2810	-1,497
0,2820	-1,488
0,2830	-1,478
0,2840	-1,469
0,2850	-1,458
0,2860	-1,448
0,2870	-1,437
0,2880	-1,425
0,2890	-1,414
0,2900	-1,400
0,2910	-1,387
0,2920	-1,373
0,2930	-1,359
0,2940	-1,343
0,2950	-1,327
0,2960	-1,312
0,2970	-1,294
0,2980	-1,277
0,2990	-1,260
0,3000	-1,241
0,3010	-1,222
0,3020	-1,203
0,3030	-1,184
0,3040	-1,166
0,3050	-1,147
0,3060	-1,126
0,3070	-1,106
0,3080	-1,084
0,3090	-1,062
0,3100	-1,040
0,3110	-1,018
0,3120	-0,996
0,3130	-0,972
0,3140	-0,950
0,3150	-0,927
0,3160	-0,903
0,3170	-0,880
0,3180	-0,855
0,3190	-0,831
0,3200	-0,806
0,3210	-0,781
0,3220	-0,757
0,3230	-0,732
0,3240	-0,707
0,3250	-0,683
0,3260	-0,657
0,3270	-0,631
0,3280	-0,606
0,3290	-0,580
0,3300	-0,554
0,3310	-0,529
0,3320	-0,504
0,3330	-0,479
0,3340	-0,454
0,3350	-0,429
0,3360	-0,405
0,3370	-0,380
0,3380	-0,355
0,3390	-0,331
0,3400	-0,306
0,3410	-0,281
0,3420	-0,258
0,3430	-0,234
0,3440	-0,210
0,3450	-0,188
0,3460	-0,165
0,3470	-0,143
0,3480	-0,121
0,3490	-0,099
0,3500	-0,077
0,3510	-0,055
0,3520	-0,035
0,3530	-0,013
0,3540	0,008
0,3550	0,028
0,3560	0,047
0,3570	0,068
0,3580	0,086
0,3590	0,105
0,3600	0,123
0,3610	0,140
0,3620	0,157
0,3630	0,173
0,3640	0,188
0,3650	0,204
0,3660	0,220
0,3670	0,236
0,3680	0,250
0,3690	0,264
0,3700	0,278
0,3710	0,291
0,3720	0,303
0,3730	0,316
0,3740	0,328
0,3750	0,339
0,3760	0,349
0,3770	0,360
0,3780	0,369
0,3790	0,379
0,3800	0,386
0,3810	0,396
0,3820	0,404
0,3830	0,410
0,3840	0,418
0,3850	0,424
0,3860	0,430
0,3870	0,435
0,3880	0,441
0,3890	0,446
0,3900	0,451
0,3910	0,454
0,3920	0,457
0,3930	0,460
0,3940	0,462
0,3950	0,463
0,3960	0,465
0,3970	0,467
0,3980	0,467
0,3990	0,468
0,4000	0,468
0,4010	0,468
0,4020	0,467
0,4030	0,467
0,4040	0,465
0,4050	0,463
0,4060	0,460
0,4070	0,457
0,4080	0,452
0,4090	0,448
0,4100	0,443
0,4110	0,438
0,4120	0,434
0,4130	0,429
0,4140	0,423
0,4150	0,416
0,4160	0,408
0,4170	0,401
0,4180	0,393
0,4190	0,385
0,4200	0,375
0,4210	0,366
0,4220	0,357
0,4230	0,346
0,4240	0,335
0,4250	0,324
0,4260	0,311
0,4270	0,300
0,4280	0,286
0,4290	0,273
0,4300	0,259
0,4310	0,245
0,4320	0,231
0,4330	0,217
0,4340	0,201
0,4350	0,185
0,4360	0,168
0,4370	0,151
0,4380	0,134
0,4390	0,116
0,4400	0,097
0,4410	0,080
0,4420	0,061
0,4430	0,042
0,4440	0,024
0,4450	0,003
0,4460	-0,019
0,4470	-0,039
0,4480	-0,061
0,4490	-0,082
0,4500	-0,104
0,4510	-0,126
0,4520	-0,149
0,4530	-0,173
0,4540	-0,196
0,4550	-0,220
0,4560	-0,243
0,4570	-0,267
0,4580	-0,291
0,4590	-0,316
0,4600	-0,341
0,4610	-0,366
0,4620	-0,391
0,4630	-0,416
0,4640	-0,443
0,4650	-0,468
0,4660	-0,493
0,4670	-0,520
0,4680	-0,545
0,4690	-0,572
0,4700	-0,597
0,4710	-0,624
0,4720	-0,649
0,4730	-0,674
0,4740	-0,701
0,4750	-0,726
0,4760	-0,751
0,4770	-0,778
0,4780	-0,803
0,4790	-0,828
0,4800	-0,853
0,4810	-0,878
0,4820	-0,902
0,4830	-0,927
0,4840	-0,950
0,4850	-0,974
0,4860	-0,997
0,4870	-1,021
0,4880	-1,045
0,4890	-1,067
0,4900	-1,089
0,4910	-1,109
0,4920	-1,129
0,4930	-1,151
0,4940	-1,172
0,4950	-1,194
0,4960	-1,213
0,4970	-1,233
0,4980	-1,250
0,4990	-1,269
0,5000	-1,286
0,5010	-1,304
0,5020	-1,319
0,5030	-1,335
0,5040	-1,351
0,5050	-1,367
0,5060	-1,381
0,5070	-1,395
0,5080	-1,409
0,5090	-1,422
0,5100	-1,434
0,5110	-1,445
0,5120	-1,456
0,5130	-1,466
0,5140	-1,475
0,5150	-1,484
0,5160	-1,492
0,5170	-1,502
0,5180	-1,510
0,5190	-1,516
0,5200	-1,522
0,5210	-1,527
0,5220	-1,532
0,5230	-1,535
0,5240	-1,538
0,5250	-1,541
0,5260	-1,544
0,5270	-1,546
0,5280	-1,547
0,5290	-1,547
0,5300	-1,547
0,5310	-1,546
0,5320	-1,544
0,5330	-1,543
0,5340	-1,541
0,5350	-1,538
0,5360	-1,533
0,5370	-1,528
0,5380	-1,524
0,5390	-1,517
0,5400	-1,511
0,5410	-1,505
0,5420	-1,497
0,5430	-1,488
0,5440	-1,480
0,5450	-1,470
0,5460	-1,459
0,5470	-1,448
0,5480	-1,437
0,5490	-1,425
0,5500	-1,412
0,5510	-1,400
0,5520	-1,387
0,5530	-1,374
0,5540	-1,359
0,5550	-1,345
0,5560	-1,329
0,5570	-1,313
0,5580	-1,296
0,5590	-1,279
0,5600	-1,261
0,5610	-1,243
0,5620	-1,225
0,5630	-1,206
0,5640	-1,188
0,5650	-1,167
0,5660	-1,148
0,5670	-1,128
0,5680	-1,107
0,5690	-1,085
0,5700	-1,063
0,5710	-1,041
0,5720	-1,019
0,5730	-0,997
0,5740	-0,975
0,5750	-0,953
0,5760	-0,930
0,5770	-0,906
0,5780	-0,881
0,5790	-0,858
0,5800	-0,833
0,5810	-0,807
0,5820	-0,784
0,5830	-0,760
0,5840	-0,735
0,5850	-0,710
0,5860	-0,685
0,5870	-0,660
0,5880	-0,635
0,5890	-0,608
0,5900	-0,583
0,5910	-0,556
0,5920	-0,533
0,5930	-0,507
0,5940	-0,482
0,5950	-0,457
0,5960	-0,432
0,5970	-0,407
0,5980	-0,382
0,5990	-0,358
0,6000	-0,333
0,6010	-0,309
0,6020	-0,284
0,6030	-0,261
0,6040	-0,236
0,6050	-0,212
0,6060	-0,190
0,6070	-0,167
0,6080	-0,145
0,6090	-0,123
0,6100	-0,101
0,6110	-0,079
0,6120	-0,057
0,6130	-0,036
0,6140	-0,016
0,6150	0,005
0,6160	0,025
0,6170	0,046
0,6180	0,066
0,6190	0,085
0,6200	0,104
0,6210	0,121
0,6220	0,138
0,6230	0,154
0,6240	0,171
0,6250	0,187
0,6260	0,204
0,6270	0,220
0,6280	0,234
0,6290	0,248
0,6300	0,262
0,6310	0,276
0,6320	0,289
0,6330	0,302
0,6340	0,314
0,6350	0,327
0,6360	0,338
0,6370	0,347
0,6380	0,358
0,6390	0,368
0,6400	0,377
0,6410	0,386
0,6420	0,394
0,6430	0,402
0,6440	0,410
0,6450	0,416
0,6460	0,423
0,6470	0,429
0,6480	0,435
0,6490	0,441
0,6500	0,446
0,6510	0,449
0,6520	0,454
0,6530	0,457
0,6540	0,459
0,6550	0,462
0,6560	0,463
0,6570	0,465
0,6580	0,467
0,6590	0,467
0,6600	0,468
0,6610	0,468
0,6620	0,468
0,6630	0,467
0,6640	0,467
0,6650	0,465
0,6660	0,463
0,6670	0,460
0,6680	0,457
0,6690	0,452
0,6700	0,449
0,6710	0,445
0,6720	0,440
0,6730	0,434
0,6740	0,429
0,6750	0,423
0,6760	0,416
0,6770	0,408
0,6780	0,402
0,6790	0,394
0,6800	0,385
0,6810	0,375
0,6820	0,366
0,6830	0,357
0,6840	0,346
0,6850	0,335
0,6860	0,324
0,6870	0,313
0,6880	0,300
0,6890	0,287
0,6900	0,275
0,6910	0,261
0,6920	0,247
0,6930	0,232
0,6940	0,217
0,6950	0,201
0,6960	0,185
0,6970	0,168
0,6980	0,152
0,6990	0,135
0,7000	0,116
0,7010	0,099
0,7020	0,080
0,7030	0,061
0,7040	0,042
0,7050	0,024
0,7060	0,003
0,7070	-0,017
0,7080	-0,038
0,7090	-0,060
0,7100	-0,082
0,7110	-0,104
0,7120	-0,126
0,7130	-0,148
0,7140	-0,171
0,7150	-0,195
0,7160	-0,218
0,7170	-0,242
0,7180	-0,265
0,7190	-0,291
0,7200	-0,316
0,7210	-0,339
0,7220	-0,364
0,7230	-0,390
0,7240	-0,415
0,7250	-0,441
0,7260	-0,467
0,7270	-0,492
0,7280	-0,518
0,7290	-0,543
0,7300	-0,570
0,7310	-0,597
0,7320	-0,622
0,7330	-0,649
0,7340	-0,674
0,7350	-0,699
0,7360	-0,726
0,7370	-0,751
0,7380	-0,776
0,7390	-0,803
0,7400	-0,828
0,7410	-0,851
0,7420	-0,877
0,7430	-0,902
0,7440	-0,927
0,7450	-0,950
0,7460	-0,974
0,7470	-0,997
0,7480	-1,021
0,7490	-1,043
0,7500	-1,067
0,7510	-1,089
0,7520	-1,109
0,7530	-1,131
0,7540	-1,151
0,7550	-1,172
0,7560	-1,192
0,7570	-1,213
0,7580	-1,232
0,7590	-1,250
0,7600	-1,269
0,7610	-1,286
0,7620	-1,304
0,7630	-1,319
0,7640	-1,335
0,7650	-1,351
0,7660	-1,367
0,7670	-1,381
0,7680	-1,395
0,7690	-1,409
0,7700	-1,422
0,7710	-1,433
0,7720	-1,445
0,7730	-1,456
0,7740	-1,466
0,7750	-1,477
0,7760	-1,486
0,7770	-1,494
0,7780	-1,502
0,7790	-1,510
0,7800	-1,516
0,7810	-1,522
0,7820	-1,527
0,7830	-1,530
0,7840	-1,535
0,7850	-1,538
0,7860	-1,541
0,7870	-1,544
0,7880	-1,546
0,7890	-1,547
0,7900	-1,547
0,7910	-1,547
0,7920	-1,546
0,7930	-1,546
0,7940	-1,544
0,7950	-1,541
0,7960	-1,536
0,7970	-1,533
0,7980	-1,528
0,7990	-1,524
0,8000	-1,517
0,8010	-1,511
0,8020	-1,505
0,8030	-1,497
0,8040	-1,488
0,8050	-1,478
0,8060	-1,469
0,8070	-1,459
0,8080	-1,448
0,8090	-1,437
0,8100	-1,425
0,8110	-1,412
0,8120	-1,401
0,8130	-1,387
0,8140	-1,373
0,8150	-1,359
0,8160	-1,343
0,8170	-1,327
0,8180	-1,312
0,8190	-1,296
0,8200	-1,279
0,8210	-1,260
0,8220	-1,243
0,8230	-1,224
0,8240	-1,205
0,8250	-1,186
0,8260	-1,167
0,8270	-1,147
0,8280	-1,126
0,8290	-1,106
0,8300	-1,084
0,8310	-1,063
0,8320	-1,041
0,8330	-1,019
0,8340	-0,996
0,8350	-0,974
0,8360	-0,950
0,8370	-0,928
0,8380	-0,903
0,8390	-0,880
0,8400	-0,855
0,8410	-0,829
0,8420	-0,806
0,8430	-0,781
