#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
299,8000	36,6
300,0000	36,6
300,2000	36,7
300,4000	36,7
300,6000	36,8
300,8000	36,8
301,0000	36,9
301,2000	37,0
301,4000	37,0
301,6000	37,1
301,8000	37,1
302,0000	37,2
302,2000	37,2
302,4000	37,3
302,6000	37,3
302,8000	37,4
303,0000	37,4
303,2000	37,5
303,4000	37,5
303,6000	37,6
303,8000	37,7
304,0000	37,7
304,2000	37,8
304,4000	37,8
304,6000	37,9
304,8000	37,9
305,0000	38,0
305,2000	38,0
305,4000	38,1
305,6000	38,1
305,8000	38,2
306,0000	38,2
306,2000	38,3
306,4000	38,3
306,6000	38,4
306,8000	38,4
307,0000	38,5
307,2000	38,6
307,4000	38,6
307,6000	38,7
307,8000	38,7
308,0000	38,8
308,2000	38,8
308,4000	38,9
308,6000	38,9
308,8000	39,0
309,0000	39,0
309,2000	39,1
309,4000	39,1
309,6000	39,2
309,8000	39,2
310,0000	39,3
310,2000	39,3
310,4000	39,4
310,6000	39,4
310,8000	39,5
311,0000	39,6
311,2000	39,6
311,4000	39,7
311,6000	39,7
311,8000	39,8
312,0000	39,8
312,2000	39,9
312,4000	39,9
312,6000	40,0
312,8000	40,0
313,0000	40,1
313,2000	40,1
313,4000	40,2
313,6000	40,2
313,8000	40,3
314,0000	40,3
314,2000	40,4
314,4000	40,4
314,6000	40,5
314,8000	40,5
315,0000	40,6
315,2000	40,6
315,4000	40,7
315,6000	40,7
315,8000	40,8
316,0000	40,8
316,2000	40,9
316,4000	40,9
316,6000	41,0
316,8000	41,0
317,0000	41,1
317,2000	41,1
317,4000	41,2
317,6000	41,2
317,8000	41,3
318,0000	41,3
318,2000	41,4
318,4000	41,4
318,6000	41,5
318,8000	41,5
319,0000	41,6
319,2000	41,6
319,4000	41,7
319,6000	41,7
319,8000	41,8
320,0000	41,8
320,2000	41,9
320,4000	41,9
320,6000	42,0
320,8000	42,0
321,0000	42,1
321,2000	42,1
321,4000	42,2
321,6000	42,2
321,8000	42,3
322,0000	42,3
322,2000	42,4
322,4000	42,4
322,6000	42,4
322,8000	42,5
323,0000	42,5
323,2000	42,6
323,4000	42,6
323,6000	42,7
323,8000	42,7
324,0000	42,8
324,2000	42,8
324,4000	42,9
324,6000	42,9
324,8000	43,0
325,0000	43,0
325,2000	43,1
325,4000	43,1
325,6000	43,2
325,8000	43,2
326,0000	43,3
326,2000	43,3
326,4000	43,4
326,6000	43,4
326,8000	43,4
327,0000	43,5
327,2000	43,5
327,4000	43,6
327,6000	43,6
327,8000	43,7
328,0000	43,7
328,2000	43,8
328,4000	43,8
328,6000	43,9
328,8000	43,9
329,0000	44,0
329,2000	44,0
329,4000	44,1
329,6000	44,1
329,8000	44,1
330,0000	44,2
330,2000	44,2
330,4000	44,3
330,6000	44,3
330,8000	44,4
331,0000	44,4
331,2000	44,5
331,4000	44,5
331,6000	44,6
331,8000	44,6
332,0000	44,6
332,2000	44,7
332,4000	44,7
332,6000	44,8
332,8000	44,8
333,0000	44,9
333,2000	44,9
333,4000	45,0
333,6000	45,0
333,8000	45,1
334,0000	45,1
334,2000	45,2
334,4000	45,2
334,6000	45,2
334,8000	45,3
335,0000	45,3
335,2000	45,4
335,4000	45,4
335,6000	45,5
335,8000	45,5
336,0000	45,5
336,2000	45,6
336,4000	45,6
336,6000	45,7
336,8000	45,7
337,0000	45,8
337,2000	45,8
337,4000	45,9
337,6000	45,9
337,8000	45,9
338,0000	46,0
338,2000	46,0
338,4000	46,1
338,6000	46,1
338,8000	46,2
339,0000	46,2
339,2000	46,3
339,4000	46,3
339,6000	46,3
339,8000	46,4
340,0000	46,4
340,2000	46,5
340,4000	46,5
340,6000	46,6
340,8000	46,6
341,0000	46,6
341,2000	46,7
341,4000	46,7
341,6000	46,8
341,8000	46,8
342,0000	46,9
342,2000	46,9
342,4000	46,9
342,6000	47,0
342,8000	47,0
343,0000	47,1
343,2000	47,1
343,4000	47,2
343,6000	47,2
343,8000	47,2
344,0000	47,3
344,2000	47,3
344,4000	47,4
344,6000	47,4
344,8000	47,4
345,0000	47,5
345,2000	47,5
345,4000	47,6
345,6000	47,6
345,8000	47,7
346,0000	47,7
346,2000	47,7
346,4000	47,8
346,6000	47,8
346,8000	47,9
347,0000	47,9
347,2000	47,9
347,4000	48,0
347,6000	48,0
347,8000	48,1
348,0000	48,1
348,2000	48,2
348,4000	48,2
348,6000	48,2
348,8000	48,3
349,0000	48,3
349,2000	48,4
349,4000	48,4
349,6000	48,4
349,8000	48,5
350,0000	48,5
350,2000	48,6
350,4000	48,6
350,6000	48,7
350,8000	48,7
351,0000	48,7
351,2000	48,8
351,4000	48,8
351,6000	48,9
351,8000	48,9
352,0000	48,9
352,2000	49,0
352,4000	49,0
352,6000	49,1
352,8000	49,1
353,0000	49,2
353,2000	49,2
353,4000	49,2
353,6000	49,3
353,8000	49,3
354,0000	49,4
354,2000	49,4
354,4000	49,4
354,6000	49,5
354,8000	49,5
355,0000	49,6
355,2000	49,6
355,4000	49,6
355,6000	49,7
355,8000	49,7
356,0000	49,8
356,2000	49,8
356,4000	49,8
356,6000	49,9
356,8000	49,9
357,0000	49,9
357,2000	50,0
357,4000	50,0
357,6000	50,1
357,8000	50,1
358,0000	50,1
358,2000	50,2
358,4000	50,2
358,6000	50,2
358,8000	50,3
359,0000	50,3
359,2000	50,4
359,4000	50,4
359,6000	50,4
359,8000	50,5
360,0000	50,5
360,2000	50,5
360,4000	50,6
360,6000	50,6
360,8000	50,7
361,0000	50,7
361,2000	50,7
361,4000	50,8
361,6000	50,8
361,8000	50,8
362,0000	50,9
362,2000	50,9
362,4000	51,0
362,6000	51,0
362,8000	51,0
363,0000	51,1
363,2000	51,1
363,4000	51,2
363,6000	51,2
363,8000	51,2
364,0000	51,3
364,2000	51,3
364,4000	51,3
364,6000	51,4
364,8000	51,4
365,0000	51,4
365,2000	51,5
365,4000	51,5
365,6000	51,6
365,8000	51,6
366,0000	51,6
366,2000	51,7
366,4000	51,7
366,6000	51,7
366,8000	51,8
367,0000	51,8
367,2000	51,8
367,4000	51,9
367,6000	51,9
367,8000	52,0
368,0000	52,0
368,2000	52,0
368,4000	52,1
368,6000	52,1
368,8000	52,1
369,0000	52,2
369,2000	52,2
369,4000	52,2
369,6000	52,3
369,8000	52,3
370,0000	52,3
370,2000	52,4
370,4000	52,4
370,6000	52,5
370,8000	52,5
371,0000	52,5
371,2000	52,6
371,4000	52,6
371,6000	52,6
371,8000	52,7
372,0000	52,7
372,2000	52,7
372,4000	52,8
372,6000	52,8
372,8000	52,8
373,0000	52,9
373,2000	52,9
373,4000	52,9
373,6000	53,0
373,8000	53,0
374,0000	53,0
374,2000	53,1
374,4000	53,1
374,6000	53,1
374,8000	53,2
375,0000	53,2
375,2000	53,2
375,4000	53,3
375,6000	53,3
375,8000	53,4
376,0000	53,4
376,2000	53,4
376,4000	53,5
376,6000	53,5
376,8000	53,5
377,0000	53,6
377,2000	53,6
377,4000	53,6
377,6000	53,7
377,8000	53,7
378,0000	53,7
378,2000	53,8
378,4000	53,8
378,6000	53,8
378,8000	53,9
379,0000	53,9
379,2000	53,9
379,4000	54,0
379,6000	54,0
379,8000	54,0
380,0000	54,1
380,2000	54,1
380,4000	54,1
380,6000	54,2
380,8000	54,2
381,0000	54,2
381,2000	54,3
381,4000	54,3
381,6000	54,3
381,8000	54,4
382,0000	54,4
382,2000	54,4
382,4000	54,5
382,6000	54,5
382,8000	54,5
383,0000	54,6
383,2000	54,6
383,4000	54,6
383,6000	54,7
383,8000	54,7
384,0000	54,7
384,2000	54,8
384,4000	54,8
384,6000	54,8
384,8000	54,9
385,0000	54,9
385,2000	54,9
385,4000	55,0
385,6000	55,0
385,8000	55,0
386,0000	55,1
386,2000	55,1
386,4000	55,1
386,6000	55,2
386,8000	55,2
387,0000	55,2
387,2000	55,3
387,4000	55,3
387,6000	55,3
387,8000	55,4
388,0000	55,4
388,2000	55,4
388,4000	55,5
388,6000	55,5
388,8000	55,5
389,0000	55,6
389,2000	55,6
389,4000	55,6
389,6000	55,7
389,8000	55,7
390,0000	55,7
390,2000	55,7
390,4000	55,8
390,6000	55,8
390,8000	55,8
391,0000	55,9
391,2000	55,9
391,4000	55,9
391,6000	56,0
391,8000	56,0
392,0000	56,0
392,2000	56,1
392,4000	56,1
392,6000	56,1
392,8000	56,2
393,0000	56,2
393,2000	56,2
393,4000	56,2
393,6000	56,3
393,8000	56,3
394,0000	56,3
394,2000	56,4
394,4000	56,4
394,6000	56,4
394,8000	56,4
395,0000	56,5
395,2000	56,5
395,4000	56,5
395,6000	56,6
395,8000	56,6
396,0000	56,6
396,2000	56,7
396,4000	56,7
396,6000	56,7
396,8000	56,7
397,0000	56,8
397,2000	56,8
397,4000	56,8
397,6000	56,9
397,8000	56,9
398,0000	56,9
398,2000	57,0
398,4000	57,0
398,6000	57,0
398,8000	57,0
399,0000	57,1
399,2000	57,1
399,4000	57,1
399,6000	57,2
399,8000	57,2
400,0000	57,2
400,2000	57,3
400,4000	57,3
400,6000	57,3
400,8000	57,3
401,0000	57,4
401,2000	57,4
401,4000	57,4
401,6000	57,5
401,8000	57,5
402,0000	57,5
402,2000	57,6
402,4000	57,6
402,6000	57,6
402,8000	57,6
403,0000	57,7
403,2000	57,7
403,4000	57,7
403,6000	57,8
403,8000	57,8
404,0000	57,8
404,2000	57,8
404,4000	57,9
404,6000	57,9
404,8000	57,9
405,0000	58,0
405,2000	58,0
405,4000	58,0
405,6000	58,0
405,8000	58,1
406,0000	58,1
406,2000	58,1
406,4000	58,2
406,6000	58,2
406,8000	58,2
407,0000	58,3
407,2000	58,3
407,4000	58,3
407,6000	58,3
407,8000	58,4
408,0000	58,4
408,2000	58,4
408,4000	58,5
408,6000	58,5
408,8000	58,5
409,0000	58,5
409,2000	58,6
409,4000	58,6
409,6000	58,6
409,8000	58,7
410,0000	58,7
410,2000	58,7
410,4000	58,7
410,6000	58,8
410,8000	58,8
411,0000	58,8
411,2000	58,9
411,4000	58,9
411,6000	58,9
411,8000	58,9
412,0000	59,0
412,2000	59,0
412,4000	59,0
412,6000	59,0
412,8000	59,1
413,0000	59,1
413,2000	59,1
413,4000	59,1
413,6000	59,2
413,8000	59,2
414,0000	59,2
414,2000	59,3
414,4000	59,3
414,6000	59,3
414,8000	59,3
415,0000	59,4
415,2000	59,4
415,4000	59,4
415,6000	59,4
415,8000	59,5
416,0000	59,5
416,2000	59,5
416,4000	59,5
416,6000	59,6
416,8000	59,6
417,0000	59,6
417,2000	59,7
417,4000	59,7
417,6000	59,7
417,8000	59,7
418,0000	59,8
418,2000	59,8
418,4000	59,8
418,6000	59,9
418,8000	59,9
419,0000	59,9
419,2000	59,9
419,4000	60,0
419,6000	60,0
419,8000	60,0
420,0000	60,0
420,2000	60,1
420,4000	60,1
420,6000	60,1
420,8000	60,1
421,0000	60,2
421,2000	60,2
421,4000	60,2
421,6000	60,2
421,8000	60,3
422,0000	60,3
422,2000	60,3
422,4000	60,3
422,6000	60,4
422,8000	60,4
423,0000	60,4
423,2000	60,4
423,4000	60,5
423,6000	60,5
423,8000	60,5
424,0000	60,5
424,2000	60,6
424,4000	60,6
424,6000	60,6
424,8000	60,6
425,0000	60,7
425,2000	60,7
425,4000	60,7
425,6000	60,7
425,8000	60,8
426,0000	60,8
426,2000	60,8
426,4000	60,8
426,6000	60,9
426,8000	60,9
427,0000	60,9
427,2000	60,9
427,4000	61,0
427,6000	61,0
427,8000	61,0
428,0000	61,1
428,2000	61,1
428,4000	61,1
428,6000	61,1
428,8000	61,1
429,0000	61,2
429,2000	61,2
429,4000	61,2
429,6000	61,2
429,8000	61,3
430,0000	61,3
430,2000	61,3
430,4000	61,3
430,6000	61,4
430,8000	61,4
431,0000	61,4
431,2000	61,4
431,4000	61,5
431,6000	61,5
431,8000	61,5
432,0000	61,5
432,2000	61,5
432,4000	61,6
432,6000	61,6
432,8000	61,6
433,0000	61,6
433,2000	61,7
433,4000	61,7
433,6000	61,7
433,8000	61,7
434,0000	61,8
434,2000	61,8
434,4000	61,8
434,6000	61,8
434,8000	61,9
435,0000	61,9
435,2000	61,9
435,4000	61,9
435,6000	62,0
435,8000	62,0
436,0000	62,0
436,2000	62,0
436,4000	62,1
436,6000	62,1
436,8000	62,1
437,0000	62,1
437,2000	62,2
437,4000	62,2
437,6000	62,2
437,8000	62,2
438,0000	62,3
438,2000	62,3
438,4000	62,3
438,6000	62,3
438,8000	62,4
439,0000	62,4
439,2000	62,4
439,4000	62,4
439,6000	62,4
439,8000	62,5
440,0000	62,5
440,2000	62,5
440,4000	62,5
440,6000	62,6
440,8000	62,6
441,0000	62,6
441,2000	62,6
441,4000	62,7
441,6000	62,7
441,8000	62,7
442,0000	62,7
442,2000	62,7
442,4000	62,8
442,6000	62,8
442,8000	62,8
443,0000	62,8
443,2000	62,9
443,4000	62,9
443,6000	62,9
443,8000	62,9
444,0000	63,0
444,2000	63,0
444,4000	63,0
444,6000	63,0
444,8000	63,0
445,0000	63,1
445,2000	63,1
445,4000	63,1
445,6000	63,1
445,8000	63,2
446,0000	63,2
446,2000	63,2
446,4000	63,2
446,6000	63,3
446,8000	63,3
447,0000	63,3
447,2000	63,3
447,4000	63,3
447,6000	63,4
447,8000	63,4
448,0000	63,4
448,2000	63,5
448,4000	63,5
448,6000	63,5
448,8000	63,5
449,0000	63,5
449,2000	63,6
449,4000	63,6
449,6000	63,6
449,8000	63,6
450,0000	63,7
450,2000	63,7
450,4000	63,7
450,6000	63,7
450,8000	63,7
451,0000	63,8
451,2000	63,8
451,4000	63,8
451,6000	63,8
451,8000	63,9
452,0000	63,9
452,2000	63,9
452,4000	63,9
452,6000	63,9
452,8000	64,0
453,0000	64,0
453,2000	64,0
453,4000	64,0
453,6000	64,0
453,8000	64,1
454,0000	64,1
454,2000	64,1
454,4000	64,1
454,6000	64,2
454,8000	64,2
455,0000	64,2
455,2000	64,2
455,4000	64,2
455,6000	64,3
455,8000	64,3
456,0000	64,3
456,2000	64,3
456,4000	64,4
456,6000	64,4
456,8000	64,4
457,0000	64,4
457,2000	64,4
457,4000	64,5
457,6000	64,5
457,8000	64,5
458,0000	64,5
458,2000	64,6
458,4000	64,6
458,6000	64,6
458,8000	64,6
459,0000	64,6
459,2000	64,7
459,4000	64,7
459,6000	64,7
459,8000	64,7
460,0000	64,7
460,2000	64,8
460,4000	64,8
460,6000	64,8
460,8000	64,8
461,0000	64,8
461,2000	64,9
461,4000	64,9
461,6000	64,9
461,8000	64,9
462,0000	64,9
462,2000	65,0
462,4000	65,0
462,6000	65,0
462,8000	65,0
463,0000	65,1
463,2000	65,1
463,4000	65,1
463,6000	65,1
463,8000	65,1
464,0000	65,2
464,2000	65,2
464,4000	65,2
464,6000	65,2
464,8000	65,2
465,0000	65,3
465,2000	65,3
465,4000	65,3
465,6000	65,3
465,8000	65,3
466,0000	65,4
466,2000	65,4
466,4000	65,4
466,6000	65,4
466,8000	65,4
467,0000	65,5
467,2000	65,5
467,4000	65,5
467,6000	65,5
467,8000	65,6
468,0000	65,6
468,2000	65,6
468,4000	65,6
468,6000	65,6
468,8000	65,7
469,0000	65,7
469,2000	65,7
469,4000	65,7
469,6000	65,7
469,8000	65,8
470,0000	65,8
470,2000	65,8
470,4000	65,8
470,6000	65,8
470,8000	65,9
471,0000	65,9
471,2000	65,9
471,4000	65,9
471,6000	65,9
471,8000	66,0
472,0000	66,0
472,2000	66,0
472,4000	66,0
472,6000	66,0
472,8000	66,1
473,0000	66,1
473,2000	66,1
473,4000	66,1
473,6000	66,1
473,8000	66,2
474,0000	66,2
474,2000	66,2
474,4000	66,2
474,6000	66,2
474,8000	66,2
475,0000	66,3
475,2000	66,3
475,4000	66,3
475,6000	66,3
475,8000	66,3
476,0000	66,4
476,2000	66,4
476,4000	66,4
476,6000	66,4
476,8000	66,4
477,0000	66,5
477,2000	66,5
477,4000	66,5
477,6000	66,5
477,8000	66,5
478,0000	66,6
478,2000	66,6
478,4000	66,6
478,6000	66,6
478,8000	66,6
479,0000	66,6
479,2000	66,7
479,4000	66,7
479,6000	66,7
479,8000	66,7
480,0000	66,7
480,2000	66,8
480,4000	66,8
480,6000	66,8
480,8000	66,8
481,0000	66,9
481,2000	66,9
481,4000	66,9
481,6000	66,9
481,8000	66,9
482,0000	67,0
482,2000	67,0
482,4000	67,0
482,6000	67,0
482,8000	67,0
483,0000	67,0
483,2000	67,1
483,4000	67,1
483,6000	67,1
483,8000	67,1
484,0000	67,1
484,2000	67,1
484,4000	67,2
484,6000	67,2
484,8000	67,2
485,0000	67,2
485,2000	67,3
485,4000	67,3
485,6000	67,3
485,8000	67,3
486,0000	67,3
486,2000	67,3
486,4000	67,4
486,6000	67,4
486,8000	67,4
487,0000	67,4
487,2000	67,5
487,4000	67,5
487,6000	67,5
487,8000	67,5
488,0000	67,5
488,2000	67,5
488,4000	67,6
488,6000	67,6
488,8000	67,6
489,0000	67,6
489,2000	67,6
489,4000	67,6
489,6000	67,7
489,8000	67,7
490,0000	67,7
490,2000	67,7
490,4000	67,7
490,6000	67,8
490,8000	67,8
491,0000	67,8
491,2000	67,8
491,4000	67,8
491,6000	67,8
491,8000	67,9
492,0000	67,9
492,2000	67,9
492,4000	67,9
492,6000	67,9
492,8000	67,9
493,0000	68,0
493,2000	68,0
493,4000	68,0
493,6000	68,0
493,8000	68,0
494,0000	68,0
494,2000	68,1
494,4000	68,1
494,6000	68,1
494,8000	68,1
495,0000	68,1
495,2000	68,2
495,4000	68,2
495,6000	68,2
495,8000	68,2
496,0000	68,2
496,2000	68,2
496,4000	68,3
496,6000	68,3
496,8000	68,3
497,0000	68,3
497,2000	68,3
497,4000	68,4
497,6000	68,4
497,8000	68,4
498,0000	68,4
498,2000	68,4
498,4000	68,4
498,6000	68,5
498,8000	68,5
499,0000	68,5
499,2000	68,5
499,4000	68,5
499,6000	68,5
499,8000	68,5
500,0000	68,6
500,2000	68,6
500,4000	68,6
500,6000	68,6
500,8000	68,7
501,0000	68,7
501,2000	68,7
501,4000	68,7
501,6000	68,7
501,8000	68,7
502,0000	68,7
502,2000	68,8
502,4000	68,8
502,6000	68,8
502,8000	68,8
503,0000	68,8
503,2000	68,8
503,4000	68,9
503,6000	68,9
503,8000	68,9
504,0000	68,9
504,2000	68,9
504,4000	69,0
504,6000	69,0
504,8000	69,0
505,0000	69,0
505,2000	69,0
505,4000	69,0
505,6000	69,1
505,8000	69,1
506,0000	69,1
506,2000	69,1
506,4000	69,1
506,6000	69,2
506,8000	69,2
507,0000	69,2
507,2000	69,2
507,4000	69,2
507,6000	69,2
507,8000	69,2
508,0000	69,3
508,2000	69,3
508,4000	69,3
508,6000	69,3
508,8000	69,3
509,0000	69,3
509,2000	69,3
509,4000	69,4
509,6000	69,4
509,8000	69,4
510,0000	69,4
510,2000	69,4
510,4000	69,4
510,6000	69,5
510,8000	69,5
511,0000	69,5
511,2000	69,5
511,4000	69,5
511,6000	69,5
511,8000	69,5
512,0000	69,6
512,2000	69,6
512,4000	69,6
512,6000	69,6
512,8000	69,6
513,0000	69,7
513,2000	69,7
513,4000	69,7
513,6000	69,7
513,8000	69,7
514,0000	69,7
514,2000	69,7
514,4000	69,8
514,6000	69,8
514,8000	69,8
515,0000	69,8
515,2000	69,8
515,4000	69,9
515,6000	69,9
515,8000	69,9
516,0000	69,9
516,2000	69,9
516,4000	69,9
516,6000	70,0
516,8000	70,0
517,0000	70,0
517,2000	70,0
517,4000	70,0
517,6000	70,0
517,8000	70,1
518,0000	70,1
518,2000	70,1
518,4000	70,1
518,6000	70,1
518,8000	70,1
519,0000	70,2
519,2000	70,2
519,4000	70,2
519,6000	70,2
519,8000	70,2
520,0000	70,2
520,2000	70,3
520,4000	70,3
520,6000	70,3
520,8000	70,3
521,0000	70,3
521,2000	70,3
521,4000	70,3
521,6000	70,3
521,8000	70,4
522,0000	70,4
522,2000	70,4
522,4000	70,4
522,6000	70,4
522,8000	70,4
523,0000	70,4
523,2000	70,4
523,4000	70,5
523,6000	70,5
523,8000	70,5
524,0000	70,5
524,2000	70,5
524,4000	70,6
524,6000	70,6
524,8000	70,6
525,0000	70,6
525,2000	70,6
525,4000	70,6
525,6000	70,7
525,8000	70,7
526,0000	70,7
526,2000	70,7
526,4000	70,7
526,6000	70,7
526,8000	70,7
527,0000	70,8
527,2000	70,8
527,4000	70,8
527,6000	70,8
527,8000	70,8
528,0000	70,8
528,2000	70,9
528,4000	70,9
528,6000	70,9
528,8000	70,9
529,0000	70,9
529,2000	70,9
529,4000	70,9
529,6000	70,9
529,8000	71,0
530,0000	71,0
530,2000	71,0
530,4000	71,0
530,6000	71,0
530,8000	71,0
531,0000	71,1
531,2000	71,1
531,4000	71,1
531,6000	71,1
531,8000	71,1
532,0000	71,1
532,2000	71,1
532,4000	71,1
532,6000	71,2
532,8000	71,2
533,0000	71,2
533,2000	71,2
533,4000	71,2
533,6000	71,2
533,8000	71,3
534,0000	71,3
534,2000	71,3
534,4000	71,3
534,6000	71,3
534,8000	71,3
535,0000	71,4
535,2000	71,4
535,4000	71,4
535,6000	71,4
535,8000	71,4
536,0000	71,4
536,2000	71,4
536,4000	71,4
536,6000	71,5
536,8000	71,5
537,0000	71,5
537,2000	71,5
537,4000	71,5
537,6000	71,5
537,8000	71,5
538,0000	71,5
538,2000	71,6
538,4000	71,6
538,6000	71,6
538,8000	71,6
539,0000	71,6
539,2000	71,6
539,4000	71,7
539,6000	71,7
539,8000	71,7
540,0000	71,7
540,2000	71,7
540,4000	71,7
540,6000	71,7
540,8000	71,8
541,0000	71,8
541,2000	71,8
541,4000	71,8
541,6000	71,8
541,8000	71,8
542,0000	71,8
542,2000	71,8
542,4000	71,9
542,6000	71,9
542,8000	71,9
543,0000	71,9
543,2000	71,9
543,4000	71,9
543,6000	71,9
543,8000	72,0
544,0000	72,0
544,2000	72,0
544,4000	72,0
544,6000	72,0
544,8000	72,0
545,0000	72,0
545,2000	72,0
545,4000	72,0
545,6000	72,1
545,8000	72,1
546,0000	72,1
546,2000	72,1
546,4000	72,1
546,6000	72,1
546,8000	72,1
547,0000	72,2
547,2000	72,2
547,4000	72,2
547,6000	72,2
547,8000	72,2
548,0000	72,2
548,2000	72,2
548,4000	72,2
548,6000	72,2
548,8000	72,3
549,0000	72,3
549,2000	72,3
549,4000	72,3
549,6000	72,3
549,8000	72,3
550,0000	72,4
550,2000	72,4
550,4000	72,4
550,6000	72,4
550,8000	72,4
551,0000	72,4
551,2000	72,4
551,4000	72,4
