#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
17,1000	1,246
17,1500	1,778
17,2000	1,448
17,2500	0,542
17,3000	-0,157
17,3500	-0,130
17,4000	0,597
17,4500	1,480
17,5000	1,775
17,5500	1,203
17,6000	0,275
17,6500	-0,232
17,7000	0,030
17,7500	0,883
17,8000	1,660
17,8500	1,685
17,9000	0,924
17,9500	0,052
18,0000	-0,239
18,0500	0,245
18,1000	1,161
18,1500	1,761
18,2000	1,517
18,2500	0,635
18,3000	-0,116
18,3500	-0,170
18,4000	0,504
18,4500	1,409
18,5000	1,786
18,5500	1,286
18,6000	0,355
18,6500	-0,217
18,7000	-0,028
18,7500	0,790
18,8000	1,610
18,8500	1,722
18,9000	1,013
18,9500	0,116
19,0000	-0,243
19,0500	0,173
19,1000	1,073
19,1500	1,739
19,2000	1,579
19,2500	0,726
19,3000	-0,071
19,3500	-0,199
19,4000	0,419
19,4500	1,335
19,5000	1,788
19,5500	1,368
19,6000	0,443
19,6500	-0,193
19,7000	-0,080
19,7500	0,697
19,8000	1,552
19,8500	1,751
19,9000	1,103
19,9500	0,190
20,0000	-0,243
20,0500	0,102
20,1000	0,985
20,1500	1,706
20,2000	1,630
20,2500	0,814
20,3000	-0,019
20,3500	-0,221
20,4000	0,339
20,4500	1,258
20,5000	1,780
20,5500	1,436
20,6000	0,525
20,6500	-0,163
20,7000	-0,124
20,7500	0,611
20,8000	1,492
20,8500	1,772
20,9000	1,188
20,9500	0,262
21,0000	-0,236
21,0500	0,039
21,1000	0,898
21,1500	1,665
21,2000	1,678
21,2500	0,911
21,3000	0,042
21,3500	-0,237
21,4000	0,256
21,4500	1,170
21,5000	1,766
21,5500	1,506
21,6000	0,616
21,6500	-0,124
21,7000	-0,163
21,7500	0,523
21,8000	1,423
21,8500	1,784
21,9000	1,271
21,9500	0,341
22,0000	-0,220
22,0500	-0,019
22,1000	0,807
22,1500	1,618
22,2000	1,715
22,2500	0,999
22,3000	0,104
22,3500	-0,243
22,4000	0,187
22,4500	1,090
22,5000	1,744
22,5500	1,566
22,6000	0,707
22,6500	-0,080
22,7000	-0,193
22,7500	0,437
22,8000	1,351
22,8500	1,788
22,9000	1,352
22,9500	0,429
23,0000	-0,196
23,0500	-0,074
23,1000	0,713
23,1500	1,561
23,2000	1,747
23,2500	1,089
23,3000	0,178
23,3500	-0,245
23,4000	0,112
23,4500	0,997
23,5000	1,709
23,5500	1,623
23,6000	0,801
23,6500	-0,025
23,7000	-0,218
23,7500	0,350
23,8000	1,271
23,8500	1,781
23,9000	1,425
23,9500	0,514
24,0000	-0,168
24,0500	-0,119
24,1000	0,622
24,1500	1,497
24,2000	1,769
24,2500	1,180
24,3000	0,253
24,3500	-0,234
24,4000	0,046
24,4500	0,906
24,5000	1,670
24,5500	1,673
24,6000	0,895
24,6500	0,033
24,7000	-0,234
24,7500	0,272
24,8000	1,189
24,8500	1,769
24,9000	1,492
24,9500	0,602
25,0000	-0,132
25,0500	-0,157
25,1000	0,537
25,1500	1,433
25,2000	1,783
25,2500	1,258
25,3000	0,330
25,3500	-0,223
25,4000	-0,011
25,4500	0,818
25,5000	1,626
25,5500	1,711
25,6000	0,985
25,6500	0,096
25,7000	-0,243
25,7500	0,195
25,8000	1,100
25,8500	1,745
25,9000	1,560
25,9500	0,696
26,0000	-0,086
26,0500	-0,188
26,1000	0,449
26,1500	1,360
26,2000	1,786
26,2500	1,341
26,3000	0,415
26,3500	-0,201
26,4000	-0,066
26,4500	0,727
26,5000	1,571
26,5500	1,744
26,6000	1,074
26,6500	0,165
26,7000	-0,243
26,7500	0,124
26,8000	1,015
26,8500	1,717
26,9000	1,615
26,9500	0,785
27,0000	-0,036
27,0500	-0,217
27,1000	0,364
27,1500	1,282
27,2000	1,781
27,2500	1,415
27,3000	0,498
27,3500	-0,173
27,4000	-0,112
27,4500	0,636
27,5000	1,510
27,5500	1,767
27,6000	1,162
27,6500	0,239
27,7000	-0,237
27,7500	0,058
27,8000	0,925
27,8500	1,679
27,9000	1,665
27,9500	0,880
28,0000	0,022
28,0500	-0,232
28,1000	0,284
28,1500	1,200
28,2000	1,770
28,2500	1,484
28,3000	0,589
28,3500	-0,135
28,4000	-0,154
28,4500	0,547
28,5000	1,442
28,5500	1,781
28,6000	1,246
28,6500	0,317
28,7000	-0,225
28,7500	-0,002
28,8000	0,834
28,8500	1,634
28,9000	1,703
28,9500	0,968
29,0000	0,082
29,0500	-0,242
29,1000	0,210
29,1500	1,117
29,2000	1,750
29,2500	1,547
29,3000	0,675
29,3500	-0,094
29,4000	-0,182
29,4500	0,467
29,5000	1,378
29,5500	1,786
29,6000	1,324
29,6500	0,394
29,7000	-0,207
29,7500	-0,052
29,8000	0,751
29,8500	1,585
29,9000	1,737
29,9500	1,054
30,0000	0,148
30,0500	-0,243
30,1000	0,143
30,1500	1,037
30,2000	1,725
30,2500	1,601
30,3000	0,760
30,3500	-0,050
30,4000	-0,209
30,4500	0,385
30,5000	1,302
30,5500	1,784
30,6000	1,395
30,6500	0,474
30,7000	-0,181
30,7500	-0,099
30,8000	0,663
30,8500	1,527
30,9000	1,761
30,9500	1,136
31,0000	0,215
31,0500	-0,240
31,1000	0,079
31,1500	0,952
31,2000	1,690
31,2500	1,651
31,3000	0,853
31,3500	0,005
31,4000	-0,228
31,4500	0,306
31,5000	1,225
31,5500	1,775
31,6000	1,466
31,6500	0,564
31,7000	-0,146
31,7500	-0,143
31,8000	0,573
31,8500	1,461
31,9000	1,778
31,9500	1,224
32,0000	0,294
32,0500	-0,229
32,1000	0,014
32,1500	0,858
32,2000	1,646
32,2500	1,695
32,3000	0,942
32,3500	0,066
32,4000	-0,240
32,4500	0,228
32,5000	1,137
32,5500	1,758
32,6000	1,533
32,6500	0,658
32,7000	-0,105
32,7500	-0,178
32,8000	0,484
32,8500	1,390
32,9000	1,786
32,9500	1,310
33,0000	0,382
33,0500	-0,210
33,1000	-0,046
33,1500	0,763
33,2000	1,593
33,2500	1,731
33,3000	1,040
33,3500	0,137
33,4000	-0,243
33,4500	0,152
33,5000	1,052
33,5500	1,729
33,6000	1,591
33,6500	0,748
33,7000	-0,058
33,7500	-0,206
33,8000	0,399
33,8500	1,315
33,9000	1,784
33,9500	1,384
34,0000	0,462
34,0500	-0,185
34,1000	-0,093
34,1500	0,672
34,2000	1,535
34,2500	1,759
34,3000	1,129
34,3500	0,212
34,4000	-0,240
34,4500	0,083
34,5000	0,957
34,5500	1,693
34,6000	1,648
34,6500	0,847
34,7000	0,000
34,7500	-0,228
34,8000	0,313
34,8500	1,230
34,9000	1,775
34,9500	1,461
35,0000	0,561
35,0500	-0,149
35,1000	-0,138
35,1500	0,576
35,2000	1,464
35,2500	1,778
35,3000	1,221
35,3500	0,294
35,4000	-0,229
35,4500	0,016
35,5000	0,861
35,5500	1,648
35,6000	1,693
35,6500	0,942
35,7000	0,064
35,7500	-0,240
35,8000	0,229
35,8500	1,139
35,9000	1,758
35,9500	1,532
36,0000	0,653
36,0500	-0,105
36,1000	-0,178
36,1500	0,487
36,2000	1,393
36,2500	1,786
36,3000	1,307
36,3500	0,379
36,4000	-0,210
36,4500	-0,044
36,5000	0,767
36,5500	1,594
36,6000	1,731
36,6500	1,041
36,7000	0,137
36,7500	-0,243
36,8000	0,151
36,8500	1,048
36,9000	1,729
36,9500	1,598
37,0000	0,754
37,0500	-0,053
37,1000	-0,207
37,1500	0,393
37,2000	1,312
37,2500	1,786
37,3000	1,389
37,3500	0,468
37,4000	-0,185
37,4500	-0,096
37,5000	0,671
37,5500	1,533
37,6000	1,759
37,6500	1,133
37,7000	0,214
37,7500	-0,240
37,8000	0,082
37,8500	0,953
37,9000	1,690
37,9500	1,649
38,0000	0,850
38,0500	0,003
38,1000	-0,229
38,1500	0,306
38,2000	1,225
38,2500	1,777
38,3000	1,467
38,3500	0,567
38,4000	-0,146
38,4500	-0,143
38,5000	0,570
38,5500	1,459
38,6000	1,780
38,6500	1,228
38,7000	0,298
38,7500	-0,229
38,8000	0,011
38,8500	0,850
38,9000	1,641
38,9500	1,698
39,0000	0,952
39,0500	0,074
39,1000	-0,240
39,1500	0,220
39,2000	1,129
39,2500	1,755
39,3000	1,539
39,3500	0,666
39,4000	-0,101
39,4500	-0,181
39,5000	0,471
39,5500	1,379
39,6000	1,788
39,6500	1,321
39,7000	0,390
39,7500	-0,207
39,8000	-0,050
39,8500	0,752
39,9000	1,585
39,9500	1,734
40,0000	1,052
40,0500	0,146
40,1000	-0,243
40,1500	0,141
40,2000	1,037
40,2500	1,725
40,3000	1,601
40,3500	0,763
40,4000	-0,049
40,4500	-0,209
40,5000	0,385
40,5500	1,302
40,6000	1,786
40,6500	1,396
40,7000	0,479
40,7500	-0,181
40,8000	-0,102
40,8500	0,658
40,9000	1,524
40,9500	1,762
41,0000	1,140
41,0500	0,221
41,1000	-0,240
41,1500	0,074
41,2000	0,947
41,2500	1,687
41,3000	1,651
41,3500	0,855
41,4000	0,006
41,4500	-0,229
41,5000	0,303
41,5500	1,221
41,6000	1,775
41,6500	1,472
41,7000	0,570
41,7500	-0,145
41,8000	-0,145
41,8500	0,567
41,9000	1,458
41,9500	1,780
42,0000	1,228
42,0500	0,300
42,1000	-0,229
42,1500	0,008
42,2000	0,851
42,2500	1,641
42,3000	1,698
42,3500	0,952
42,4000	0,071
42,4500	-0,242
42,5000	0,225
42,5500	1,136
42,6000	1,756
42,6500	1,533
42,7000	0,657
42,7500	-0,105
42,8000	-0,178
42,8500	0,482
42,9000	1,390
42,9500	1,788
43,0000	1,312
43,0500	0,382
43,1000	-0,212
43,1500	-0,046
43,2000	0,762
43,2500	1,593
43,3000	1,731
43,3500	1,043
43,4000	0,138
43,4500	-0,243
43,5000	0,151
43,5500	1,048
43,6000	1,729
43,6500	1,593
43,7000	0,748
43,7500	-0,058
43,8000	-0,206
43,8500	0,399
