#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	-1,428
0,0010	-1,392
0,0020	-1,351
0,0030	-1,310
0,0040	-1,268
0,0050	-1,224
0,0060	-1,178
0,0070	-1,131
0,0080	-1,085
0,0090	-1,038
0,0100	-0,991
0,0110	-0,944
0,0120	-0,897
0,0130	-0,850
0,0140	-0,803
0,0150	-0,754
0,0160	-0,707
0,0170	-0,658
0,0180	-0,611
0,0190	-0,565
0,0200	-0,522
0,0210	-0,478
0,0220	-0,434
0,0230	-0,390
0,0240	-0,347
0,0250	-0,308
0,0260	-0,267
0,0270	-0,229
0,0280	-0,193
0,0290	-0,159
0,0300	-0,126
0,0310	-0,094
0,0320	-0,063
0,0330	-0,035
0,0340	-0,008
0,0350	0,017
0,0360	0,039
0,0370	0,060
0,0380	0,079
0,0390	0,094
0,0400	0,110
0,0410	0,123
0,0420	0,134
0,0430	0,141
0,0440	0,148
0,0450	0,151
0,0460	0,152
0,0470	0,152
0,0480	0,149
0,0490	0,145
0,0500	0,138
0,0510	0,129
0,0520	0,118
0,0530	0,105
0,0540	0,090
0,0550	0,072
0,0560	0,053
0,0570	0,031
0,0580	0,009
0,0590	-0,014
0,0600	-0,041
0,0610	-0,071
0,0620	-0,102
0,0630	-0,135
0,0640	-0,170
0,0650	-0,206
0,0660	-0,242
0,0670	-0,280
0,0680	-0,317
0,0690	-0,358
0,0700	-0,402
0,0710	-0,446
0,0720	-0,490
0,0730	-0,536
0,0740	-0,581
0,0750	-0,627
0,0760	-0,672
0,0770	-0,718
0,0780	-0,765
0,0790	-0,814
0,0800	-0,862
0,0810	-0,911
0,0820	-0,958
0,0830	-1,005
0,0840	-1,052
0,0850	-1,098
0,0860	-1,144
0,0870	-1,189
0,0880	-1,235
0,0890	-1,279
0,0900	-1,321
0,0910	-1,363
0,0920	-1,404
0,0930	-1,444
0,0940	-1,481
0,0950	-1,517
0,0960	-1,552
0,0970	-1,585
0,0980	-1,618
0,0990	-1,648
0,1000	-1,679
0,1010	-1,704
0,1020	-1,731
0,1030	-1,753
0,1040	-1,775
0,1050	-1,794
0,1060	-1,811
0,1070	-1,827
0,1080	-1,841
0,1090	-1,854
0,1100	-1,863
0,1110	-1,869
0,1120	-1,874
0,1130	-1,876
0,1140	-1,877
0,1150	-1,877
0,1160	-1,874
0,1170	-1,869
0,1180	-1,861
0,1190	-1,852
0,1200	-1,841
0,1210	-1,828
0,1220	-1,813
0,1230	-1,795
0,1240	-1,777
0,1250	-1,755
0,1260	-1,729
0,1270	-1,704
0,1280	-1,676
0,1290	-1,648
0,1300	-1,618
0,1310	-1,587
0,1320	-1,554
0,1330	-1,519
0,1340	-1,481
0,1350	-1,442
0,1360	-1,403
0,1370	-1,362
0,1380	-1,321
0,1390	-1,279
0,1400	-1,235
0,1410	-1,189
0,1420	-1,144
0,1430	-1,096
0,1440	-1,049
0,1450	-1,004
0,1460	-0,957
0,1470	-0,909
0,1480	-0,862
0,1490	-0,814
0,1500	-0,767
0,1510	-0,718
0,1520	-0,671
0,1530	-0,624
0,1540	-0,578
0,1550	-0,533
0,1560	-0,489
0,1570	-0,445
0,1580	-0,401
0,1590	-0,358
0,1600	-0,317
0,1610	-0,278
0,1620	-0,239
0,1630	-0,203
0,1640	-0,167
0,1650	-0,134
0,1660	-0,101
0,1670	-0,071
0,1680	-0,042
0,1690	-0,016
0,1700	0,009
0,1710	0,033
0,1720	0,053
0,1730	0,072
0,1740	0,091
0,1750	0,107
0,1760	0,119
0,1770	0,132
0,1780	0,140
0,1790	0,146
0,1800	0,149
0,1810	0,151
0,1820	0,151
0,1830	0,149
0,1840	0,146
0,1850	0,140
0,1860	0,132
0,1870	0,123
0,1880	0,110
