#Winkelposition, Messreihe #4
#Zeit ( s )	Winkelposition ( rad )
0,0000	1,916
0,0010	1,924
0,0020	1,932
0,0030	1,938
0,0040	1,945
0,0050	1,948
0,0060	1,953
0,0070	1,954
0,0080	1,957
0,0090	1,959
0,0100	1,959
0,0110	1,959
0,0120	1,957
0,0130	1,956
0,0140	1,953
0,0150	1,948
0,0160	1,943
0,0170	1,937
0,0180	1,929
0,0190	1,921
0,0200	1,913
0,0210	1,904
0,0220	1,894
0,0230	1,882
0,0240	1,868
0,0250	1,854
0,0260	1,838
0,0270	1,822
0,0280	1,808
0,0290	1,791
0,0300	1,773
0,0310	1,755
0,0320	1,736
0,0330	1,714
0,0340	1,692
0,0350	1,670
0,0360	1,646
0,0370	1,624
0,0380	1,601
0,0390	1,576
0,0400	1,550
0,0410	1,524
0,0420	1,495
0,0430	1,467
0,0440	1,439
0,0450	1,411
0,0460	1,381
0,0470	1,349
0,0480	1,319
0,0490	1,288
0,0500	1,257
0,0510	1,225
0,0520	1,194
0,0530	1,161
0,0540	1,128
0,0550	1,095
0,0560	1,062
0,0570	1,027
0,0580	0,994
0,0590	0,961
0,0600	0,927
0,0610	0,894
0,0620	0,859
0,0630	0,825
0,0640	0,790
0,0650	0,757
0,0660	0,724
0,0670	0,691
0,0680	0,658
0,0690	0,627
0,0700	0,595
0,0710	0,562
0,0720	0,531
0,0730	0,501
0,0740	0,470
0,0750	0,441
0,0760	0,413
0,0770	0,385
0,0780	0,358
0,0790	0,331
0,0800	0,305
0,0810	0,280
0,0820	0,253
0,0830	0,229
0,0840	0,206
0,0850	0,184
0,0860	0,163
0,0870	0,143
0,0880	0,123
0,0890	0,104
0,0900	0,086
0,0910	0,069
0,0920	0,053
0,0930	0,039
0,0940	0,025
0,0950	0,013
0,0960	0,000
0,0970	-0,009
0,0980	-0,020
0,0990	-0,028
0,1000	-0,036
0,1010	-0,042
0,1020	-0,047
0,1030	-0,052
0,1040	-0,055
0,1050	-0,058
0,1060	-0,058
0,1070	-0,060
0,1080	-0,058
0,1090	-0,058
0,1100	-0,055
0,1110	-0,052
0,1120	-0,047
0,1130	-0,041
0,1140	-0,033
0,1150	-0,024
0,1160	-0,014
