#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	0,405
0,0010	0,388
0,0020	0,368
0,0030	0,347
0,0040	0,325
0,0050	0,303
0,0060	0,281
0,0070	0,258
0,0080	0,234
0,0090	0,210
0,0100	0,185
0,0110	0,160
0,0120	0,135
0,0130	0,108
0,0140	0,082
0,0150	0,055
0,0160	0,028
0,0170	0,002
0,0180	-0,027
0,0190	-0,053
0,0200	-0,082
0,0210	-0,112
0,0220	-0,140
0,0230	-0,170
0,0240	-0,199
0,0250	-0,229
0,0260	-0,258
0,0270	-0,287
0,0280	-0,317
0,0290	-0,347
0,0300	-0,375
0,0310	-0,405
0,0320	-0,435
0,0330	-0,465
0,0340	-0,495
0,0350	-0,525
0,0360	-0,553
0,0370	-0,583
0,0380	-0,611
0,0390	-0,639
0,0400	-0,668
0,0410	-0,696
0,0420	-0,723
0,0430	-0,749
0,0440	-0,776
0,0450	-0,801
0,0460	-0,826
0,0470	-0,853
0,0480	-0,878
0,0490	-0,902
0,0500	-0,925
0,0510	-0,949
0,0520	-0,971
0,0530	-0,993
0,0540	-1,013
0,0550	-1,035
0,0560	-1,056
0,0570	-1,074
0,0580	-1,095
0,0590	-1,112
0,0600	-1,129
0,0610	-1,147
0,0620	-1,161
0,0630	-1,177
0,0640	-1,191
0,0650	-1,205
0,0660	-1,217
0,0670	-1,230
0,0680	-1,241
0,0690	-1,252
0,0700	-1,261
0,0710	-1,269
0,0720	-1,279
0,0730	-1,286
0,0740	-1,293
0,0750	-1,297
0,0760	-1,302
0,0770	-1,305
0,0780	-1,308
0,0790	-1,312
0,0800	-1,313
0,0810	-1,315
0,0820	-1,315
0,0830	-1,313
0,0840	-1,312
0,0850	-1,310
0,0860	-1,307
0,0870	-1,304
0,0880	-1,299
0,0890	-1,293
0,0900	-1,286
0,0910	-1,277
0,0920	-1,269
0,0930	-1,260
0,0940	-1,252
0,0950	-1,241
0,0960	-1,232
0,0970	-1,219
0,0980	-1,206
0,0990	-1,191
0,1000	-1,175
0,1010	-1,161
0,1020	-1,145
0,1030	-1,129
0,1040	-1,112
0,1050	-1,095
0,1060	-1,076
0,1070	-1,057
0,1080	-1,037
0,1090	-1,016
0,1100	-0,994
0,1110	-0,974
0,1120	-0,952
0,1130	-0,930
0,1140	-0,906
0,1150	-0,883
0,1160	-0,858
0,1170	-0,834
0,1180	-0,809
0,1190	-0,784
0,1200	-0,757
0,1210	-0,732
0,1220	-0,704
0,1230	-0,677
0,1240	-0,649
0,1250	-0,620
0,1260	-0,594
0,1270	-0,565
0,1280	-0,539
0,1290	-0,509
0,1300	-0,481
0,1310	-0,451
0,1320	-0,421
0,1330	-0,393
0,1340	-0,363
0,1350	-0,335
0,1360	-0,305
0,1370	-0,276
0,1380	-0,247
0,1390	-0,217
0,1400	-0,188
0,1410	-0,160
0,1420	-0,132
0,1430	-0,104
0,1440	-0,075
0,1450	-0,047
0,1460	-0,019
0,1470	0,009
0,1480	0,038
0,1490	0,063
0,1500	0,090
0,1510	0,115
0,1520	0,141
0,1530	0,167
0,1540	0,192
0,1550	0,217
0,1560	0,240
0,1570	0,264
0,1580	0,286
0,1590	0,309
0,1600	0,331
0,1610	0,353
0,1620	0,374
0,1630	0,394
0,1640	0,413
0,1650	0,432
0,1660	0,451
0,1670	0,468
0,1680	0,485
0,1690	0,503
0,1700	0,518
0,1710	0,534
0,1720	0,550
0,1730	0,562
0,1740	0,575
0,1750	0,587
0,1760	0,600
0,1770	0,613
0,1780	0,624
0,1790	0,633
0,1800	0,641
0,1810	0,650
0,1820	0,657
0,1830	0,664
0,1840	0,671
0,1850	0,677
0,1860	0,683
0,1870	0,688
0,1880	0,691
0,1890	0,694
0,1900	0,696
0,1910	0,697
0,1920	0,699
0,1930	0,701
0,1940	0,701
0,1950	0,701
0,1960	0,701
0,1970	0,697
0,1980	0,696
0,1990	0,693
0,2000	0,690
0,2010	0,685
0,2020	0,680
0,2030	0,674
0,2040	0,668
0,2050	0,660
0,2060	0,652
0,2070	0,644
0,2080	0,635
0,2090	0,625
0,2100	0,614
0,2110	0,603
0,2120	0,591
0,2130	0,578
0,2140	0,565
0,2150	0,551
0,2160	0,537
0,2170	0,522
0,2180	0,507
0,2190	0,490
0,2200	0,473
0,2210	0,456
0,2220	0,437
0,2230	0,418
0,2240	0,399
0,2250	0,379
0,2260	0,358
0,2270	0,338
0,2280	0,316
0,2290	0,292
0,2300	0,270
0,2310	0,247
0,2320	0,223
0,2330	0,198
0,2340	0,173
0,2350	0,149
0,2360	0,123
0,2370	0,096
0,2380	0,069
0,2390	0,042
0,2400	0,014
0,2410	-0,013
0,2420	-0,041
0,2430	-0,069
0,2440	-0,097
0,2450	-0,126
0,2460	-0,156
0,2470	-0,184
0,2480	-0,214
0,2490	-0,243
0,2500	-0,272
0,2510	-0,302
0,2520	-0,331
0,2530	-0,361
0,2540	-0,391
0,2550	-0,421
0,2560	-0,451
0,2570	-0,479
0,2580	-0,509
0,2590	-0,539
0,2600	-0,567
0,2610	-0,597
0,2620	-0,625
0,2630	-0,653
0,2640	-0,680
0,2650	-0,708
0,2660	-0,735
0,2670	-0,762
0,2680	-0,789
0,2690	-0,815
0,2700	-0,840
0,2710	-0,866
0,2720	-0,891
0,2730	-0,914
0,2740	-0,938
0,2750	-0,960
0,2760	-0,982
0,2770	-1,004
0,2780	-1,024
0,2790	-1,045
0,2800	-1,065
0,2810	-1,085
0,2820	-1,103
0,2830	-1,122
0,2840	-1,137
0,2850	-1,155
0,2860	-1,169
