#Winkelposition, Messreihe #3
#Zeit ( s )	Winkelposition ( rad )
0,0000	-1,860
0,0010	-1,863
0,0020	-1,863
0,0030	-1,863
0,0040	-1,861
0,0050	-1,857
0,0060	-1,850
0,0070	-1,843
0,0080	-1,830
0,0090	-1,816
0,0100	-1,800
0,0110	-1,784
0,0120	-1,764
0,0130	-1,744
0,0140	-1,718
0,0150	-1,693
0,0160	-1,665
0,0170	-1,635
0,0180	-1,604
0,0190	-1,572
0,0200	-1,536
0,0210	-1,500
0,0220	-1,461
0,0230	-1,423
0,0240	-1,385
0,0250	-1,346
0,0260	-1,304
0,0270	-1,258
0,0280	-1,214
0,0290	-1,167
0,0300	-1,122
0,0310	-1,074
0,0320	-1,027
0,0330	-0,980
0,0340	-0,933
0,0350	-0,884
0,0360	-0,836
0,0370	-0,787
0,0380	-0,738
0,0390	-0,690
0,0400	-0,642
0,0410	-0,595
0,0420	-0,550
0,0430	-0,504
0,0440	-0,459
0,0450	-0,415
0,0460	-0,371
0,0470	-0,328
0,0480	-0,286
0,0490	-0,247
0,0500	-0,209
0,0510	-0,173
0,0520	-0,138
0,0530	-0,104
0,0540	-0,072
0,0550	-0,042
0,0560	-0,016
0,0570	0,011
0,0580	0,036
0,0590	0,060
0,0600	0,080
0,0610	0,099
0,0620	0,115
0,0630	0,129
0,0640	0,140
0,0650	0,148
0,0660	0,156
0,0670	0,160
0,0680	0,163
0,0690	0,165
0,0700	0,163
0,0710	0,160
0,0720	0,156
0,0730	0,148
0,0740	0,138
0,0750	0,126
0,0760	0,112
0,0770	0,094
0,0780	0,077
0,0790	0,057
0,0800	0,035
0,0810	0,009
0,0820	-0,019
0,0830	-0,049
0,0840	-0,080
0,0850	-0,113
0,0860	-0,146
0,0870	-0,182
0,0880	-0,218
0,0890	-0,256
0,0900	-0,295
0,0910	-0,336
0,0920	-0,379
0,0930	-0,423
0,0940	-0,467
0,0950	-0,512
0,0960	-0,558
0,0970	-0,605
0,0980	-0,652
0,0990	-0,701
0,1000	-0,749
0,1010	-0,798
0,1020	-0,847
0,1030	-0,895
0,1040	-0,944
0,1050	-0,991
0,1060	-1,038
0,1070	-1,085
0,1080	-1,131
0,1090	-1,178
0,1100	-1,224
0,1110	-1,268
0,1120	-1,312
0,1130	-1,354
0,1140	-1,395
0,1150	-1,434
0,1160	-1,472
0,1170	-1,510
0,1180	-1,544
0,1190	-1,577
0,1200	-1,610
0,1210	-1,641
0,1220	-1,670
0,1230	-1,696
0,1240	-1,722
0,1250	-1,745
0,1260	-1,766
0,1270	-1,786
0,1280	-1,803
0,1290	-1,819
0,1300	-1,832
0,1310	-1,843
0,1320	-1,852
0,1330	-1,858
0,1340	-1,861
0,1350	-1,863
0,1360	-1,865
0,1370	-1,861
0,1380	-1,858
0,1390	-1,854
0,1400	-1,847
0,1410	-1,836
0,1420	-1,824
0,1430	-1,810
0,1440	-1,792
0,1450	-1,773
0,1460	-1,753
0,1470	-1,729
0,1480	-1,706
0,1490	-1,678
0,1500	-1,649
0,1510	-1,619
0,1520	-1,587
0,1530	-1,554
0,1540	-1,517
0,1550	-1,480
0,1560	-1,442
0,1570	-1,404
0,1580	-1,365
0,1590	-1,324
0,1600	-1,280
0,1610	-1,235
0,1620	-1,189
0,1630	-1,142
0,1640	-1,096
0,1650	-1,049
0,1660	-1,002
0,1670	-0,955
0,1680	-0,906
0,1690	-0,858
0,1700	-0,809
0,1710	-0,760
0,1720	-0,713
0,1730	-0,666
0,1740	-0,617
0,1750	-0,572
0,1760	-0,525
0,1770	-0,479
0,1780	-0,434
0,1790	-0,390
0,1800	-0,347
0,1810	-0,306
0,1820	-0,265
0,1830	-0,228
0,1840	-0,190
0,1850	-0,154
0,1860	-0,119
0,1870	-0,086
0,1880	-0,057
0,1890	-0,027
0,1900	0,000
0,1910	0,025
0,1920	0,049
0,1930	0,071
0,1940	0,090
0,1950	0,107
0,1960	0,123
0,1970	0,135
0,1980	0,145
0,1990	0,152
0,2000	0,159
0,2010	0,163
0,2020	0,165
0,2030	0,165
0,2040	0,162
0,2050	0,157
0,2060	0,151
0,2070	0,143
0,2080	0,132
0,2090	0,118
0,2100	0,102
0,2110	0,085
0,2120	0,066
0,2130	0,044
0,2140	0,020
0,2150	-0,006
0,2160	-0,036
0,2170	-0,066
0,2180	-0,097
0,2190	-0,130
0,2200	-0,165
0,2210	-0,201
0,2220	-0,239
0,2230	-0,280
0,2240	-0,319
0,2250	-0,361
0,2260	-0,404
0,2270	-0,446
0,2280	-0,492
0,2290	-0,537
0,2300	-0,583
0,2310	-0,630
0,2320	-0,677
0,2330	-0,726
0,2340	-0,776
0,2350	-0,825
0,2360	-0,875
0,2370	-0,922
0,2380	-0,969
0,2390	-1,016
0,2400	-1,063
0,2410	-1,111
0,2420	-1,158
0,2430	-1,203
0,2440	-1,249
0,2450	-1,291
0,2460	-1,334
0,2470	-1,376
0,2480	-1,417
0,2490	-1,456
0,2500	-1,494
0,2510	-1,530
0,2520	-1,563
0,2530	-1,596
0,2540	-1,627
0,2550	-1,657
0,2560	-1,685
0,2570	-1,712
0,2580	-1,736
0,2590	-1,758
0,2600	-1,778
0,2610	-1,795
0,2620	-1,813
0,2630	-1,827
0,2640	-1,839
0,2650	-1,849
0,2660	-1,857
0,2670	-1,861
0,2680	-1,865
0,2690	-1,865
0,2700	-1,865
0,2710	-1,861
0,2720	-1,857
0,2730	-1,850
0,2740	-1,841
0,2750	-1,830
0,2760	-1,816
0,2770	-1,800
0,2780	-1,781
0,2790	-1,762
0,2800	-1,740
0,2810	-1,717
0,2820	-1,690
0,2830	-1,662
0,2840	-1,634
0,2850	-1,602
0,2860	-1,569
0,2870	-1,533
0,2880	-1,497
0,2890	-1,459
0,2900	-1,420
0,2910	-1,379
0,2920	-1,340
