#FFT von Winkelposition, Daten
#Frequenz ( Hz )	Relative Amplitude (  )
0,0000	0,544
1,9531	0,147
3,9063	0,284
5,8594	1,000
7,8125	0,163
9,7656	0,084
11,7188	0,069
13,6719	0,050
15,6250	0,043
17,5781	0,031
19,5313	0,028
21,4844	0,025
23,4375	0,022
25,3906	0,020
27,3438	0,019
29,2969	0,017
31,2500	0,016
33,2031	0,015
35,1563	0,014
37,1094	0,013
39,0625	0,012
41,0156	0,012
42,9688	0,011
44,9219	0,011
46,8750	0,010
48,8281	0,010
50,7813	0,009
52,7344	0,009
54,6875	0,009
56,6406	0,008
58,5938	0,008
60,5469	0,008
62,5000	0,008
64,4531	0,007
66,4063	0,007
68,3594	0,007
70,3125	0,007
72,2656	0,006
74,2188	0,006
76,1719	0,006
78,1250	0,006
80,0781	0,006
82,0313	0,006
83,9844	0,006
85,9375	0,005
87,8906	0,005
89,8438	0,005
91,7969	0,005
93,7500	0,005
95,7031	0,005
97,6563	0,005
99,6094	0,005
101,5625	0,005
103,5156	0,004
105,4688	0,004
107,4219	0,004
109,3750	0,004
111,3281	0,004
113,2813	0,004
115,2344	0,004
117,1875	0,004
119,1406	0,004
121,0938	0,004
123,0469	0,004
125,0000	0,004
126,9531	0,004
128,9063	0,004
130,8594	0,003
132,8125	0,004
134,7656	0,003
136,7188	0,003
138,6719	0,003
140,6250	0,003
142,5781	0,003
144,5313	0,003
146,4844	0,003
148,4375	0,003
150,3906	0,003
152,3438	0,003
154,2969	0,003
156,2500	0,003
158,2031	0,003
160,1563	0,003
162,1094	0,003
164,0625	0,003
166,0156	0,003
167,9688	0,003
169,9219	0,003
171,8750	0,003
173,8281	0,003
175,7813	0,002
177,7344	0,002
179,6875	0,002
181,6406	0,002
183,5938	0,002
185,5469	0,002
187,5000	0,002
189,4531	0,002
191,4063	0,002
193,3594	0,002
195,3125	0,002
197,2656	0,002
199,2188	0,002
201,1719	0,002
203,1250	0,002
205,0781	0,002
207,0313	0,002
208,9844	0,002
210,9375	0,002
212,8906	0,002
214,8438	0,002
216,7969	0,002
218,7500	0,002
220,7031	0,002
222,6563	0,002
224,6094	0,002
226,5625	0,002
228,5156	0,002
230,4688	0,002
232,4219	0,002
234,3750	0,002
236,3281	0,002
238,2813	0,002
240,2344	0,002
242,1875	0,002
244,1406	0,002
246,0938	0,002
248,0469	0,002
250,0000	0,002
251,9531	0,002
253,9063	0,002
255,8594	0,002
257,8125	0,002
259,7656	0,002
261,7188	0,002
263,6719	0,002
265,6250	0,002
267,5781	0,002
269,5313	0,002
271,4844	0,002
273,4375	0,002
275,3906	0,002
277,3438	0,001
279,2969	0,002
281,2500	0,002
283,2031	0,001
285,1563	0,001
287,1094	0,001
289,0625	0,001
291,0156	0,001
292,9688	0,001
294,9219	0,001
296,8750	0,001
298,8281	0,001
300,7813	0,001
302,7344	0,001
304,6875	0,001
306,6406	0,001
308,5938	0,001
310,5469	0,001
312,5000	0,001
314,4531	0,001
316,4063	0,001
318,3594	0,001
320,3125	0,001
322,2656	0,001
324,2188	0,001
326,1719	0,001
328,1250	0,001
330,0781	0,001
332,0313	0,001
333,9844	0,001
335,9375	0,001
337,8906	0,001
339,8438	0,001
341,7969	0,001
343,7500	0,001
345,7031	0,001
347,6563	0,001
349,6094	0,001
351,5625	0,001
353,5156	0,001
355,4688	0,001
357,4219	0,001
359,3750	0,001
361,3281	0,001
363,2813	0,001
365,2344	0,001
367,1875	0,001
369,1406	0,001
371,0938	0,001
373,0469	0,001
375,0000	0,001
376,9531	9,849E-4
378,9063	9,891E-4
380,8594	0,001
382,8125	0,001
384,7656	9,416E-4
386,7188	9,883E-4
388,6719	9,732E-4
390,6250	9,786E-4
392,5781	9,747E-4
394,5313	0,001
396,4844	9,541E-4
398,4375	9,735E-4
400,3906	9,330E-4
402,3438	9,766E-4
404,2969	9,341E-4
406,2500	9,431E-4
408,2031	9,679E-4
410,1563	9,719E-4
412,1094	9,444E-4
414,0625	9,429E-4
416,0156	8,840E-4
417,9688	9,299E-4
419,9219	8,983E-4
421,8750	9,270E-4
423,8281	9,331E-4
425,7813	8,882E-4
427,7344	9,260E-4
429,6875	9,016E-4
431,6406	9,501E-4
433,5938	9,156E-4
435,5469	8,366E-4
437,5000	8,965E-4
439,4531	9,004E-4
441,4063	9,595E-4
443,3594	8,264E-4
445,3125	8,672E-4
447,2656	8,954E-4
449,2188	8,783E-4
451,1719	8,666E-4
453,1250	8,767E-4
455,0781	8,520E-4
457,0313	8,447E-4
458,9844	8,469E-4
460,9375	8,969E-4
462,8906	8,767E-4
464,8438	8,736E-4
466,7969	8,163E-4
468,7500	8,841E-4
470,7031	8,411E-4
472,6563	8,649E-4
474,6094	8,470E-4
476,5625	8,642E-4
478,5156	8,665E-4
480,4688	8,809E-4
482,4219	8,044E-4
484,3750	7,989E-4
486,3281	8,550E-4
488,2813	8,381E-4
490,2344	8,586E-4
492,1875	8,543E-4
494,1406	8,886E-4
496,0938	7,948E-4
498,0469	8,622E-4
