#Winkelposition, Messreihe #1
#Zeit ( s )	Winkelposition ( rad )
0,0000	-1,623
0,0010	-1,645
0,0020	-1,670
0,0030	-1,695
0,0040	-1,718
0,0050	-1,742
0,0060	-1,762
0,0070	-1,783
0,0080	-1,802
0,0090	-1,819
0,0100	-1,836
0,0110	-1,852
0,0120	-1,866
0,0130	-1,880
0,0140	-1,891
0,0150	-1,902
0,0160	-1,912
0,0170	-1,920
0,0180	-1,927
0,0190	-1,932
0,0200	-1,937
0,0210	-1,940
0,0220	-1,942
0,0230	-1,942
0,0240	-1,940
0,0250	-1,937
0,0260	-1,934
0,0270	-1,929
0,0280	-1,923
0,0290	-1,916
0,0300	-1,909
0,0310	-1,898
0,0320	-1,888
0,0330	-1,876
0,0340	-1,860
0,0350	-1,844
0,0360	-1,825
0,0370	-1,806
0,0380	-1,788
0,0390	-1,769
0,0400	-1,750
0,0410	-1,729
0,0420	-1,707
0,0430	-1,684
0,0440	-1,657
0,0450	-1,632
0,0460	-1,604
0,0470	-1,577
0,0480	-1,549
0,0490	-1,521
0,0500	-1,491
0,0510	-1,461
0,0520	-1,431
0,0530	-1,400
0,0540	-1,367
0,0550	-1,334
0,0560	-1,299
0,0570	-1,263
0,0580	-1,227
0,0590	-1,192
0,0600	-1,156
0,0610	-1,122
0,0620	-1,087
0,0630	-1,051
0,0640	-1,013
0,0650	-0,975
0,0660	-0,938
0,0670	-0,900
0,0680	-0,864
0,0690	-0,828
0,0700	-0,793
0,0710	-0,759
0,0720	-0,723
0,0730	-0,686
0,0740	-0,650
0,0750	-0,616
0,0760	-0,581
0,0770	-0,547
0,0780	-0,515
0,0790	-0,482
0,0800	-0,451
0,0810	-0,418
0,0820	-0,386
0,0830	-0,355
0,0840	-0,324
0,0850	-0,295
0,0860	-0,267
0,0870	-0,242
0,0880	-0,217
0,0890	-0,192
0,0900	-0,167
0,0910	-0,143
0,0920	-0,119
0,0930	-0,097
0,0940	-0,075
0,0950	-0,055
0,0960	-0,038
0,0970	-0,020
0,0980	-0,006
0,0990	0,008
0,1000	0,020
0,1010	0,033
0,1020	0,042
0,1030	0,053
0,1040	0,061
0,1050	0,069
0,1060	0,074
0,1070	0,079
0,1080	0,082
0,1090	0,082
0,1100	0,082
0,1110	0,082
0,1120	0,082
0,1130	0,080
0,1140	0,079
0,1150	0,074
0,1160	0,068
0,1170	0,060
0,1180	0,052
0,1190	0,042
0,1200	0,033
0,1210	0,020
0,1220	0,008
0,1230	-0,006
0,1240	-0,020
0,1250	-0,038
0,1260	-0,057
0,1270	-0,077
0,1280	-0,097
0,1290	-0,119
0,1300	-0,141
0,1310	-0,163
0,1320	-0,188
0,1330	-0,214
0,1340	-0,240
0,1350	-0,269
0,1360	-0,297
0,1370	-0,327
0,1380	-0,355
0,1390	-0,385
0,1400	-0,415
0,1410	-0,446
0,1420	-0,478
0,1430	-0,511
0,1440	-0,545
0,1450	-0,580
0,1460	-0,614
0,1470	-0,649
0,1480	-0,685
0,1490	-0,719
0,1500	-0,756
0,1510	-0,790
0,1520	-0,826
0,1530	-0,862
0,1540	-0,898
0,1550	-0,936
0,1560	-0,972
0,1570	-1,010
0,1580	-1,046
0,1590	-1,084
0,1600	-1,120
0,1610	-1,156
0,1620	-1,192
0,1630	-1,228
0,1640	-1,263
0,1650	-1,297
0,1660	-1,332
0,1670	-1,367
0,1680	-1,400
0,1690	-1,433
0,1700	-1,464
0,1710	-1,495
0,1720	-1,527
0,1730	-1,557
0,1740	-1,583
0,1750	-1,610
0,1760	-1,637
0,1770	-1,662
0,1780	-1,687
0,1790	-1,711
0,1800	-1,734
0,1810	-1,756
0,1820	-1,777
0,1830	-1,795
0,1840	-1,813
0,1850	-1,830
0,1860	-1,846
0,1870	-1,861
0,1880	-1,876
0,1890	-1,888
0,1900	-1,899
0,1910	-1,909
0,1920	-1,918
0,1930	-1,924
0,1940	-1,931
0,1950	-1,935
0,1960	-1,938
0,1970	-1,940
0,1980	-1,940
0,1990	-1,940
0,2000	-1,938
0,2010	-1,937
0,2020	-1,932
0,2030	-1,926
0,2040	-1,920
0,2050	-1,912
0,2060	-1,902
0,2070	-1,893
0,2080	-1,880
0,2090	-1,866
0,2100	-1,849
0,2110	-1,832
0,2120	-1,813
0,2130	-1,794
0,2140	-1,775
0,2150	-1,756
0,2160	-1,737
0,2170	-1,715
0,2180	-1,690
0,2190	-1,665
0,2200	-1,638
0,2210	-1,613
0,2220	-1,585
0,2230	-1,558
0,2240	-1,530
0,2250	-1,502
0,2260	-1,472
0,2270	-1,440
0,2280	-1,409
0,2290	-1,378
0,2300	-1,345
0,2310	-1,310
0,2320	-1,275
0,2330	-1,239
0,2340	-1,203
0,2350	-1,169
0,2360	-1,134
0,2370	-1,098
0,2380	-1,062
0,2390	-1,026
0,2400	-0,988
0,2410	-0,950
0,2420	-0,913
0,2430	-0,875
0,2440	-0,840
0,2450	-0,804
0,2460	-0,770
0,2470	-0,734
0,2480	-0,699
0,2490	-0,663
0,2500	-0,627
0,2510	-0,592
0,2520	-0,559
0,2530	-0,526
0,2540	-0,493
0,2550	-0,460
0,2560	-0,429
0,2570	-0,396
0,2580	-0,364
0,2590	-0,333
0,2600	-0,305
0,2610	-0,276
0,2620	-0,250
0,2630	-0,225
0,2640	-0,201
0,2650	-0,176
0,2660	-0,151
0,2670	-0,127
0,2680	-0,104
0,2690	-0,082
0,2700	-0,061
0,2710	-0,044
0,2720	-0,027
0,2730	-0,011
0,2740	0,003
0,2750	0,016
0,2760	0,028
0,2770	0,041
0,2780	0,050
0,2790	0,058
0,2800	0,066
0,2810	0,072
0,2820	0,077
0,2830	0,080
0,2840	0,082
0,2850	0,083
0,2860	0,083
0,2870	0,082
0,2880	0,082
0,2890	0,079
0,2900	0,075
0,2910	0,071
0,2920	0,064
0,2930	0,055
0,2940	0,046
0,2950	0,036
0,2960	0,025
0,2970	0,013
0,2980	-0,002
0,2990	-0,016
0,3000	-0,035
0,3010	-0,050
0,3020	-0,071
0,3030	-0,090
0,3040	-0,112
0,3050	-0,132
0,3060	-0,156
0,3070	-0,179
0,3080	-0,206
0,3090	-0,232
0,3100	-0,259
0,3110	-0,287
0,3120	-0,316
0,3130	-0,344
0,3140	-0,374
0,3150	-0,404
0,3160	-0,435
0,3170	-0,467
0,3180	-0,500
0,3190	-0,533
0,3200	-0,567
0,3210	-0,602
0,3220	-0,636
0,3230	-0,671
0,3240	-0,707
0,3250	-0,741
0,3260	-0,778
0,3270	-0,814
0,3280	-0,850
0,3290	-0,886
0,3300	-0,922
0,3310	-0,960
0,3320	-0,996
0,3330	-1,034
0,3340	-1,070
0,3350	-1,106
0,3360	-1,142
0,3370	-1,180
0,3380	-1,216
0,3390	-1,250
0,3400	-1,285
0,3410	-1,319
0,3420	-1,354
0,3430	-1,387
0,3440	-1,420
0,3450	-1,453
0,3460	-1,484
0,3470	-1,516
0,3480	-1,546
0,3490	-1,574
0,3500	-1,601
0,3510	-1,627
0,3520	-1,652
0,3530	-1,678
0,3540	-1,703
0,3550	-1,726
0,3560	-1,748
0,3570	-1,770
0,3580	-1,789
0,3590	-1,808
0,3600	-1,824
0,3610	-1,839
0,3620	-1,855
0,3630	-1,871
0,3640	-1,883
0,3650	-1,896
0,3660	-1,907
0,3670	-1,915
0,3680	-1,923
0,3690	-1,929
0,3700	-1,934
0,3710	-1,937
0,3720	-1,940
0,3730	-1,940
0,3740	-1,940
0,3750	-1,940
0,3760	-1,937
0,3770	-1,934
0,3780	-1,927
0,3790	-1,921
0,3800	-1,915
0,3810	-1,905
0,3820	-1,896
0,3830	-1,885
0,3840	-1,871
0,3850	-1,855
0,3860	-1,838
0,3870	-1,819
0,3880	-1,800
0,3890	-1,783
0,3900	-1,764
0,3910	-1,745
0,3920	-1,723
0,3930	-1,700
0,3940	-1,674
0,3950	-1,649
0,3960	-1,623
0,3970	-1,596
0,3980	-1,569
0,3990	-1,541
0,4000	-1,511
0,4010	-1,483
0,4020	-1,451
0,4030	-1,422
0,4040	-1,389
0,4050	-1,357
0,4060	-1,323
0,4070	-1,288
0,4080	-1,252
0,4090	-1,217
0,4100	-1,181
0,4110	-1,147
0,4120	-1,111
0,4130	-1,076
0,4140	-1,038
0,4150	-1,002
0,4160	-0,964
0,4170	-0,927
0,4180	-0,889
0,4190	-0,853
0,4200	-0,817
0,4210	-0,782
0,4220	-0,746
0,4230	-0,712
0,4240	-0,675
0,4250	-0,641
0,4260	-0,605
0,4270	-0,572
0,4280	-0,537
0,4290	-0,504
0,4300	-0,473
0,4310	-0,440
0,4320	-0,407
0,4330	-0,375
0,4340	-0,344
0,4350	-0,314
0,4360	-0,287
0,4370	-0,259
0,4380	-0,234
0,4390	-0,209
0,4400	-0,184
0,4410	-0,159
